Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.48,28.65,27.52,27.98,199800,26.884506
2013-03-01,27.379999,29.34,26.370001,28.50,88800,27.384148
2013-02-01,27.08,29.809999,26.860001,27.66,71500,26.577036
2013-01-02,26.540001,29.129999,26.200001,26.90,110700,25.780834
2012-12-03,20.65,25.93,19.870001,25.780001,145100,24.707432
2012-11-01,21.280001,21.690001,18.84,20.50,155300,19.647104
2012-10-01,24.09,24.58,20.50,20.950001,84700,20.004745
2012-09-04,21.309999,25.57,20.879999,23.799999,114300,22.726152
2012-08-01,19.85,21.530001,18.879999,21.24,120800,20.28166
2012-07-02,23.040001,23.16,17.59,19.629999,147300,18.673193
2012-06-01,21.629999,23.809999,20.370001,23.030001,118000,21.907471
2012-05-01,24.73,25.66,22.00,22.09,159500,21.013288
2012-04-02,28.58,29.370001,24.18,24.709999,183800,23.432066
2012-03-01,30.34,30.41,25.84,28.73,183200,27.244164
2012-02-01,29.91,32.91,29.02,29.35,159800,27.8321
2012-01-03,25.27,29.93,24.77,29.41,138500,27.888996
2011-12-01,24.43,26.120001,22.67,24.280001,138700,23.024307
2011-11-01,24.92,26.58,19.530001,24.59,190600,23.318274
2011-10-03,22.60,30.15,19.82,26.440001,219700,25.072598
2011-09-01,28.690001,29.030001,21.110001,22.68,219000,21.507053
2011-08-01,38.59,39.450001,25.790001,28.700001,188900,27.215717
2011-07-01,37.060001,42.049999,36.16,38.119999,144500,36.148537
2011-06-01,39.50,40.580002,33.02,36.970001,146600,35.058014
2011-05-02,42.00,42.00,34.560001,39.669998,121400,37.618378
2011-04-01,40.950001,44.00,37.450001,41.759998,93200,39.600288
2011-03-01,44.16,44.939999,37.900002,40.799999,159200,38.689938
2011-02-01,35.299999,44.52,34.110001,43.77,136700,41.506336
2011-01-03,39.00,39.73,33.990002,34.98,128100,33.170933
2010-12-01,36.23,40.110001,36.119999,38.639999,120600,36.641647
2010-11-01,33.419998,37.00,32.799999,35.200001,134100,33.379555
2010-10-01,28.940001,34.34,27.620001,33.150002,159000,31.435575
2010-09-01,24.620001,29.200001,24.40,28.440001,150500,26.969162
