Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.88,5.88,5.59,5.63,6946400,5.63
2013-03-01,5.61,6.10,5.58,6.00,3562500,6.00
2013-02-01,5.60,5.83,5.45,5.54,1887100,5.54
2013-01-02,5.51,5.72,5.19,5.66,2414700,5.66
2012-12-03,4.59,5.42,4.52,5.42,1753400,5.42
2012-11-01,4.47,4.63,4.24,4.61,1090600,4.61
2012-10-01,4.66,4.70,4.46,4.49,764100,4.49
2012-09-04,4.54,4.97,4.44,4.65,1242000,4.65
2012-08-01,4.77,4.87,4.51,4.54,885400,4.54
2012-07-02,4.76,4.96,4.45,4.86,1298700,4.86
2012-06-01,4.25,4.75,4.16,4.75,1003500,4.75
2012-05-01,4.62,4.72,4.18,4.29,1518200,4.29
2012-04-02,5.11,5.16,4.69,4.76,1378700,4.76
2012-03-01,5.12,5.36,4.90,4.98,1807700,4.98
2012-02-01,4.67,5.25,4.67,5.11,1565900,5.11
2012-01-03,4.24,4.63,4.23,4.59,1637400,4.59
2011-12-01,4.33,4.48,4.03,4.19,2933200,4.19
2011-11-01,4.26,4.35,4.01,4.34,1641200,4.34
2011-10-03,4.43,4.68,4.16,4.33,2377200,4.33
2011-09-01,4.47,4.59,4.06,4.45,1710800,4.45
2011-08-01,5.25,5.29,4.18,4.50,3391200,4.50
2011-07-01,4.89,5.21,4.81,5.07,1934800,5.07
2011-06-01,4.61,4.88,4.40,4.83,2712000,4.83
2011-05-02,4.83,4.98,4.43,4.57,2533500,4.57
2011-04-01,4.61,4.80,4.36,4.77,3561400,4.77
2011-03-01,5.64,5.68,4.44,4.60,5075400,4.60
2011-02-01,5.21,5.66,5.19,5.53,3908700,5.53
2011-01-03,5.43,5.63,5.18,5.20,3237500,5.20
2010-12-01,4.75,5.42,4.74,5.41,2439700,5.41
2010-11-01,4.57,4.99,4.50,4.71,2047000,4.71
2010-10-01,4.70,5.00,4.53,4.66,2373100,4.66
2010-09-01,4.80,5.00,4.62,4.63,2094500,4.63
2010-08-02,5.00,5.06,4.72,4.75,2115000,4.75
2010-07-01,4.53,5.05,4.52,4.98,1969000,4.98
2010-06-01,4.86,4.93,4.48,4.56,2461000,4.56
2010-05-03,5.22,5.26,4.76,4.84,3797100,4.84
2010-04-01,5.24,5.56,5.16,5.17,2658300,5.17
2010-03-01,5.11,5.41,5.06,5.23,2840100,5.23
2010-02-01,5.22,5.39,4.94,5.12,2847300,5.12
2010-01-04,4.91,5.54,4.91,5.13,3334500,5.13
2009-12-01,5.67,5.74,4.90,4.92,2946700,4.92
2009-11-02,5.40,5.74,5.06,5.49,2517800,5.49
2009-10-01,5.16,5.78,4.89,5.31,3556900,5.31
2009-09-01,6.31,6.41,5.32,5.34,2236000,5.34
2009-08-03,6.31,6.53,6.10,6.34,1404300,6.34
2009-07-01,6.20,6.33,5.66,6.20,1882700,6.20
2009-06-01,6.45,6.74,6.08,6.14,2051600,6.14
2009-05-01,5.39,6.84,5.39,6.34,3210100,6.34
2009-04-01,4.88,5.57,4.79,5.42,1996400,5.42
2009-03-02,4.27,5.61,3.71,4.92,3663300,4.92
2009-02-02,5.38,5.56,4.26,4.47,3174200,4.47
2009-01-02,6.22,6.34,5.15,5.50,3588000,5.50
2008-12-01,5.11,6.41,4.53,6.21,7368600,6.21
2008-11-03,6.31,6.92,4.50,5.48,3174200,5.48
2008-10-01,8.57,9.14,5.18,6.29,3878300,6.29
2008-09-02,7.63,9.21,6.87,8.74,4696500,8.74
2008-08-01,8.70,8.78,7.21,7.64,2745700,7.64
2008-07-01,8.77,9.67,8.51,8.78,4143100,8.78
2008-06-02,10.69,10.94,8.66,8.80,3411500,8.80
2008-05-01,10.69,11.10,9.45,10.15,2854000,10.15
2008-04-01,8.87,11.11,8.87,10.99,1885100,10.99
2008-03-03,8.69,9.28,7.95,8.70,2384200,8.70
2008-02-01,9.45,9.69,8.46,8.81,2397200,8.81
2008-01-02,9.33,9.90,8.20,9.87,2934200,9.87
2007-12-03,9.96,11.22,8.84,9.33,3536400,9.33
2007-11-01,9.54,10.05,8.04,9.79,3119300,9.79
2007-10-01,9.15,10.27,8.49,9.96,2327400,9.96
2007-09-04,9.46,9.55,8.28,9.08,2120000,9.08
2007-08-01,10.33,10.61,9.03,9.60,2034400,9.532822
