Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.139999,16.139999,15.96,15.99,90400,13.078043
2013-03-01,16.98,16.99,15.22,16.059999,116600,13.135295
2013-02-01,16.65,17.00,16.309999,16.940001,75800,13.788902
2013-01-02,16.309999,17.120001,16.309999,16.639999,67600,13.480401
2012-12-03,17.51,17.60,16.120001,16.34,123500,13.175959
2012-11-01,16.690001,18.450001,16.41,17.610001,120900,14.134245
2012-10-01,16.60,17.09,16.360001,16.559999,107800,13.230791
2012-09-04,16.450001,16.530001,16.18,16.530001,70500,13.143398
2012-08-01,16.42,16.620001,16.08,16.360001,99500,12.94602
2012-07-02,16.040001,16.58,15.82,16.360001,104800,12.883658
2012-06-01,15.76,16.040001,15.58,15.97,81100,12.514934
2012-05-01,15.54,15.99,15.52,15.72,81900,12.256835
2012-04-02,15.03,15.53,15.02,15.50,74000,12.025369
2012-03-01,15.53,15.63,14.29,14.99,142700,11.569646
2012-02-01,15.55,15.67,15.24,15.46,105100,11.872015
2012-01-03,14.85,15.57,14.80,15.55,87400,11.88173
2011-12-01,14.59,14.90,14.40,14.88,64700,11.311998
2011-11-01,14.04,14.58,14.00,14.58,60500,11.025074
2011-10-03,14.09,14.23,13.57,14.01,67600,10.537521
2011-09-01,13.92,14.27,13.79,14.17,72600,10.598908
2011-08-01,13.22,14.04,12.85,13.84,96400,10.2953
2011-07-01,13.34,13.72,13.11,13.15,70500,9.725602
2011-06-01,13.35,13.44,13.21,13.35,63000,9.817865
2011-05-02,12.84,13.46,12.82,13.38,63900,9.783215
2011-04-01,12.45,12.86,12.33,12.81,53900,9.311805
2011-03-01,12.62,12.77,12.39,12.43,73900,8.979737
2011-02-01,12.79,13.02,12.45,12.62,80600,9.061722
2011-01-03,13.13,13.21,12.07,12.73,93400,9.085616
2010-12-01,13.87,13.90,12.41,13.05,135900,9.258181
2010-11-01,14.15,14.27,12.33,13.88,137300,9.788365
2010-10-01,14.32,14.47,14.05,14.17,86500,9.93894
2010-09-01,14.64,14.69,13.99,14.34,87300,10.006419
2010-08-02,14.01,14.70,14.01,14.64,80900,10.16391
2010-07-01,13.61,14.11,13.57,14.03,76700,9.692253
2010-06-01,13.18,13.63,13.18,13.63,62800,9.367339
2010-05-03,13.26,13.49,12.63,13.20,82300,9.024107
2010-04-01,13.35,13.48,13.06,13.27,87700,9.023643
2010-03-01,12.64,13.39,12.53,13.35,87300,9.030121
2010-02-01,12.59,12.82,12.30,12.65,73900,8.509353
2010-01-04,12.62,12.76,12.32,12.55,70300,8.400599
