Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.889999,16.889999,16.639999,16.65,96600,13.213885
2013-03-01,17.879999,18.209999,16.290001,16.790001,46900,13.324994
2013-02-01,17.99,18.50,17.719999,17.719999,32500,13.993917
2013-01-02,16.76,18.030001,16.75,17.959999,40500,14.118697
2012-12-03,18.299999,18.370001,16.52,16.639999,55700,13.018979
2012-11-01,17.74,18.52,17.219999,18.35,36200,14.284567
2012-10-01,17.559999,18.01,17.209999,17.700001,22500,13.714756
2012-09-04,16.98,17.60,16.84,17.540001,24500,13.525876
2012-08-01,17.700001,17.860001,16.76,16.99,24700,13.038078
2012-07-02,16.83,17.65,16.719999,17.58,36500,13.425361
2012-06-01,16.57,16.790001,16.139999,16.790001,26800,12.759089
2012-05-01,16.469999,16.84,16.23,16.57,24400,12.52806
2012-04-02,15.81,16.50,15.71,16.450001,19200,12.375556
2012-03-01,16.26,16.459999,14.83,15.72,38100,11.764787
2012-02-01,16.60,16.690001,15.72,16.219999,31400,12.077773
2012-01-03,15.55,16.719999,15.43,16.60,28100,12.298202
2011-12-01,15.11,15.60,15.04,15.49,22600,11.416256
2011-11-01,15.08,15.16,14.77,15.00,21800,10.993503
2011-10-03,15.04,15.12,14.45,15.05,23600,10.969364
2011-09-01,14.50,15.07,14.37,14.93,22400,10.821157
2011-08-01,13.94,14.64,13.08,14.47,24600,10.429802
2011-07-01,14.04,14.37,13.53,13.78,19000,9.873778
2011-06-01,13.76,14.27,13.68,13.97,21400,9.952681
2011-05-02,13.40,13.79,13.34,13.77,22600,9.751987
2011-04-01,13.69,13.70,13.11,13.35,18200,9.39766
2011-03-01,13.60,13.76,13.35,13.64,16400,9.542693
2011-02-01,13.35,13.70,13.31,13.59,21500,9.450133
2011-01-03,13.64,13.69,12.27,13.39,45300,9.255439
2010-12-01,14.47,14.50,12.76,13.66,49800,9.383996
2010-11-01,15.31,15.37,12.95,14.44,49100,9.804658
2010-10-01,15.90,15.92,15.08,15.30,25700,10.332569
2010-09-01,15.62,16.48,15.44,15.85,53400,10.648741
2010-08-02,14.70,15.82,14.70,15.61,34100,10.435318
2010-07-01,14.53,14.86,14.39,14.70,31400,9.774337
2010-06-01,14.33,14.56,14.17,14.52,23000,9.600681
2010-05-03,14.75,14.78,13.85,14.34,29200,9.428771
2010-04-01,14.18,14.69,14.02,14.67,21900,9.591719
2010-03-01,13.79,14.20,13.77,14.19,27600,9.22503
2010-02-01,13.63,14.05,13.50,13.80,26000,8.920169
2010-01-04,13.58,13.84,13.56,13.68,18400,8.794009
2009-12-01,13.37,13.70,13.25,13.58,20200,8.681369
2009-11-02,13.27,13.40,12.92,13.39,19300,8.511212
2009-10-01,13.59,14.20,12.67,13.27,26900,8.38659
2009-09-01,12.89,13.71,12.83,13.59,29200,8.540043
2009-08-03,12.12,12.97,12.12,12.97,22400,8.103327
2009-07-01,11.68,12.19,11.57,12.15,18100,7.544485
2009-06-01,11.74,12.29,11.50,11.69,21400,7.212413
2009-05-01,11.31,11.74,11.25,11.66,12200,7.148229
