Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.91,15.96,15.80,15.81,240600,12.768818
2013-03-01,15.99,16.34,15.13,15.92,185300,12.857658
2013-02-01,16.940001,17.059999,15.96,16.07,178500,12.919809
2013-01-02,16.82,17.85,16.75,16.889999,99000,13.521916
2012-12-03,17.66,17.82,16.16,16.629999,161100,13.259686
2012-11-01,17.549999,17.879999,17.02,17.809999,98900,14.026608
2012-10-01,17.60,17.65,16.950001,17.50,85000,13.726649
2012-09-04,17.09,17.549999,16.84,17.540001,94400,13.700267
2012-08-01,17.24,17.24,16.360001,17.07,86100,13.276684
2012-07-02,16.43,17.209999,16.40,17.18,70800,13.304939
2012-06-01,16.65,16.809999,16.040001,16.389999,78400,12.638107
2012-05-01,16.459999,16.700001,16.290001,16.59,64700,12.736874
2012-04-02,15.91,16.57,15.79,16.450001,73200,12.574777
2012-03-01,16.389999,16.700001,14.73,15.85,135600,12.062405
2012-02-01,16.48,16.530001,15.75,16.309999,118600,12.358546
2012-01-03,15.45,16.459999,15.30,16.379999,120600,12.356728
2011-12-01,15.00,15.43,14.91,15.32,62400,11.504422
2011-11-01,14.62,15.06,14.57,15.06,56100,11.254468
2011-10-03,14.64,15.00,14.14,14.61,69100,10.865561
2011-09-01,14.57,14.99,14.36,14.65,74300,10.840945
2011-08-01,13.85,14.63,13.22,14.53,84400,10.699909
2011-07-01,13.97,14.29,13.67,13.72,75800,10.051685
2011-06-01,14.22,14.22,13.84,13.91,67500,10.139539
2011-05-02,13.72,14.24,13.60,14.20,69800,10.297999
2011-04-01,13.85,13.85,13.29,13.66,82000,9.855402
2011-03-01,14.08,14.34,13.71,13.81,89400,9.910524
2011-02-01,13.62,14.10,13.55,14.09,106400,10.060515
2011-01-03,13.78,13.85,12.76,13.64,159700,9.68865
2010-12-01,14.85,14.88,13.17,13.79,186400,9.74284
2010-11-01,15.32,15.67,13.30,14.81,177700,10.407968
2010-10-01,15.37,15.51,14.81,15.32,115700,10.715878
2010-09-01,15.28,15.64,15.04,15.38,113500,10.706921
2010-08-02,14.82,16.23,14.75,15.24,109000,10.559889
2010-07-01,14.41,14.87,14.32,14.82,87800,10.223019
2010-06-01,14.15,14.40,14.05,14.40,90800,9.887001
2010-05-03,14.18,14.28,13.41,14.13,89000,9.655422
