Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.85,12.85,12.60,12.64,96400,10.272716
2013-03-01,12.70,13.17,12.46,12.83,65400,10.427131
2013-02-01,12.24,12.86,12.06,12.75,81100,10.362114
2013-01-02,12.25,12.44,11.84,12.17,106400,9.890739
2012-12-03,11.89,12.25,11.60,12.15,118500,9.874485
2012-11-01,12.35,12.51,11.67,11.92,55100,9.577845
2012-10-01,12.84,12.89,12.23,12.36,42400,9.931389
2012-09-04,12.73,12.89,12.45,12.80,58000,10.173678
2012-08-01,12.85,12.87,12.28,12.71,49500,10.102144
2012-07-02,12.95,13.00,12.37,12.71,51200,10.102144
2012-06-01,12.37,13.13,12.11,12.95,89000,10.19678
2012-05-01,13.30,13.30,12.24,12.54,46400,9.873948
2012-04-02,13.13,13.32,12.65,13.20,59900,10.39363
2012-03-01,12.54,13.39,12.26,13.13,70100,10.241965
2012-02-01,12.62,12.99,12.19,12.51,50000,9.758339
2012-01-03,11.82,12.70,11.66,12.54,41200,9.78174
2011-12-01,12.74,12.82,11.53,11.59,60500,9.040699
2011-11-01,12.48,12.99,10.88,12.83,64900,9.907286
2011-10-03,10.43,13.20,10.02,12.93,78300,9.984506
2011-09-01,11.70,11.82,10.43,10.47,106100,8.001838
2011-08-01,12.94,12.94,10.60,11.76,100700,8.987737
2011-07-01,13.28,13.72,12.45,12.51,58700,9.560934
2011-06-01,13.45,13.80,12.38,13.23,65900,10.021194
2011-05-02,13.94,13.94,12.76,13.48,63900,10.210558
2011-04-01,13.83,14.08,13.13,13.83,47600,10.475669
2011-03-01,14.15,14.78,12.83,13.72,112800,10.298301
2011-02-01,14.00,14.57,13.66,14.11,92300,10.591036
2011-01-03,14.75,15.13,13.56,13.92,84400,10.448421
2010-12-01,13.82,15.18,13.82,14.60,79800,10.958833
2010-11-01,13.46,14.10,12.92,13.63,84500,10.147625
2010-10-01,12.99,13.52,12.71,13.35,128400,9.939163
2010-09-01,13.01,13.23,12.69,12.97,101500,9.567322
2010-08-02,13.05,13.21,12.11,12.84,83500,9.471427
2010-07-01,12.89,13.44,12.37,12.82,84000,9.456674
2010-06-01,12.73,13.55,12.39,12.92,121700,9.442398
2010-05-03,14.25,14.81,12.07,12.88,103800,9.413164
2010-04-01,13.61,14.75,13.52,14.13,86500,10.326709
2010-03-01,12.50,13.95,12.27,13.57,65300,9.836261
2010-02-01,11.68,12.56,10.81,12.47,54300,9.038923
2010-01-04,11.93,12.35,11.50,11.70,78500,8.480785
2009-12-01,10.50,12.32,10.10,11.80,89900,8.553271
2009-11-02,8.71,10.82,8.71,10.42,137700,7.478985
2009-10-01,8.76,9.58,8.60,9.18,90400,6.588972
2009-09-01,9.02,9.72,8.58,8.78,101400,6.220817
2009-08-03,9.36,9.74,8.63,9.12,86600,6.461714
2009-07-01,8.54,9.53,7.91,9.21,76400,6.525481
2009-06-01,8.20,8.67,8.04,8.46,91700,5.912906
2009-05-01,8.71,8.89,7.60,8.10,127300,5.661294
2009-04-01,8.22,9.80,8.05,8.56,85200,5.982799
2009-03-02,7.95,9.44,6.18,8.41,117600,5.799848
2009-02-02,10.08,11.00,7.95,7.95,83100,5.482615
2009-01-02,11.08,11.21,10.01,10.20,83800,7.034298
2008-12-01,10.70,11.89,9.08,10.97,87200,7.565319
2008-11-03,12.50,12.60,8.80,11.11,135200,7.577902
2008-10-01,15.00,15.15,10.43,12.30,218700,8.389577
2008-09-02,15.18,15.90,13.65,15.25,124800,10.301211
2008-08-01,14.30,15.25,13.79,14.93,89400,10.085054
2008-07-01,13.60,14.70,13.21,14.08,130100,9.510888
2008-06-02,15.34,15.42,13.69,13.69,141700,9.167842
2008-05-01,15.50,15.96,15.02,15.32,110900,10.259412
2008-04-01,15.32,16.139999,14.50,15.56,97900,10.420134
2008-03-03,15.13,16.030001,14.44,15.24,108900,10.124516
2008-02-01,15.31,15.95,14.28,15.07,102400,10.011579
2008-01-02,16.049999,16.23,13.40,15.27,120000,10.144447
2007-12-03,16.10,17.18,15.62,16.139999,91200,10.722421
2007-11-01,17.059999,17.860001,15.83,16.07,124000,10.600202
2007-10-01,18.59,19.219999,16.879999,17.059999,109200,11.253232
2007-09-04,16.610001,19.25,15.92,18.530001,116200,12.138974
2007-08-01,16.27,17.24,15.34,16.60,142900,10.874635
2007-07-02,18.809999,19.200001,15.71,16.17,185600,10.592942
2007-06-01,19.450001,19.99,18.67,18.809999,160300,12.239654
2007-05-01,17.85,19.379999,17.629999,19.35,129400,12.591032
2007-04-02,15.65,18.50,15.21,17.57,144400,11.432787
2007-03-01,15.96,16.35,14.91,15.65,108600,10.111008
2007-02-01,15.31,17.35,15.23,15.96,229200,10.31129
2007-01-03,13.46,15.30,13.28,15.26,39200,9.85904
2006-12-01,13.58,14.04,13.35,13.36,29700,8.631505
2006-11-01,13.18,14.38,13.01,13.57,27500,8.650801
2006-10-02,12.95,13.50,12.83,13.08,48700,8.338428
2006-09-01,13.69,13.87,12.90,12.96,33200,8.185958
2006-08-01,13.37,13.68,12.51,13.66,19600,8.6281
2006-07-03,13.45,13.50,12.43,13.22,40100,8.350183
2006-06-01,12.07,13.93,12.01,13.44,120600,8.409865
2006-05-01,12.45,12.45,11.92,12.07,18900,7.552609
