Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.209999,25.219999,25.120001,25.16,82800,20.557386
2013-03-01,25.219999,25.43,24.99,25.15,29900,20.549215
2013-02-01,25.15,25.32,25.00,25.18,35000,20.257395
2013-01-02,25.23,25.379999,24.959999,25.15,32300,20.233259
2012-12-03,25.08,25.190001,24.76,24.99,29700,20.10454
2012-11-01,25.07,25.190001,24.90,25.08,20700,19.86326
2012-10-01,24.959999,25.129999,24.879999,25.07,24300,19.855339
2012-09-04,25.02,25.129999,24.610001,24.889999,31600,19.71278
2012-08-01,24.799999,25.02,24.76,25.02,30700,19.505823
2012-07-02,24.200001,24.969999,24.049999,24.83,46100,19.357697
2012-06-01,23.049999,24.610001,22.969999,23.799999,59200,18.554699
2012-05-01,24.42,24.52,22.15,23.57,65500,18.077141
2012-04-02,24.35,24.68,23.68,24.450001,43100,18.752062
2012-03-01,24.360001,24.98,23.65,24.27,49700,18.61401
2012-02-01,23.639999,24.82,23.51,24.360001,100500,18.3906
2012-01-03,21.10,23.49,21.00,23.48,87200,17.726242
2011-12-01,20.870001,22.290001,20.24,20.76,44000,15.672777
2011-11-01,21.75,22.60,19.870001,20.790001,51000,15.414432
2011-10-03,20.389999,22.58,18.10,22.049999,63700,16.348639
2011-09-01,23.780001,24.09,20.41,20.639999,56500,15.303215
2011-08-01,23.870001,24.42,18.25,23.68,57900,17.26874
2011-07-01,24.25,24.469999,23.15,23.77,39300,17.334372
2011-06-01,24.540001,24.60,23.799999,24.139999,33600,17.604197
2011-05-02,24.190001,24.780001,24.059999,24.59,32000,17.646173
2011-04-01,23.959999,24.379999,23.200001,24.18,33000,17.351952
2011-03-01,23.66,24.32,23.23,23.870001,33900,17.12949
2011-02-01,23.02,23.700001,23.02,23.700001,46000,16.730648
2011-01-03,22.809999,23.190001,22.43,23.190001,47900,16.370621
2010-12-01,24.07,24.440001,21.85,22.799999,65400,16.095304
2010-11-01,24.120001,24.68,23.440001,24.02,63100,16.678207
2010-10-01,24.15,24.49,23.530001,24.139999,113200,16.761528
2010-09-01,24.10,24.50,23.48,24.10,74900,16.733755
2010-08-02,23.41,24.25,23.209999,24.10,81300,16.466372
2010-07-01,21.389999,23.42,21.049999,23.309999,53200,15.926601
2010-06-01,20.879999,21.66,20.75,21.32,44600,14.566931
2010-05-03,21.77,21.799999,18.780001,20.959999,54900,14.060517
2010-04-01,22.299999,22.450001,21.41,21.690001,44100,14.550221
2010-03-01,21.790001,22.60,21.76,22.15,83800,14.858801
2010-02-01,21.200001,21.879999,20.93,21.809999,56200,14.376471
2010-01-04,21.219999,21.42,20.950001,21.190001,85600,13.967787
2009-12-01,20.450001,21.65,20.35,21.120001,104200,13.921645
2009-11-02,20.719999,20.799999,19.82,20.40,66600,13.200198
2009-10-01,21.370001,21.700001,20.60,20.68,63700,13.381378
2009-09-01,20.34,22.15,19.950001,21.26,49300,13.756678
2009-08-03,20.540001,21.299999,19.83,20.530001,66800,13.03603
2009-07-01,19.389999,20.58,18.559999,20.48,56000,13.004281
2009-06-01,17.809999,19.209999,17.809999,19.18,57900,12.178814
2009-05-01,16.030001,18.440001,15.80,17.879999,89200,11.120075
2009-04-01,14.36,16.450001,14.27,15.80,73300,9.826465
2009-03-02,12.14,15.96,10.00,14.45,94400,8.986862
2009-02-02,15.81,16.15,10.32,13.00,66500,7.851591
2009-01-02,15.00,17.24,13.01,16.08,61800,9.711814
2008-12-01,13.65,15.00,12.00,14.93,47700,9.01725
2008-11-03,14.51,15.60,8.58,13.65,42400,7.986086
2008-10-01,12.18,15.55,4.21,14.58,171200,8.530193
2008-09-02,19.469999,19.90,6.33,11.51,163700,6.734055
2008-08-01,18.93,19.50,18.15,19.450001,21800,11.007421
2008-07-01,18.139999,20.809999,12.96,19.07,35300,10.792366
2008-06-02,21.00,21.15,17.780001,17.780001,25000,10.062311
2008-05-01,21.26,21.610001,20.940001,21.08,20000,11.687954
2008-04-01,20.42,21.40,20.049999,21.34,22500,11.832112
2008-03-03,21.860001,22.10,16.67,20.18,73300,11.188943
2008-02-01,22.15,22.75,21.620001,21.91,62500,11.910894
2008-01-02,19.389999,22.48,19.16,22.299999,52300,12.122909
2007-12-03,20.85,21.90,18.549999,19.059999,58800,10.361553
2007-11-01,22.280001,22.280001,19.01,20.99,42400,11.19301
2007-10-01,22.74,22.959999,22.25,22.290001,21700,11.886242
2007-09-04,23.02,23.02,21.27,22.719999,26800,12.115541
2007-08-01,22.50,23.129999,20.219999,22.969999,34900,12.039349
2007-07-02,23.74,23.82,22.200001,22.49,39800,11.787766
2007-06-01,24.41,24.49,23.299999,23.58,26500,12.359071
2007-05-01,24.690001,24.85,22.00,24.50,43500,12.630486
2007-04-02,24.93,24.950001,24.620001,24.639999,36000,12.702661
2007-03-01,25.08,25.290001,24.809999,24.809999,43500,12.7903
2007-02-01,25.040001,25.110001,24.809999,25.10,25300,12.739193
2007-01-03,25.10,25.18,24.90,25.049999,27900,12.713815
2006-12-01,25.02,25.23,24.639999,25.049999,26900,12.713815
2006-11-01,24.780001,25.15,24.66,25.02,22500,12.500854
2006-10-02,24.50,24.82,24.35,24.780001,45400,12.380941
2006-09-01,24.57,24.709999,23.870001,24.50,45900,12.241043
2006-08-01,23.52,24.66,23.469999,24.639999,24100,12.11347
2006-07-03,22.68,23.65,22.530001,23.52,29300,11.562858
2006-06-01,23.139999,23.549999,22.35,22.57,24200,11.09582
2006-05-01,22.950001,23.35,22.709999,23.17,26800,11.200621
2006-04-03,24.290001,24.290001,22.700001,22.98,42000,11.108772
2006-03-01,25.02,25.120001,24.16,24.290001,33000,11.742041
2006-02-01,24.50,25.040001,24.50,25.01,21200,11.899097
2006-01-03,24.280001,24.889999,24.200001,24.59,24300,11.699272
2005-12-01,24.219999,24.719999,24.040001,24.24,35600,11.532751
2005-11-01,24.290001,24.440001,23.74,24.25,30500,11.354575
2005-10-03,24.99,25.10,24.16,24.370001,32700,11.410763
2005-09-01,25.309999,25.49,24.700001,24.950001,18100,11.682336
2005-08-01,25.389999,25.50,25.200001,25.309999,19600,11.66753
2005-07-01,25.26,25.57,25.00,25.34,26100,11.68136
2005-06-01,25.01,25.360001,24.809999,25.15,23000,11.593773
2005-05-02,24.809999,25.200001,24.709999,25.00,32800,11.345881
