Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.96,14.04,13.55,13.76,139000,12.384659
2013-03-01,14.57,15.64,13.53,13.96,84300,12.564669
2013-02-01,14.92,15.21,13.09,14.72,144800,13.170568
2013-01-02,15.60,15.60,14.36,14.78,96400,13.224252
2012-12-03,14.91,15.22,13.98,15.15,88400,13.555305
2012-11-01,14.89,15.08,13.22,14.87,98900,13.304778
2012-10-01,15.73,16.190001,14.36,14.83,89000,13.195982
2012-09-04,14.78,16.58,14.67,15.62,119700,13.898937
2012-08-01,16.48,16.540001,14.24,14.80,126900,13.098675
2012-07-02,17.209999,17.82,15.96,16.440001,223500,14.55015
2012-06-01,16.50,17.98,16.120001,17.16,253200,15.187382
2012-05-01,16.50,17.32,15.71,16.82,149500,14.816577
2012-04-02,14.75,17.540001,14.71,16.530001,272000,14.561119
2012-03-01,13.39,14.84,12.75,14.75,116500,12.993134
2012-02-01,13.38,14.96,13.02,13.32,115600,11.664389
2012-01-03,12.65,13.57,12.23,13.31,86700,11.655632
2011-12-01,12.23,13.36,11.82,12.34,122700,10.806198
2011-11-01,11.81,13.66,10.75,12.26,137300,10.736142
2011-10-03,10.07,12.56,9.49,12.22,184400,10.631691
2011-09-01,10.85,11.41,9.61,10.15,173600,8.830741
2011-08-01,12.04,12.17,9.47,10.88,271900,9.465858
2011-07-01,10.33,12.29,10.30,11.90,164100,10.285929
2011-06-01,10.38,10.47,9.63,10.28,190600,8.885659
2011-05-02,10.71,11.01,9.78,10.47,122700,8.989384
2011-04-01,10.00,11.00,9.79,10.67,131500,9.1611
2011-03-01,10.00,10.25,9.09,9.93,107400,8.525747
2011-02-01,9.19,10.22,9.06,10.12,106400,8.625588
2011-01-03,9.89,10.10,8.69,9.14,111900,7.790304
2010-12-01,9.85,10.94,9.70,9.74,116800,8.301702
2010-11-01,8.89,10.12,8.55,9.60,89200,8.182377
2010-10-01,8.71,9.76,8.34,8.83,115300,7.477405
2010-09-01,6.46,8.64,6.30,8.59,190700,7.274169
2010-08-02,8.06,8.16,6.20,6.37,146100,5.339189
2010-07-01,8.09,8.62,7.64,7.91,172300,6.629982
2010-06-01,8.89,8.99,7.69,8.09,215100,6.780854
2010-05-03,10.96,11.24,8.52,8.98,163700,7.463866
2010-04-01,10.52,11.55,10.34,10.86,158200,9.026457
2010-03-01,9.32,10.85,9.32,10.48,124500,8.710614
2010-02-01,9.17,9.85,8.12,9.27,108100,7.656422
2010-01-04,9.28,9.65,8.92,9.14,159100,7.549051
2009-12-01,8.40,9.51,8.31,9.10,109200,7.516013
2009-11-02,8.50,9.45,7.99,8.27,147500,6.830487
2009-10-01,10.72,10.85,8.55,8.77,164600,7.192504
2009-09-01,10.21,11.25,9.95,10.77,115900,8.832756
2009-08-03,9.92,11.51,9.50,10.25,132400,8.356352
2009-07-01,8.40,10.29,7.21,9.84,132400,8.022098
2009-06-01,10.26,10.74,7.58,8.32,191800,6.782912
2009-05-01,10.03,10.61,8.78,10.10,232500,8.185959
2009-04-01,6.02,10.15,6.01,10.03,273100,8.129224
2009-03-02,4.00,6.56,2.79,6.14,132500,4.976414
2009-02-02,6.24,6.60,3.84,3.95,106900,3.151286
2009-01-02,8.02,8.34,5.30,6.27,125500,5.002168
2008-12-01,5.91,8.60,4.80,8.00,193400,6.382351
2008-11-03,10.38,10.70,5.28,6.08,189400,4.850587
2008-10-01,12.61,12.94,7.25,10.57,202500,8.353871
2008-09-02,13.42,14.20,11.65,12.61,185900,9.966161
2008-08-01,11.23,13.49,10.76,13.16,165800,10.354345
2008-07-01,8.13,11.66,7.43,11.20,233500,8.812209
2008-06-02,12.08,12.21,8.13,8.15,278800,6.412456
2008-05-01,12.46,13.09,11.24,12.15,111300,9.510691
2008-04-01,13.33,13.70,10.93,12.58,212000,9.847283
2008-03-03,12.17,14.11,11.18,13.13,234600,10.277808
2008-02-01,11.75,15.09,11.50,12.17,317400,9.479534
2008-01-02,14.48,14.64,9.73,11.74,284600,9.144595
2007-12-03,20.049999,21.76,13.32,14.47,791100,11.271065
2007-11-01,20.91,21.110001,16.459999,19.959999,494800,15.176935
2007-10-01,19.77,21.200001,19.68,21.190001,147200,16.112188
2007-09-04,21.219999,21.35,18.440001,19.82,294100,15.070484
2007-08-01,21.35,22.190001,19.10,21.299999,294500,16.195827
2007-07-02,22.16,22.43,20.25,21.389999,368800,16.264261
2007-06-01,22.190001,22.450001,21.85,22.110001,511700,16.811726
2007-05-01,22.41,22.52,22.059999,22.17,324100,16.776772
2007-04-02,18.799999,22.73,18.59,22.450001,430900,16.988657
2007-03-01,16.700001,19.07,16.35,18.68,245400,14.135774
2007-02-01,17.16,18.43,16.42,17.00,182500,12.825767
2007-01-03,15.75,17.290001,14.93,17.219999,199000,12.991747
2006-12-01,16.10,16.709999,15.45,15.66,160000,11.814795
2006-11-01,18.16,18.200001,15.32,16.16,221600,12.192023
2006-10-02,16.940001,18.77,16.67,18.120001,157900,13.626444
2006-09-01,16.32,17.66,15.75,17.00,174100,12.784191
2006-08-01,16.50,17.00,15.30,16.43,99900,12.317875
2006-07-03,17.10,17.370001,15.13,16.639999,135000,12.475315
2006-06-01,15.84,17.190001,14.63,17.190001,204700,12.887661
2006-05-01,17.73,18.389999,15.70,15.90,209000,11.882293
2006-04-03,15.90,17.969999,15.90,17.700001,150000,13.227459
2006-03-01,16.00,17.700001,15.49,15.99,141200,11.949552
2006-02-01,14.97,16.469999,14.00,16.00,200000,11.919659
2006-01-03,14.57,15.50,14.37,15.00,143700,11.17468
2005-12-01,13.99,14.84,13.81,14.58,138800,10.861789
2005-11-01,11.79,14.00,11.25,13.99,131800,10.386485
2005-10-03,11.66,11.90,10.60,11.42,98100,8.47846
2005-09-01,12.33,12.39,11.38,11.64,79000,8.641793
2005-08-01,13.18,13.70,12.13,12.30,95800,9.094671
2005-07-01,12.50,13.49,12.31,13.20,123100,9.760135
2005-06-01,11.20,13.60,11.14,12.50,99800,9.242552
2005-05-02,9.71,11.70,9.42,11.15,172800,8.208696
2005-04-01,14.10,14.51,9.23,9.61,172600,7.074939
2005-03-01,13.05,14.84,13.05,14.11,209700,10.387866
2005-02-01,13.00,13.13,11.98,13.05,98300,9.571932
2005-01-03,12.89,13.10,12.00,12.94,113500,9.491248
2004-12-01,11.33,12.97,10.27,12.80,137800,9.388561
2004-11-01,10.60,11.60,10.47,11.33,82000,8.269923
2004-10-01,11.03,11.43,10.02,10.63,65700,7.758984
2004-09-01,11.43,12.00,10.80,10.95,68600,7.992556
2004-08-02,13.099999,13.150005,11.09,11.38,66700,8.268935
2004-07-01,14.099998,14.889997,11.860003,13.099999,137900,8.653382
2004-06-01,13.42,14.160004,13.339997,14.099998,76600,9.313946
2004-05-03,13.97,14.070001,12.200001,13.510003,80600,8.892302
2004-04-01,12.400003,14.20,11.400004,14.109997,103800,9.287218
2004-03-01,12.500004,12.500004,11.070004,12.300002,65300,8.095878
2004-02-02,12.579997,12.720004,11.070004,12.290004,67500,8.056066
2004-01-02,12.420001,12.999998,11.390006,12.500004,75700,8.193721
2003-12-01,12.730003,13.300001,12.119998,12.119998,50100,7.944628
2003-11-03,12.280005,12.899998,11.860003,12.530002,44400,8.181797
2003-10-01,10.02,12.689996,10.02,12.200001,55400,7.966314
2003-09-02,10.45,11.249997,9.780002,10.01,38900,6.536295
2003-08-01,11.500005,11.500005,10.259996,10.499995,43400,6.824185
2003-07-01,9.530005,11.679998,9.35,11.599996,57400,7.5391
2003-06-02,9.900001,11.159995,9.330003,9.499996,40300,6.174263
2003-05-01,10.000001,10.349999,9.200004,9.900001,36700,6.404723
2003-04-01,9.650003,10.300004,9.499996,10.039997,27200,6.495292
2003-03-03,9.699998,10.249998,8.80,9.550002,36900,6.178294
2003-02-03,10.330002,10.499995,9.499996,9.699998,41900,6.243287
2003-01-02,10.699997,11.420002,10.029999,10.320002,43600,6.642344
2002-12-02,11.200002,11.589996,10.02,10.699997,48400,6.886924
2002-11-01,12.290004,12.889997,11.009999,11.200002,40700,7.176189
2002-10-01,12.559999,13.700006,11.620004,12.300002,36200,7.880994
2002-09-03,12.579997,12.950003,11.950004,12.530002,43600,8.028361
2002-08-01,16.490004,16.699993,14.089995,15.73,34600,8.030581
2002-07-01,17.199999,17.749998,12.759999,16.479994,52200,8.413473
2002-06-03,15.849997,17.349998,14.779999,17.139994,64600,8.750421
2002-05-01,17.899998,17.950006,14.800006,15.790005,102200,8.030698
2002-04-01,14.499994,18.100004,14.019995,18.100004,45300,9.205549
2002-03-01,12.65,14.550002,12.399998,14.499994,50000,7.374606
2002-02-01,12.759999,13.000006,11.500005,12.549995,29100,6.35216
2002-01-02,13.649996,14.499994,12.160006,12.799998,29600,6.478698
2001-12-03,12.299994,14.580005,11.900005,13.649996,30100,6.908924
2001-11-01,12.820004,13.050001,12.200005,12.399998,19600,6.245445
2001-10-01,11.500005,14.199996,10.899996,12.919995,22000,6.50735
2001-09-04,12.600005,13.139996,10.700003,11.849998,28000,5.96843
2001-08-01,14.20,14.799994,12.020003,12.65,21400,6.34168
2001-07-02,15.099998,15.200006,13.600007,14.250004,31000,6.494356
2001-06-01,15.000008,15.60,14.40,15.099998,35100,6.881736
2001-05-01,14.969999,15.499994,14.419994,15.049995,23200,6.831602
2001-04-02,13.370002,14.950005,12.249994,14.950005,25500,6.786213
2001-03-01,12.499995,13.500001,11.010002,13.500001,19500,6.128017
2001-02-01,14.190002,14.950005,11.799996,12.499995,28400,5.646852
