Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.08,21.120001,21.00,21.08,160800,16.609715
2013-03-01,21.280001,21.40,20.440001,20.969999,143000,16.523041
2013-02-01,21.07,21.35,20.91,21.280001,107900,16.67602
2013-01-02,21.18,21.50,20.75,20.93,80000,16.316189
2012-12-03,21.469999,21.469999,20.379999,21.18,79200,16.425396
2012-11-01,21.219999,21.799999,20.67,21.34,76600,16.461918
2012-10-01,21.549999,21.549999,20.85,21.17,79600,16.248634
2012-09-04,21.77,21.780001,20.110001,21.40,129500,16.340317
2012-08-01,21.77,21.959999,20.809999,21.57,89300,16.386351
2012-07-02,21.200001,21.82,21.129999,21.77,96300,16.453136
2012-06-01,20.98,21.15,20.559999,21.15,86100,15.903292
2012-05-01,20.35,20.92,20.299999,20.870001,85600,15.610792
2012-04-02,20.219999,20.35,19.90,20.32,86000,15.119433
2012-03-01,20.90,20.92,19.139999,20.18,130400,14.934241
2012-02-01,21.09,21.209999,20.32,20.85,86000,15.348785
2012-01-03,20.540001,21.25,20.209999,21.09,92400,15.439373
2011-12-01,20.139999,20.950001,20.030001,20.530001,104100,14.944671
2011-11-01,19.74,20.200001,19.74,20.059999,93100,14.518785
2011-10-03,19.99,20.209999,19.40,19.77,91800,14.224893
2011-09-01,19.540001,20.16,19.49,19.950001,135700,14.269413
2011-08-01,18.57,19.58,18.18,19.459999,145400,13.837469
2011-07-01,18.99,19.299999,18.18,18.379999,118300,12.989073
2011-06-01,18.799999,19.110001,18.57,18.99,93900,13.338037
2011-05-02,18.40,18.91,18.25,18.83,65600,13.143392
2011-04-01,18.18,18.459999,17.99,18.299999,75600,12.694082
2011-03-01,18.690001,18.84,17.969999,18.059999,76800,12.446757
2011-02-01,18.049999,18.610001,17.639999,18.60,105300,12.738068
2011-01-03,18.370001,18.809999,17.34,17.940001,110100,12.206212
2010-12-01,19.24,19.469999,17.49,18.370001,175200,12.419088
2010-11-01,19.950001,20.16,18.00,19.08,159600,12.817988
2010-10-01,20.530001,20.59,19.77,19.85,97200,13.256835
2010-09-01,20.379999,20.700001,20.10,20.52,126100,13.626118
2010-08-02,19.809999,20.709999,19.75,20.559999,142800,13.574145
2010-07-01,19.809999,19.99,19.530001,19.799999,66200,12.996019
2010-06-01,20.00,20.120001,19.40,19.799999,56800,12.919915
2010-05-03,20.01,20.309999,20.00,20.01,68800,12.980866
2010-04-28,20.00,20.10,20.00,20.01,184500,12.980866
