Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,22.139999,22.15,22.07,22.08,28200,17.61665
2013-03-01,22.059999,22.190001,21.42,22.120001,21500,17.648563
2013-02-01,21.68,22.040001,21.57,22.02,24400,17.479076
2013-01-02,21.620001,22.18,21.35,21.60,28900,17.061363
2012-12-03,22.059999,22.059999,21.35,21.66,20300,17.025036
2012-11-01,21.780001,22.389999,21.549999,21.93,27800,17.152252
2012-10-01,22.059999,22.08,21.389999,21.76,23500,16.937185
2012-09-04,22.040001,22.139999,21.35,22.049999,32400,17.078281
2012-08-01,22.309999,22.41,21.129999,21.950001,34600,16.917425
2012-07-02,21.459999,22.34,21.459999,22.27,22000,17.080196
2012-06-01,21.68,21.790001,21.200001,21.58,22400,16.47031
2012-05-01,21.299999,21.700001,21.23,21.66,23500,16.449402
2012-04-02,21.049999,21.42,20.75,21.360001,20500,16.141253
2012-03-01,22.00,22.00,20.200001,20.969999,45300,15.766745
2012-02-01,21.99,22.26,21.52,22.00,31400,16.458544
2012-01-03,21.620001,21.99,21.450001,21.85,31200,16.253004
2011-12-01,21.27,21.860001,20.99,21.620001,25500,15.98897
2011-11-01,20.690001,21.40,20.459999,21.219999,25200,15.600751
2011-10-03,21.049999,21.18,20.01,20.59,29800,15.046713
2011-09-01,20.379999,21.370001,20.27,21.139999,48600,15.355147
2011-08-01,20.02,20.50,19.32,20.26,51500,14.627911
2011-07-01,20.10,20.139999,19.620001,19.940001,42900,14.307596
2011-06-01,19.360001,21.77,19.120001,20.10,60700,14.331358
2011-05-02,18.690001,19.48,18.57,19.450001,37100,13.77816
2011-04-01,18.690001,19.190001,18.379999,18.620001,30100,13.102495
2011-03-01,19.110001,19.959999,18.389999,18.629999,17700,13.021435
2011-02-01,18.32,19.110001,18.32,19.10,26500,13.26113
2011-01-03,18.700001,19.450001,18.01,18.41,33100,12.697119
2010-12-01,20.00,20.09,18.049999,18.66,56600,12.783379
2010-11-24,20.00,20.049999,20.00,20.01,66200,13.708221
