Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.200001,16.200001,15.49,15.62,10586800,14.754644
2013-03-01,16.559999,17.280001,15.30,16.219999,5055200,15.321404
2013-02-01,16.709999,18.24,15.41,16.76,5749700,15.792542
2013-01-02,14.89,16.940001,14.35,16.67,5183400,15.707737
2012-12-03,14.81,15.01,13.50,14.45,4258100,13.615885
2012-11-01,13.46,14.86,12.75,14.70,4234800,13.851454
2012-10-01,14.16,15.50,13.45,13.49,6209400,12.7113
2012-09-04,14.72,16.83,13.65,14.03,5614900,13.220129
2012-08-01,13.97,16.549999,13.26,14.77,8273400,13.917414
2012-07-02,14.46,14.80,12.77,13.84,8230100,13.041097
2012-06-01,13.11,14.49,12.40,14.40,8062000,13.56877
2012-05-01,16.68,17.51,13.00,13.55,7541900,12.767837
2012-04-02,17.40,17.84,15.19,16.65,6789000,15.688891
2012-03-01,21.84,22.27,16.82,17.49,7774500,16.480402
2012-02-01,18.799999,22.73,18.24,21.780001,8573600,20.522766
2012-01-03,17.98,19.940001,16.360001,18.620001,8016500,17.545176
2011-12-01,17.860001,19.01,16.040001,17.34,5601100,16.339062
2011-11-01,17.25,21.00,15.96,17.940001,8530400,16.904428
2011-10-03,12.12,20.040001,11.05,18.33,10637400,17.271915
2011-09-01,18.540001,18.860001,12.26,12.26,8247500,11.552301
2011-08-01,26.940001,27.139999,16.200001,18.440001,8172800,17.375566
2011-07-01,24.48,27.629999,23.639999,26.41,5504100,24.885502
2011-06-01,27.799999,27.99,22.43,24.639999,6177600,23.217674
2011-05-02,30.780001,30.85,25.50,27.889999,5547200,26.280071
2011-04-01,30.60,32.470001,28.93,30.639999,5971600,28.871328
2011-03-01,28.66,30.700001,25.639999,30.379999,5314800,28.626337
2011-02-01,24.67,28.799999,24.48,28.469999,6034700,26.82659
2011-01-03,23.74,24.610001,21.50,24.40,4752600,22.991528
2010-12-01,22.60,24.07,21.540001,23.459999,3536100,22.105789
2010-11-01,21.129999,22.49,20.58,22.09,4297700,20.814871
2010-10-01,18.33,20.99,17.360001,20.90,6130800,19.693563
2010-09-01,16.02,19.129999,15.95,18.059999,4724400,17.0175
2010-08-02,18.85,18.889999,15.54,15.68,6139000,14.774884
2010-07-01,17.530001,19.040001,16.870001,18.41,6831100,17.347296
2010-06-01,18.65,22.129999,17.530001,17.620001,8302200,16.6029
2010-05-03,21.58,21.790001,16.389999,19.030001,8357200,17.931509
2010-04-01,19.83,22.82,19.120001,21.57,7855000,20.324888
2010-03-01,22.26,23.549999,18.74,19.629999,7413300,18.496872
2010-02-01,22.76,24.190001,21.139999,22.040001,6856700,20.767759
2010-01-04,22.49,27.049999,22.16,22.299999,7048400,21.012749
