Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.08,13.17,12.75,12.82,258600,12.82
2013-03-01,12.60,13.60,12.51,13.14,132600,13.14
2013-02-01,11.61,12.95,10.84,12.73,227500,12.73
2013-01-02,11.43,11.83,11.15,11.53,195500,11.53
2012-12-03,10.51,11.27,10.31,11.16,209800,11.16
2012-11-01,10.41,10.82,9.47,10.41,176900,10.41
2012-10-01,11.10,11.38,10.35,10.39,178300,10.39
2012-09-04,11.06,11.91,10.70,11.05,216200,11.05
2012-08-01,11.66,11.99,10.88,11.05,219400,11.05
2012-07-02,12.70,13.45,10.78,11.63,171600,11.63
2012-06-01,11.71,12.73,11.12,12.64,195500,12.64
2012-05-01,13.92,14.20,11.80,11.97,200700,11.97
2012-04-02,13.81,14.62,13.71,13.92,244600,13.92
2012-03-01,13.62,14.48,12.85,13.91,240300,13.91
2012-02-01,12.92,14.27,12.73,13.51,266800,13.51
2012-01-03,11.61,12.99,11.60,12.81,184700,12.81
2011-12-01,11.25,11.49,10.13,11.41,211400,11.41
2011-11-01,10.86,11.47,9.63,11.27,240800,11.27
2011-10-03,9.20,12.72,8.47,11.33,274800,11.33
2011-09-01,9.55,10.35,8.33,9.27,391700,9.27
2011-08-01,11.91,11.97,9.05,9.49,359900,9.49
2011-07-01,10.52,12.78,10.26,11.77,297900,11.77
2011-06-01,10.05,10.50,9.24,10.49,195200,10.49
2011-05-02,11.68,11.70,9.70,10.10,308400,10.10
2011-04-01,10.05,12.08,9.43,11.65,225000,11.65
2011-03-01,9.38,9.99,9.01,9.99,228500,9.99
2011-02-01,10.26,10.49,9.07,9.39,830800,9.39
2011-01-03,9.30,10.38,8.91,10.19,319500,10.19
2010-12-01,8.45,9.65,8.36,9.20,226500,9.20
2010-11-01,9.19,9.33,8.30,8.32,420600,8.32
2010-10-01,11.69,12.49,9.04,9.15,472100,9.15
2010-09-01,10.00,11.72,9.98,11.63,221300,11.63
2010-08-02,9.93,10.70,9.71,9.90,307800,9.90
2010-07-01,10.40,10.40,8.67,9.84,462200,9.84
2010-06-01,12.02,12.07,10.37,10.38,318600,10.38
2010-05-03,12.87,13.17,11.62,12.12,352300,12.12
2010-04-01,12.16,13.49,11.83,12.88,383000,12.88
2010-03-01,11.73,12.69,11.64,12.13,425300,12.13
2010-02-01,13.57,14.50,11.32,11.63,481300,11.63
2010-01-04,14.99,15.40,12.84,13.56,269800,13.56
2009-12-01,13.31,15.59,13.24,14.86,336700,14.86
2009-11-02,14.32,15.25,12.92,13.25,323800,13.25
2009-10-01,13.36,14.64,12.27,14.24,350900,14.24
2009-09-01,12.54,14.08,12.08,13.50,338300,13.50
2009-08-03,12.30,13.29,12.15,12.59,321300,12.59
2009-07-01,13.03,14.00,11.53,11.90,515700,11.90
2009-06-01,12.16,14.37,11.96,12.92,342700,12.92
2009-05-01,14.67,14.75,11.41,11.91,580700,11.91
2009-04-01,12.90,14.99,12.15,14.71,485000,14.71
2009-03-02,12.64,13.86,10.59,13.07,510700,13.07
2009-02-02,14.17,14.90,11.25,12.97,515700,12.97
2009-01-02,16.209999,16.209999,13.39,14.33,577000,14.33
2008-12-01,18.440001,20.40,14.70,15.87,765000,15.87
2008-11-03,16.07,18.91,15.03,18.91,581200,18.91
2008-10-01,19.50,20.620001,12.95,16.17,938600,16.17
2008-09-02,17.559999,22.780001,16.07,19.889999,675900,19.889999
2008-08-01,18.459999,18.469999,15.59,17.309999,493900,17.309999
2008-07-01,19.440001,20.59,17.92,18.48,485400,18.48
2008-06-02,20.200001,20.23,17.67,19.559999,660800,19.559999
2008-05-01,20.030001,22.049999,19.73,20.15,533700,20.15
2008-04-01,18.860001,22.049999,17.73,20.120001,605800,20.120001
2008-03-03,16.25,19.84,16.01,18.98,1132700,18.98
2008-02-01,11.88,16.379999,11.60,16.309999,853600,16.309999
2008-01-02,13.57,13.84,10.92,11.84,504700,11.84
2007-12-03,12.99,14.44,12.04,13.67,350000,13.67
2007-11-01,12.90,13.73,11.98,12.98,439000,12.98
2007-10-01,12.69,15.14,12.07,13.18,774200,13.18
2007-09-04,17.49,17.639999,12.55,12.66,607400,12.66
2007-08-01,15.70,18.99,14.76,17.65,999900,17.65
2007-07-02,18.57,19.60,15.59,15.75,1133700,15.75
2007-06-01,20.700001,21.049999,18.309999,18.559999,1111400,18.559999
2007-05-01,19.120001,20.959999,18.889999,20.84,834500,20.84
2007-04-02,19.83,20.32,17.58,19.18,725100,19.18
2007-03-01,19.049999,20.120001,18.200001,19.76,445900,19.76
2007-02-01,20.879999,22.629999,19.219999,19.370001,431200,19.370001
2007-01-03,19.90,20.91,19.25,20.780001,294000,20.780001
2006-12-01,19.10,20.299999,19.00,19.76,355100,19.76
2006-11-01,17.90,19.299999,17.450001,19.049999,391700,19.049999
2006-10-02,19.940001,20.59,17.27,17.809999,581700,17.809999
2006-09-01,19.799999,20.74,18.049999,20.059999,329400,20.059999
