Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,0.025,0.025,0.025,0.025,000,0.25
2013-03-01,0.04,0.04,0.024,0.025,200,0.25
2013-02-01,0.04,0.047,0.04,0.04,1600,0.40
2013-01-01,0.04,0.048,0.03,0.04,3500,0.40
2012-12-03,0.04,0.04,0.04,0.04,200,0.40
2012-11-01,0.08,0.08,0.046,0.046,6500,0.46
2012-10-01,0.07,0.10,0.07,0.08,3100,0.80
2012-09-03,0.035,0.07,0.035,0.07,7300,0.70
2012-08-01,0.045,0.05,0.04,0.04,3200,0.40
2012-07-02,0.145,0.145,0.04,0.045,800,0.45
2012-06-01,0.145,0.145,0.145,0.145,000,1.45
2012-05-01,0.145,0.145,0.145,0.145,000,1.45
2012-04-02,0.145,0.145,0.145,0.145,000,1.45
2012-03-01,0.17,0.17,0.145,0.145,2300,1.45
2012-02-01,0.185,0.185,0.13,0.17,12300,1.70
2012-01-02,0.225,0.225,0.15,0.185,5500,1.85
2011-12-01,0.225,0.225,0.225,0.225,000,2.25
2011-11-17,0.225,0.225,0.225,0.225,000,2.25
2011-05-02,0.13,0.23,0.13,0.225,25000,2.25
2011-04-01,0.19,0.19,0.12,0.13,28400,1.30
2011-03-01,0.14,0.20,0.14,0.19,17900,1.90
2011-02-03,0.135,0.165,0.135,0.14,10100,1.40
2011-01-04,0.13,0.155,0.13,0.13,13000,1.30
2010-12-01,0.12,14.07,0.11,0.125,8100,1.25
2010-11-05,0.15,13.815,0.12,0.12,16000,1.20
2010-10-01,0.18,0.18,0.145,0.16,10100,1.60
2010-09-20,15.115,15.115,0.15,0.165,500200,1.65
2010-08-04,0.185,0.24,0.185,0.19,1400,1.90
2010-07-01,0.135,0.15,0.125,0.13,2700,1.30
2010-06-08,0.15,0.15,0.14,0.14,2000,1.40
2010-05-05,0.19,0.20,0.165,0.165,3200,1.65
2010-04-28,0.215,12.86,0.185,0.20,3300,2.00
2008-07-01,0.31,0.345,0.31,0.34,13500,3.33983
2008-06-02,0.34,42.60017,0.285,0.30,3600,2.94691
2008-05-01,0.32,71.40026,0.28,0.34,4000,3.33983
2008-04-01,0.21,37.78015,0.004,0.32,3100,3.14337
2008-03-03,0.20,7.93003,0.03,5.53002,2900,54.32146
2008-02-01,1.95001,101.05029,0.19,0.20,3600,1.9646
2008-01-02,33.01011,33.01011,0.185,0.20,6000,1.9646
2007-12-03,18.30003,730.00281,0.02,0.159,600,1.5619
2007-11-01,2.85001,132.00055,0.017,30.04014,6700,295.0849
2007-10-01,4.20001,75.10025,0.38,28.15009,500,276.51883
2007-09-03,17.28008,58.32023,0.45001,5.53002,2400,54.32146
2007-08-01,2.50001,62.81021,0.048,62.81021,2300,616.98584
2007-07-02,4.35001,56.00016,0.006,2.40001,1000,23.57537
2007-06-01,27.01011,327.10104,0.036,1.59,400,15.61865
2007-05-02,15.30003,63.58024,0.01,2.71001,000,26.62048
2007-04-02,10.50006,65.9902,2.65001,11.14009,000,109.42933
2007-03-01,34.27012,70.00028,0.151,4.88002,000,47.93655
2007-02-01,0.66,59.52017,0.05001,5.80002,000,56.97367
2007-01-02,18.15008,64.34019,0.55001,9.96003,000,97.83759
