Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,261.00,264.410004,260.00,263.869995,74400,251.562057
2013-03-01,250.929993,266.690002,248.50,260.359985,38900,248.215759
2013-02-01,258.23999,260.179993,238.00,251.669998,68700,239.104355
2013-01-02,268.279999,291.100006,248.539993,255.160004,75400,242.42012
2012-12-03,268.00,280.630005,260.220001,262.200012,78700,249.108627
2012-11-01,271.589996,280.649994,238.610001,265.350006,74000,251.396774
2012-10-01,248.419998,283.480011,232.410004,271.309998,69600,257.043365
2012-09-04,246.600006,260.660004,236.830002,246.479996,65700,233.519028
2012-08-01,230.00,250.460007,228.100006,246.119995,59500,232.488586
2012-07-02,218.00,238.639999,215.630005,229.880005,74700,217.148041
2012-06-01,203.899994,217.970001,197.279999,216.600006,118400,204.603561
2012-05-01,223.25,225.070007,199.850006,208.809998,66400,196.546219
2012-04-02,186.820007,234.619995,181.279999,223.220001,86100,210.109894
2012-03-01,183.929993,191.179993,172.50,187.399994,71300,176.393661
2012-02-01,216.009995,220.850006,180.539993,182.429993,136700,170.993774
2012-01-03,202.179993,219.630005,196.270004,216.190002,60000,202.637436
2011-12-01,196.470001,204.919998,187.869995,198.110001,75900,185.690842
2011-11-01,186.149994,197.919998,174.119995,197.889999,73200,184.778763
2011-10-03,150.919998,203.110001,140.460007,194.139999,92600,181.277206
2011-09-01,167.419998,169.839996,148.899994,151.869995,122300,141.807816
2011-08-01,164.919998,171.570007,135.009995,167.679993,129700,155.9823
2011-07-01,171.240005,180.389999,159.00,164.020004,66900,152.577637
2011-06-01,174.220001,174.220001,151.029999,170.710007,83500,158.800934
2011-05-02,185.929993,190.759995,164.699997,174.220001,100200,161.449692
2011-04-01,159.080002,185.869995,149.119995,184.320007,140000,170.809357
2011-03-01,129.070007,160.889999,122.699997,158.220001,129100,146.622482
2011-02-01,127.839996,136.089996,122.199997,128.110001,73800,118.317848
2011-01-03,124.50,130.669998,118.830002,126.860001,79000,117.163391
2010-12-01,128.729996,131.759995,123.00,123.370003,58500,113.940155
2010-11-01,119.260002,128.729996,115.580002,125.800003,66500,115.784058
2010-10-01,115.370003,124.669998,113.190002,118.519997,68700,109.083672
2010-09-01,102.00,115.980003,101.400002,113.68,93500,104.629028
2010-08-02,109.839996,111.059998,93.260002,100.529999,114800,92.199905
2010-07-01,87.260002,110.43,84.57,107.190002,135400,98.308044
2010-06-01,101.720001,107.00,87.029999,87.32,150600,80.084511
2010-05-03,109.769997,112.110001,90.389999,102.959999,220700,94.067032
2010-04-01,104.00,116.290001,101.860001,110.00,292500,100.49897
2010-03-01,89.75,109.300003,88.00,102.989998,188700,94.094437
2010-02-01,89.949997,92.910004,81.800003,89.050003,186500,81.059662
2010-01-04,116.480003,126.889999,90.18,90.220001,208800,82.12468
2009-12-01,105.470001,121.129997,105.080002,114.769997,113700,104.471832
2009-11-02,93.830002,112.989998,91.099998,104.720001,177300,94.997162
2009-10-01,92.830002,105.639999,85.300003,93.50,198200,84.818893
2009-09-01,82.529999,97.220001,80.279999,93.040001,146700,84.401604
2009-08-03,76.139999,87.760002,72.57,83.120003,169600,75.191093
2009-07-01,67.379997,81.629997,63.77,75.650002,172100,68.433662
2009-06-01,73.580002,79.629997,64.389999,67.330002,235000,60.907318
2009-05-01,63.400002,76.190002,61.900002,72.57,311500,65.428818
2009-04-01,43.330002,63.919998,42.779999,63.00,191000,56.800545
2009-03-02,33.599998,45.549999,28.200001,44.299999,183500,39.940701
2009-02-02,30.959999,39.93,30.809999,34.57,146600,30.977015
2009-01-02,35.290001,37.759998,27.82,31.50,146000,28.226091
2008-12-01,33.48,39.00,28.610001,34.91,173700,31.281677
2008-11-03,37.709999,39.57,23.370001,33.48,198800,29.84157
2008-10-01,51.790001,52.880001,31.67,37.689999,263500,33.594048
2008-09-02,69.900002,70.120003,49.439999,52.560001,223800,46.848061
2008-08-01,62.549999,73.410004,54.00,67.940002,295700,60.356522
2008-07-01,66.230003,67.290001,55.93,61.759998,235700,54.866333
2008-06-02,78.699997,80.800003,66.010002,66.230003,310300,58.837395
2008-05-01,65.00,78.550003,61.52,78.269997,328700,69.356575
2008-04-01,76.010002,93.57,63.049999,64.93,435400,57.535744
2008-03-03,68.709999,76.940002,65.739998,75.449997,362500,66.857719
2008-02-01,54.139999,69.410004,53.700001,66.949997,506200,59.155319
2008-01-02,54.970001,55.490002,42.790001,54.02,239600,47.730705
2007-12-03,53.50,58.759998,52.23,55.689999,172900,49.206272
2007-11-01,53.200001,54.360001,47.290001,53.66,228300,47.238304
2007-10-01,49.279999,54.490002,45.07,53.759998,161300,47.326336
2007-09-04,46.900002,50.009998,42.869999,49.380001,155000,43.470509
2007-08-01,46.59,48.110001,39.02,46.709999,275500,41.006649
2007-07-02,48.50,51.82,41.860001,46.43,181500,40.760838
2007-06-01,48.099998,50.43,45.110001,48.369999,181000,42.463959
2007-05-01,46.990002,49.00,44.810001,47.849998,188400,41.893227
2007-04-02,39.580002,50.380001,38.810001,47.130001,349800,41.262859
2007-03-01,42.779999,45.07,39.470001,40.669998,188600,35.607052
2007-02-01,56.200001,57.130001,43.27,43.880001,265700,38.304955
2007-01-03,59.299999,60.360001,52.950001,55.700001,137900,48.623199
2006-12-01,62.470001,63.34,55.93,59.049999,200600,51.547573
2006-11-01,64.550003,66.779999,61.32,62.779999,172500,54.689137
2006-10-02,58.630001,70.00,52.119999,64.300003,288000,56.013248
2006-09-01,62.25,67.339996,52.50,58.16,416900,50.664547
2006-08-01,49.349998,64.160004,47.540001,61.93,392400,53.82724
2006-07-03,50.650002,51.50,43.150002,49.779999,258000,43.266914
2006-06-01,48.57,52.41,37.650002,49.060001,303600,42.641121
2006-05-01,51.75,62.799999,44.150002,48.400002,494400,41.939247
2006-04-03,48.299999,57.709999,41.650002,50.849998,592600,44.062202
2006-03-01,34.419998,48.290001,32.380001,47.59,304400,41.237373
2006-02-01,28.799999,35.830002,27.950001,34.470001,129000,29.769709
2006-01-03,24.360001,28.799999,23.549999,28.549999,76400,24.656952
2005-12-01,21.98,25.26,21.950001,24.459999,53900,21.12466
2005-11-01,18.60,21.92,18.10,21.92,34200,18.931013
2005-10-03,17.299999,18.799999,14.38,18.700001,41800,16.150089
2005-09-01,16.58,17.74,15.60,17.34,33800,14.975536
2005-08-01,16.809999,17.799999,15.49,16.58,28800,14.319169
2005-07-01,14.89,17.90,14.75,16.809999,37800,14.517806
2005-06-01,13.62,15.95,13.44,14.79,45500,12.773252
2005-05-02,14.90,16.00,12.95,13.59,42500,11.736882
2005-04-01,18.60,18.799999,14.60,14.85,48200,12.82507
2005-03-01,19.049999,19.370001,17.50,18.60,56800,16.063725
2005-02-01,19.92,20.549999,18.02,19.01,60100,16.417818
2005-01-03,19.85,20.00,18.59,19.92,50100,17.20373
2004-12-01,19.25,20.190001,18.00,19.90,61800,17.186457
2004-11-01,22.209999,22.209999,17.98,19.190001,49000,16.573273
2004-10-01,20.90,22.98,19.610001,22.41,29700,19.354197
2004-09-01,20.60,21.52,19.25,20.879999,25400,18.032825
2004-08-02,19.629999,20.870001,19.07,20.690001,22700,17.868734
2004-07-01,21.440001,21.549999,18.34,19.809999,40800,17.10873
2004-06-01,19.969999,21.90,18.10,21.469999,57100,18.542374
2004-05-03,18.52,21.030001,18.10,20.07,41400,17.333277
2004-04-01,19.950001,20.10,17.35,18.620001,33000,16.080997
2004-03-01,20.219999,20.40,17.370001,19.809999,56400,17.10873
2004-02-02,24.02,24.15,17.860001,20.379999,83300,17.601004
2004-01-02,21.85,25.57,21.25,24.15,75600,20.856932
2003-12-01,20.700001,22.299999,20.52,21.870001,58900,18.887831
2003-11-03,16.25,20.43,16.25,20.40,59500,17.618279
2003-10-01,12.60,16.75,12.60,16.10,30000,13.904622
2003-09-02,11.53,13.10,11.53,12.58,22600,10.864605
2003-08-01,11.55,12.01,10.86,11.52,22700,9.949145
2003-07-01,9.97,11.90,9.51,11.60,44300,10.018237
2003-06-02,9.97,10.00,8.86,9.95,72900,8.593228
2003-05-01,9.97,10.10,8.34,9.90,39900,8.550046
2003-04-01,9.86,10.05,9.44,9.97,37900,8.610502
2003-03-03,8.96,10.48,8.96,9.86,36500,8.515501
2003-02-03,6.96,8.96,6.89,8.96,20600,7.738224
2003-01-02,6.50,8.75,6.47,6.93,24900,5.985033
2002-12-02,5.80,6.49,5.67,6.49,13900,5.605031
2002-11-01,4.76,6.09,4.62,5.76,18700,4.974573
2002-10-01,2.86,4.76,2.80,4.69,23000,4.050477
2002-09-03,3.35,3.40,2.70,2.92,12900,2.521832
2002-08-01,3.18,4.10,3.04,3.40,13100,2.93638
2002-07-01,3.50,4.50,3.01,3.17,15400,2.737742
2002-06-03,1.07,1.09,0.67,0.75,8100,3.238654
2002-05-01,1.20,1.30,0.86,1.05,15600,4.534116
2002-04-01,1.17,1.40,1.11,1.21,7900,5.225029
2002-03-01,1.12,1.48,1.11,1.15,15700,4.965936
2002-02-01,1.22,1.35,1.06,1.15,10100,4.965936
2002-01-02,0.90,1.29,0.89,1.17,13300,5.0523
2001-12-03,0.84,0.94,0.82,0.92,21200,3.972749
2001-11-01,0.90,0.95,0.80,0.84,17800,3.627292
2001-10-01,0.90,1.00,0.55,0.90,30300,3.886385
2001-09-04,1.34,1.34,0.87,0.87,22300,3.756839
2001-08-01,1.57,1.57,1.19,1.29,21000,5.570485
2001-07-02,1.47,1.68,1.36,1.49,19600,6.434126
2001-06-01,1.21,1.54,1.12,1.35,43400,5.829577
2001-05-01,1.40,1.56,1.16,1.21,33100,5.225029
2001-04-02,1.50,1.68,1.35,1.44,13400,6.218216
2001-03-01,1.60,1.72,0.99,1.50,31700,6.477308
2001-02-01,2.04,2.07,1.50,1.61,21200,6.952311
2001-01-02,1.50,2.4375,1.375,2.06,35700,8.895503
2000-12-01,1.375,1.625,1.3125,1.4375,46600,6.20742
2000-11-01,2.00,2.00,1.3125,1.3125,22600,5.667645
2000-10-02,1.5625,2.00,1.4375,2.00,49200,8.636411
2000-09-01,2.0625,2.1875,1.4375,1.4375,119700,6.20742
2000-08-01,2.00,2.3125,1.9375,2.0625,22900,8.906299
2000-07-03,2.5625,2.8125,1.875,2.00,43200,8.636411
2000-06-01,2.625,3.0625,2.1875,2.50,29700,10.795514
2000-05-01,3.125,3.6875,2.4375,2.5625,42200,10.833028
2000-04-03,3.00,3.1875,2.8125,3.125,32000,13.211009
2000-03-01,3.1875,3.3125,2.6875,3.0625,45800,12.946789
2000-02-01,3.875,3.9375,3.00,3.1875,36300,13.198025
2000-01-03,3.875,4.00,3.625,3.8125,25100,15.785872
