Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,19.219999,19.219999,18.799999,18.879999,50200,18.879999
2013-03-01,17.15,19.450001,16.73,19.26,27200,19.26
2013-02-01,18.129999,19.00,17.209999,17.459999,20100,17.459999
2013-01-02,16.85,18.950001,16.51,18.190001,23400,18.190001
2012-12-03,16.60,19.43,15.30,16.42,40900,16.42
2012-11-01,15.92,17.00,13.66,16.459999,36400,16.459999
2012-10-01,15.06,15.99,14.75,15.86,32900,15.86
2012-09-04,13.85,15.23,13.27,14.95,40200,14.95
2012-08-01,14.61,15.26,13.40,13.79,33200,13.79
2012-07-02,14.82,15.68,14.02,14.50,40400,14.50
2012-06-01,13.38,14.86,13.02,14.82,87800,14.82
2012-05-01,13.10,14.60,11.37,13.78,125600,13.78
2012-04-02,13.15,13.60,12.29,13.04,64100,13.04
2012-03-01,14.01,14.05,12.56,13.20,53800,13.20
2012-02-01,13.85,15.02,13.27,13.99,48900,13.99
2012-01-03,14.85,14.97,13.50,13.79,59600,13.79
2011-12-01,13.67,15.21,13.07,14.46,53000,14.46
2011-11-01,13.55,14.61,12.15,13.71,53800,13.71
2011-10-03,12.74,15.28,11.66,13.76,60500,13.76
2011-09-01,13.03,13.42,10.92,12.83,66600,12.83
2011-08-01,16.120001,16.219999,12.19,12.99,85100,12.99
2011-07-01,16.16,17.219999,15.29,15.91,51200,15.91
2011-06-01,17.98,17.98,14.39,16.16,71400,16.16
2011-05-02,18.10,18.209999,16.34,18.00,81500,18.00
2011-04-01,17.889999,18.67,16.35,18.030001,90000,18.030001
2011-03-01,19.450001,19.450001,14.18,17.76,86600,17.76
2011-02-01,18.09,19.50,17.51,19.34,64700,19.34
2011-01-03,19.120001,19.34,17.50,17.860001,75900,17.860001
2010-12-01,16.85,19.860001,15.83,18.91,75500,18.91
2010-11-01,15.86,16.99,14.95,16.450001,44600,16.450001
2010-10-01,14.95,16.60,14.43,15.75,39500,15.75
2010-09-01,14.45,15.29,14.27,14.77,43300,14.77
2010-08-02,16.90,17.08,13.75,14.20,69300,14.20
2010-07-01,15.11,16.75,14.13,16.549999,81400,16.549999
2010-06-01,15.80,17.950001,14.75,15.13,106200,15.13
2010-05-03,17.99,18.469999,14.86,16.059999,123100,16.059999
2010-04-01,15.96,18.85,15.59,17.93,105400,17.93
2010-03-01,15.50,17.00,15.22,15.87,87500,15.87
2010-02-01,15.82,16.60,14.07,15.32,98300,15.32
2010-01-04,19.219999,20.50,15.71,15.71,102000,15.71
2009-12-01,17.66,19.23,17.27,18.85,84200,18.85
2009-11-02,16.99,18.91,15.73,17.49,103300,17.49
2009-10-01,17.51,19.50,16.629999,16.870001,91100,16.870001
2009-09-01,14.11,18.120001,13.60,17.620001,116300,17.620001
2009-08-03,14.01,15.10,12.81,14.29,149300,14.29
2009-07-01,13.49,14.05,10.65,13.79,122000,13.79
2009-06-01,15.35,15.96,12.16,13.30,213100,13.30
2009-05-01,9.98,14.86,9.95,14.86,166900,14.86
2009-04-01,8.74,10.60,8.51,9.98,202800,9.98
2009-03-02,7.27,9.46,6.67,9.00,113000,9.00
2009-02-02,8.52,9.74,7.00,7.50,111800,7.50
2009-01-02,10.24,13.09,7.61,8.55,145300,8.55
2008-12-01,10.18,11.49,7.15,10.13,138600,10.13
2008-11-03,13.12,15.99,6.51,10.30,159800,10.30
2008-10-01,17.209999,17.49,9.03,13.25,184400,13.25
2008-09-02,25.43,25.700001,14.82,17.469999,192500,17.469999
2008-08-01,24.969999,27.139999,21.799999,25.940001,131300,25.940001
2008-07-01,30.639999,31.35,22.01,25.66,199400,25.66
2008-06-02,27.25,32.959999,27.00,30.48,251200,30.48
2008-05-01,24.950001,31.76,23.50,27.35,199300,27.35
2008-04-01,22.00,29.700001,21.60,24.90,251000,24.90
2008-03-03,22.530001,24.450001,18.389999,21.83,151600,21.83
