Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.67,7.71,7.60,7.62,158200,13.64955
2013-03-01,7.28,7.75,7.26,7.68,85600,13.757028
2013-02-01,7.04,7.60,7.02,7.30,80600,13.005293
2013-01-02,6.64,7.09,6.63,7.04,73400,12.481956
2012-12-03,6.35,6.88,6.21,6.64,80400,11.714308
2012-11-01,6.61,6.73,6.19,6.39,48500,11.214542
2012-10-01,6.89,6.95,6.55,6.64,51500,11.588658
2012-09-04,6.68,6.96,6.61,6.91,112800,11.997536
2012-08-01,6.30,7.56,6.29,6.69,53300,11.55542
2012-07-02,6.25,6.33,6.19,6.28,47800,10.789804
2012-06-01,6.12,6.28,6.00,6.28,57800,10.729671
2012-05-01,6.27,6.33,6.02,6.16,54300,10.465038
2012-04-02,6.31,6.38,6.15,6.30,51100,10.642364
2012-03-01,6.32,6.36,6.19,6.34,55500,10.650054
2012-02-01,6.27,6.41,6.20,6.33,74500,10.574088
2012-01-03,6.23,6.30,6.10,6.28,61800,10.431912
2011-12-01,6.27,6.30,6.05,6.18,70500,10.199567
2011-11-01,6.19,6.35,5.98,6.30,50200,10.330318
2011-10-03,6.22,6.50,5.81,6.32,66700,10.29647
2011-09-01,6.60,6.63,6.07,6.20,40700,10.034947
2011-08-01,7.37,7.48,6.02,6.64,68400,10.681172
2011-07-01,7.68,7.69,7.22,7.25,47100,11.593415
2011-06-01,7.75,7.79,7.51,7.68,45600,12.216641
2011-05-02,7.45,7.79,7.33,7.68,42900,12.145061
2011-04-01,7.54,7.72,7.37,7.45,45400,11.711307
2011-03-01,7.81,7.89,7.49,7.51,39200,11.735632
2011-02-01,7.94,8.09,7.42,7.77,72600,12.063591
2011-01-03,7.66,8.08,7.55,7.90,53200,12.185365
2010-12-01,7.75,7.81,7.33,7.58,48500,11.610673
2010-11-01,7.80,7.94,7.15,7.67,42700,11.665729
2010-10-01,7.38,7.86,7.34,7.76,41300,11.71921
2010-09-01,7.20,7.48,7.06,7.33,39700,10.99392
2010-08-02,7.37,7.50,7.00,7.17,37900,10.676715
2010-07-01,7.13,7.42,6.85,7.41,34500,10.95287
2010-06-01,7.01,7.42,6.86,7.13,36000,10.458743
2010-05-03,7.95,8.00,6.55,7.00,76100,10.193091
2010-04-01,7.94,8.26,7.48,7.88,76700,11.395529
2010-03-01,7.31,8.01,7.15,7.90,106200,11.344781
2010-02-01,6.61,7.32,6.34,7.27,106300,10.367455
2010-01-04,6.35,6.79,6.29,6.61,69800,9.352461
2009-12-01,6.34,6.45,6.10,6.31,56700,8.858098
2009-11-02,6.08,6.47,6.04,6.32,58100,8.798433
2009-10-01,6.32,6.38,5.98,6.07,61600,8.380414
2009-09-01,5.60,6.35,5.50,6.35,69700,8.693469
2009-08-03,5.33,5.85,5.31,5.63,90600,7.63898
2009-07-01,4.92,5.31,4.88,5.26,71300,7.071053
2009-06-01,5.14,5.25,4.76,4.91,69900,6.531951
2009-05-01,4.94,5.15,4.76,5.08,54000,6.678131
2009-04-01,4.59,4.98,4.56,4.92,47700,6.381824
2009-03-02,4.95,5.01,4.23,4.64,48300,5.936443
2009-02-02,5.80,6.05,4.70,5.05,52500,6.350791
2009-01-02,5.75,6.51,5.25,5.84,52400,7.217873
2008-12-01,6.20,6.26,4.85,5.70,55700,6.920813
2008-11-03,9.05,9.44,4.69,6.35,54400,7.565916
2008-10-01,9.66,9.99,5.10,9.06,80400,10.616653
2008-09-02,12.14,16.90,8.60,9.56,75100,11.001799
2008-08-01,12.02,12.32,11.66,12.08,40400,13.532161
2008-07-01,13.52,13.53,11.78,11.88,39400,13.142457
2008-06-02,14.22,14.53,13.07,13.38,37900,14.617143
2008-05-01,14.01,14.40,13.94,14.21,47800,15.359672
2008-04-01,13.11,14.11,13.11,14.00,38200,14.971923
2008-03-03,13.83,13.84,12.68,13.02,40300,13.769522
2008-02-01,14.11,14.18,12.76,13.69,65800,14.30974
2008-01-02,15.93,16.290001,13.00,14.05,101900,14.521765
2007-12-03,16.620001,17.40,15.31,15.82,71800,16.174746
2007-11-01,18.27,18.74,16.059999,16.780001,32300,16.999355
2007-10-01,18.50,19.60,17.219999,18.200001,20400,18.272802
2007-09-04,19.00,19.190001,17.35,18.299999,20800,18.226137
2007-08-01,18.700001,19.200001,15.57,18.91,38700,18.675587
2007-07-02,19.879999,20.25,17.50,18.700001,28500,18.305332
2007-06-01,20.08,21.139999,19.57,19.799999,25900,19.237831
2007-05-01,20.690001,21.139999,20.00,20.200001,27700,19.486153
2007-04-02,20.82,21.16,20.41,20.639999,21600,19.767977
2007-03-01,20.98,21.190001,19.959999,20.940001,18100,19.910324
2007-02-01,21.60,21.950001,20.10,20.889999,26400,19.721912
2007-01-03,21.219999,21.66,20.879999,21.549999,23700,20.201395
2006-12-01,20.809999,21.700001,20.700001,21.16,19500,19.696178
2006-11-01,20.299999,21.10,20.10,20.93,25600,19.343788
2006-10-02,20.190001,20.799999,20.040001,20.290001,21200,18.617384
2006-09-01,20.60,20.879999,19.959999,20.18,22600,18.381359
2006-08-01,19.950001,20.700001,19.870001,20.60,17900,18.627161
2006-07-03,20.65,21.50,19.50,19.950001,13700,18.039412
2006-06-26,20.00,20.65,20.00,20.60,27600,18.627161
