Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.44,10.44,10.36,10.39,34200,9.257619
2013-03-01,10.95,10.96,10.07,10.35,29100,9.221978
2013-02-01,10.75,11.00,10.66,10.87,30500,9.659079
2013-01-02,10.48,10.86,10.48,10.69,28500,9.472962
2012-12-03,11.37,11.37,10.25,10.39,39400,9.182418
2012-11-01,11.10,11.32,10.72,11.26,19100,9.924259
2012-10-01,11.23,11.23,10.87,11.02,15900,9.684449
2012-09-04,10.95,11.21,10.84,11.21,18300,9.822606
2012-08-01,10.84,10.95,10.47,10.93,18900,9.549298
2012-07-02,10.93,11.05,10.65,10.78,19000,9.390183
2012-06-01,10.47,10.88,10.47,10.88,15300,9.449721
2012-05-01,10.53,10.94,10.44,10.60,22400,9.178971
2012-04-02,10.29,10.58,10.20,10.43,22100,9.005123
2012-03-01,11.21,11.26,10.08,10.23,33300,8.805216
2012-02-01,11.00,11.26,10.92,11.21,20600,9.6204
2012-01-03,10.73,11.00,10.57,10.99,15700,9.402966
2011-12-01,10.63,10.91,10.61,10.69,16400,9.117332
2011-11-01,10.62,10.92,10.39,10.57,20400,8.986233
2011-10-03,10.55,10.68,10.22,10.60,17500,8.983157
2011-09-01,10.51,10.72,10.15,10.49,18700,8.861066
2011-08-01,10.10,10.56,9.68,10.43,25800,8.780957
2011-07-01,10.28,10.40,9.81,10.00,28200,8.390714
2011-06-01,10.05,10.26,9.87,10.26,26100,8.580176
2011-05-02,10.00,10.09,9.90,10.03,18300,8.359285
2011-04-01,9.85,9.98,9.73,9.94,22900,8.255136
2011-03-01,9.61,9.82,9.46,9.81,33900,8.118281
2011-02-01,9.66,9.90,9.46,9.57,38500,7.891004
2011-01-03,9.97,9.97,9.29,9.65,52200,7.928317
2010-12-01,10.37,10.37,9.44,9.97,55400,8.161669
2010-11-01,11.00,11.18,9.80,10.33,43500,8.426233
2010-10-01,11.05,11.18,10.80,10.99,18500,8.935813
2010-09-01,10.94,11.16,10.67,11.03,24800,8.939775
2010-08-02,11.04,11.15,10.61,10.89,23900,8.797569
2010-07-01,10.73,11.05,10.58,10.99,19200,8.849688
2010-06-01,10.52,10.83,10.40,10.83,18900,8.693025
2010-05-03,10.51,10.69,10.31,10.67,19500,8.536788
2010-04-01,10.46,10.62,10.34,10.43,23000,8.316795
2010-03-01,10.43,10.75,10.29,10.42,31800,8.280831
2010-02-01,10.31,10.56,10.25,10.42,28900,8.253176
2010-01-04,10.39,10.56,10.21,10.34,22100,8.162304
2009-12-01,10.70,10.87,10.20,10.36,24700,8.15083
2009-11-02,10.19,10.88,10.12,10.75,24000,8.429475
2009-10-01,10.31,10.61,9.95,10.15,27400,7.931973
2009-09-01,10.15,10.45,10.00,10.31,28600,8.028782
2009-08-03,10.06,10.20,9.86,10.15,19600,7.876927
2009-07-01,10.17,10.27,9.92,10.01,18100,7.740983
2009-06-01,10.20,10.21,9.80,10.16,21600,7.830021
2009-05-01,9.99,10.40,9.86,10.15,22400,7.794991
2009-04-01,9.98,10.22,9.81,9.98,16500,7.637635
2009-03-02,9.86,10.27,9.70,9.98,21400,7.611168
