Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,59.00,59.189999,57.98,58.259998,13939600,27.96706
2013-03-01,54.419998,60.25,53.27,59.009998,10270300,28.327087
2013-02-01,54.459999,55.900002,53.50,54.459999,6845300,26.142912
2013-01-02,52.400002,55.57,51.400002,54.049999,7543400,25.845827
2012-12-03,97.660004,106.230003,50.59,51.599998,9713300,24.674276
2012-11-01,91.900002,100.330002,89.650002,97.480003,9601800,23.206459
2012-10-01,94.910004,98.099998,90.32,91.379997,9876400,21.754269
2012-09-04,97.190002,100.919998,92.790001,94.910004,14728000,22.594635
2012-08-01,93.510002,99.290001,91.040001,97.360001,9603000,23.177891
2012-07-02,88.389999,97.75,88.029999,93.349998,13852100,22.142189
2012-06-01,106.290001,109.910004,85.099998,87.779999,20275100,20.821011
2012-05-01,111.910004,114.809998,104.269997,108.18,9809500,25.659798
2012-04-02,108.419998,112.00,105.93,111.870003,9378000,26.447094
2012-03-01,108.889999,112.970001,106.07,108.440002,10914300,25.636211
2012-02-01,104.410004,108.279999,102.57,107.919998,7778100,25.428171
2012-01-03,97.370003,104.940002,96.510002,103.989998,10910600,24.502182
2011-12-01,95.360001,98.25,92.889999,96.370003,10880800,22.706755
2011-11-01,93.510002,97.50,89.790001,96.18,9976700,22.577162
2011-10-03,84.949997,97.68,81.010002,96.349998,11662900,22.617067
2011-09-01,86.349998,92.559998,80.199997,85.510002,16242300,20.0725
2011-08-01,90.419998,90.459999,76.980003,86.650002,15656400,20.267334
2011-07-01,89.650002,94.230003,88.550003,90.150002,12571500,21.085979
2011-06-01,84.339996,90.580002,79.440002,89.980003,16138800,21.046217
2011-05-02,82.779999,86.529999,81.410004,84.449997,9814900,19.678217
2011-04-01,75.940002,82.730003,75.82,82.32,11597200,19.181892
2011-03-01,89.650002,91.120003,69.43,75.699997,19053800,17.639324
2011-02-01,82.75,89.160004,82.620003,89.029999,9870100,20.672625
2011-01-03,85.830002,86.580002,81.010002,82.480003,9464200,19.151726
2010-12-01,87.480003,92.489998,85.120003,85.419998,9921700,19.834389
2010-11-01,81.879997,86.970001,80.260002,86.129997,9669200,19.928507
2010-10-01,80.959999,83.400002,79.040001,81.440002,10984000,18.843349
2010-09-01,71.129997,81.699997,70.82,80.139999,14125300,18.542559
2010-08-02,74.389999,75.00,68.32,70.00,10619700,16.135769
2010-07-01,67.889999,74.110001,66.339996,73.639999,13192900,16.974829
2010-06-01,71.440002,75.919998,67.300003,67.550003,14759000,15.571017
2010-05-03,76.010002,78.550003,66.989998,72.379997,19305600,16.622675
2010-04-01,73.959999,78.529999,73.059998,75.910004,9951300,17.433371
2010-03-01,67.910004,75.349998,67.260002,73.50,11010900,16.879892
2010-02-01,63.970001,67.849998,60.889999,67.599998,11370300,15.462937
2010-01-04,66.059998,66.07,62.950001,63.75,10223600,14.582282
2009-12-01,65.269997,66.620003,61.75,66.07,10035500,15.112963
2009-11-02,62.34,66.339996,61.799999,64.889999,9247100,14.781721
2009-10-01,64.00,66.349998,61.080002,62.18,14402300,14.164392
2009-09-01,54.900002,64.949997,53.220001,64.699997,23485900,14.73844
2009-08-03,56.98,58.27,54.799999,55.389999,13187700,12.558482
2009-07-01,52.139999,57.77,50.59,56.639999,14524700,12.841893
2009-06-01,57.860001,59.950001,50.16,51.779999,17791000,11.739993
2009-05-01,52.869999,57.139999,48.759998,57.049999,16303600,12.879261
2009-04-01,46.18,56.299999,45.639999,52.470001,14589100,11.845308
2009-03-02,40.830002,48.290001,38.240002,46.889999,19581700,10.585601
2009-02-02,44.57,49.119999,40.080002,41.529999,16235000,9.320475
2009-01-02,50.950001,54.00,43.540001,45.25,14537800,10.155345
2008-12-01,52.27,57.330002,47.080002,51.00,17249600,11.445804
2008-11-03,57.349998,58.50,42.68,53.25,20368800,11.89332
2008-10-01,66.199997,67.019997,46.470001,57.630001,26133700,12.871588
2008-09-02,61.560001,68.00,58.470001,66.900002,21452500,14.942031
2008-08-01,58.419998,64.800003,57.75,60.610001,11711400,13.486876
2008-07-01,59.599998,60.43,54.639999,58.68,18621400,13.057414
2008-06-02,68.269997,70.279999,57.630001,59.610001,19082300,13.264357
2008-05-01,66.800003,68.879997,64.080002,68.370003,13011300,15.16212
2008-04-01,68.599998,70.00,65.190002,66.800003,14072600,14.813949
2008-03-03,60.240002,70.599998,56.700001,68.00,20592400,15.080067
2008-02-01,61.639999,63.00,59.509998,60.200001,12608900,13.2998
2008-01-02,64.32,64.699997,51.50,61.330002,21400300,13.549448
2007-12-03,64.949997,67.93,62.240002,64.239998,12049600,14.192345
2007-11-01,65.940002,66.190002,60.91,65.650002,11611000,14.453262
2007-10-01,58.790001,66.57,58.599998,66.260002,15869500,14.587558
2007-09-04,56.040001,60.990002,54.150002,58.66,15992100,12.91437
2007-08-01,57.209999,58.630001,52.00,56.34,15602500,12.362239
2007-07-02,58.700001,60.349998,55.439999,56.450001,16165600,12.386375
2007-06-01,56.75,59.259998,51.869999,58.290001,19083500,12.790112
2007-05-01,53.860001,57.119999,52.34,56.75,12760600,12.410851
2007-04-02,106.800003,107.18,52.799999,53.860001,10685300,11.778827
2007-03-01,103.099998,110.099998,102.169998,106.260002,15536200,11.619181
2007-02-01,98.620003,108.900002,98.440002,104.470001,15867600,11.40324
2007-01-03,98.00,100.349998,94.919998,98.809998,14519100,10.785432
2006-12-01,98.699997,101.199997,94.790001,99.029999,13271600,10.809446
2006-11-01,92.099998,99.300003,90.580002,98.949997,10989900,10.780361
2006-10-02,86.970001,94.07,86.910004,91.879997,12223200,10.010102
2006-09-01,80.760002,88.910004,79.860001,87.620003,23116700,9.545986
2006-08-01,79.00,80.949997,75.519997,80.760002,18964100,8.781758
2006-07-03,81.050003,81.75,78.00,79.00,16469100,8.590378
2006-06-01,80.410004,84.970001,78.900002,81.00,15300500,8.807856
2006-05-01,82.029999,83.099998,77.389999,80.309998,12622300,8.716057
2006-04-03,85.099998,85.860001,80.360001,81.839996,11219200,8.882108
2006-03-01,86.650002,88.040001,84.029999,85.099998,14219400,9.235916
2006-02-01,81.25,87.830002,81.209999,86.779999,14266000,9.401068
2006-01-03,86.790001,88.160004,80.599998,80.949997,18393000,8.769491
2005-12-01,85.75,91.540001,83.75,86.790001,17134600,9.402151
2005-11-01,84.00,88.550003,83.43,85.300003,10615000,9.224212
2005-10-03,82.080002,84.32,79.940002,84.050003,13279700,9.089039
2005-09-01,78.910004,85.25,76.529999,81.68,24282300,8.83275
2005-08-01,83.809998,89.00,77.360001,78.910004,15945600,8.519362
2005-07-01,86.169998,88.50,83.43,83.800003,12263700,9.047302
2005-06-01,82.300003,90.93,82.089996,86.599998,15614600,9.349598
2005-05-02,76.809998,83.720001,75.800003,82.199997,11535800,8.861493
2005-04-01,83.879997,84.239998,75.099998,76.809998,12679500,8.280429
2005-03-01,87.029999,88.519997,81.440002,83.309998,14697500,8.981155
2005-02-01,86.629997,87.889999,82.599998,86.949997,11675100,9.359977
2005-01-03,90.599998,91.339996,84.699997,86.629997,8058800,9.325529
2004-12-01,84.800003,92.43,84.800003,90.690002,9129700,9.76258
2004-11-01,81.059998,87.800003,80.699997,84.660004,10986300,9.10032
2004-10-01,79.00,81.949997,76.620003,81.309998,9991800,8.740219
2004-09-01,75.00,80.019997,74.519997,78.800003,11277100,8.470413
2004-08-02,72.720001,76.900002,68.610001,75.309998,7710400,8.084798
2004-07-01,75.790001,76.120003,69.300003,72.709999,9826400,7.805679
2004-06-01,71.18,77.339996,69.279999,75.75,9920000,8.132034
2004-05-03,71.779999,71.900002,65.809998,71.150002,13137200,7.627373
2004-04-01,77.82,78.559998,71.309998,71.949997,9984100,7.713134
2004-03-01,73.699997,78.559998,72.220001,77.870003,13289800,8.347766
2004-02-02,69.599998,74.599998,69.519997,73.25,9709300,7.842251
2004-01-02,68.699997,70.620003,66.309998,69.660004,9682000,7.457901
2003-12-01,67.449997,68.540001,63.220001,68.459999,12484200,7.329427
2003-11-03,63.900002,67.480003,60.689999,67.25,12770900,7.188643
2003-10-01,60.799999,64.93,60.700001,63.900002,10890600,6.830547
2003-09-02,57.060001,62.25,55.07,60.82,13143200,6.501313
2003-08-01,51.50,57.07,49.599998,56.98,9275800,6.083141
2003-07-01,53.490002,54.459999,50.259998,51.740002,10756100,5.523723
2003-06-02,56.049999,57.50,52.599998,53.490002,17963300,5.710552
2003-05-01,53.73,56.560001,51.50,55.990002,11620800,5.969966
2003-04-01,51.50,55.66,50.259998,53.529999,11089500,5.707667
2003-03-03,46.50,53.400002,45.509998,51.419998,16313200,5.482687
2003-02-03,44.650002,46.98,42.380001,46.369999,10961900,4.93704
2003-01-02,44.57,48.43,42.52,44.540001,10516600,4.742199
2002-12-02,46.00,47.130001,41.189999,44.470001,13076700,4.734746
2002-11-01,47.150002,48.200001,42.830002,44.779999,12495900,4.760019
2002-10-01,43.189999,48.23,38.529999,47.189999,13536500,5.016197
2002-09-03,42.799999,45.720001,40.349998,43.18,14253400,4.589942
2002-08-01,48.50,48.50,40.50,43.18,19017300,4.583538
2002-07-01,54.349998,57.849998,45.099998,49.290001,16230100,5.232111
2002-06-03,53.669998,56.299999,48.220001,53.650002,16147600,5.694924
2002-05-01,52.900002,56.419998,52.00,53.75,10635100,5.698746
2002-04-01,59.599998,59.599998,52.799999,53.330002,13049400,5.654217
2002-03-01,58.799999,64.279999,57.049999,60.009998,13289000,6.362451
2002-02-01,59.849998,60.639999,56.73,58.860001,9610300,6.234356
2002-01-02,56.32,61.049999,54.599998,59.91,12975000,6.345571
2001-12-03,52.98,58.43,50.00,56.240002,15754800,5.95685
2001-11-01,48.599998,54.43,47.650002,52.990002,9105600,5.606436
2001-10-01,46.779999,50.959999,46.150002,49.360001,11463800,5.222376
2001-09-04,50.25,52.00,40.75,46.810001,16830800,4.952581
2001-08-01,47.27,51.799999,46.459999,50.00,8483200,5.237895
2001-07-02,41.799999,48.099998,40.330002,47.549999,10027900,4.981238
2001-06-01,41.200001,45.00,40.50,41.990002,11712700,4.398784
2001-05-01,41.200001,45.740002,38.25,41.099998,9721700,4.299379
2001-04-02,40.32,42.049999,36.299999,41.810001,10379400,4.373651
2001-03-01,39.060001,41.25,35.32,40.349998,10556400,4.220923
2001-02-01,55.00,57.32,37.290001,39.029999,17549600,4.076134
2001-01-02,54.75,60.062481,50.75,55.009998,15006400,5.745019
2000-12-01,42.75,57.00,40.25,55.812481,12566500,5.828827
2000-11-01,39.687519,44.937519,39.125,42.625,6882000,4.445653
2000-10-02,40.062481,43.50,34.937519,39.937519,8775600,4.165358
2000-09-01,40.375,42.00,35.50,40.062481,11720100,4.178391
2000-08-01,43.75,48.50,39.562481,39.578121,8685000,4.121461
2000-07-03,41.00,47.75,39.75,43.75,6161900,4.555899
2000-06-01,43.125,44.875,34.812481,39.812481,7247000,4.145866
2000-05-01,43.437519,47.125,37.875,42.875,6954600,4.457913
2000-04-03,41.00,45.875,36.375,43.437519,10258000,4.5164
2000-03-01,28.437519,40.00,25.812481,39.625,14795600,4.119995
2000-02-01,45.437519,48.50,26.50,28.437519,20503400,2.951405
2000-01-03,49.312481,53.50,45.375,45.50,7331600,4.722244
