Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,0.035,0.035,0.035,0.035,000,0.035
2013-03-01,0.05,0.05,0.035,0.035,26500,0.035
2013-02-01,0.04,0.055,0.04,0.045,13900,0.045
2013-01-01,0.05,0.06,0.04,0.04,9400,0.04
2012-12-03,0.05,0.05,0.045,0.05,13800,0.05
2012-11-01,0.06,0.06,0.05,0.05,7100,0.05
2012-10-01,0.05,0.07,0.05,0.06,13200,0.06
2012-09-03,0.05,0.075,0.05,0.05,22000,0.05
2012-08-01,0.06,0.065,0.045,0.05,16200,0.05
2012-07-02,0.13,0.13,0.06,0.07,11600,0.07
2012-06-01,0.145,0.205,0.09,0.13,18900,0.13
2012-05-01,0.21,0.22,0.14,0.145,7200,0.145
2012-04-02,0.205,0.30,0.145,0.21,34100,0.21
2012-03-01,0.10,0.37,0.10,0.18,6600,0.18
2012-02-01,0.10,0.10,0.10,0.10,000,0.10
2012-01-02,0.10,0.10,0.10,0.10,000,0.10
2011-12-01,0.10,0.10,0.10,0.10,000,0.10
2011-11-03,0.20,0.20,0.10,0.10,12100,0.10
2011-10-25,0.20,0.20,0.20,0.20,30000,0.20
2011-09-12,0.23,0.23,0.23,0.23,19000,0.23
2011-08-04,0.20,0.20,0.20,0.20,11000,0.20
2011-07-04,0.20,0.22,0.20,0.20,21800,0.20
2011-05-02,0.20,0.26,0.20,0.26,28200,0.26
2011-04-05,0.235,0.235,0.20,0.20,17700,0.20
2011-03-08,0.205,0.33,0.19,0.33,54000,0.33
2011-02-01,0.205,0.24,0.205,0.21,10600,0.21
2011-01-05,0.25,0.28,0.20,0.25,14000,0.25
2010-12-01,0.30,0.35,0.25,0.25,17900,0.25
2010-11-05,0.22,0.30,0.22,0.23,14600,0.23
2010-10-06,0.215,0.215,0.21,0.215,11800,0.215
2010-09-23,0.185,0.25,0.18,0.25,45000,0.25
2010-08-05,0.16,0.20,0.13,0.145,9300,0.145
2010-07-20,0.155,0.155,0.155,0.155,6000,0.155
2010-06-10,0.155,0.155,0.155,0.155,6200,0.155
2010-05-06,0.215,0.215,0.20,0.20,24500,0.20
2010-04-09,0.26,0.30,0.215,0.25,25900,0.25
2010-03-01,0.35,0.35,0.24,0.27,10200,0.27
2010-02-24,0.275,0.35,0.275,0.30,8500,0.30
