Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.56,14.56,14.20,14.21,655800,10.088489
2013-03-01,13.72,14.51,13.57,14.48,375600,10.280176
2013-02-01,13.95,14.65,13.25,13.78,842400,9.783207
2013-01-02,12.60,15.10,12.48,14.82,399400,10.196069
2012-12-03,13.68,13.68,12.05,12.28,362300,8.448565
2012-11-01,15.60,15.90,12.01,13.39,603800,9.212238
2012-10-01,14.87,15.60,14.35,15.55,202000,10.397393
2012-09-04,14.54,15.07,14.46,14.82,218600,9.909284
2012-08-01,15.07,15.34,13.85,14.47,273200,9.67526
2012-07-02,13.60,15.26,12.95,14.95,294400,9.704102
2012-06-01,13.39,13.95,12.75,13.59,233500,8.821321
2012-05-01,16.299999,16.67,11.53,13.55,608000,8.795357
2012-04-02,16.68,16.83,14.75,16.25,207800,10.251003
2012-03-01,16.129999,16.83,15.76,16.67,213000,10.515952
2012-02-01,16.379999,17.040001,15.80,16.030001,254900,10.112221
2012-01-03,15.06,16.50,14.83,16.25,237600,9.984742
2011-12-01,13.79,15.97,13.67,14.74,259000,9.05693
2011-11-01,16.50,17.10,13.46,13.66,300400,8.393328
2011-10-03,13.35,17.09,12.04,16.73,317700,10.01377
2011-09-01,15.80,15.80,13.26,13.30,218900,7.960738
2011-08-01,16.32,16.51,11.06,15.85,628900,9.487045
2011-07-01,18.41,19.24,15.92,16.10,400700,9.367296
2011-06-01,19.10,19.190001,16.629999,18.379999,376600,10.693845
2011-05-02,21.469999,21.530001,18.629999,19.10,313600,11.112756
2011-04-01,20.35,21.559999,19.51,21.299999,460400,12.140683
2011-03-01,19.85,20.440001,18.049999,20.33,252800,11.587798
2011-02-01,19.40,20.00,18.57,19.860001,384800,11.319905
2011-01-03,19.52,20.98,18.610001,19.280001,416800,10.750295
2010-12-01,18.75,19.620001,18.50,19.450001,253200,10.845084
2010-11-01,18.950001,19.50,18.09,18.559999,286400,10.34883
2010-10-01,18.60,19.190001,17.51,18.879999,592400,10.300518
2010-09-01,17.450001,18.59,17.33,18.58,222300,10.136845
2010-08-02,18.50,18.549999,16.58,17.309999,181200,9.44396
2010-07-01,15.60,18.379999,15.05,18.17,225300,9.687859
2010-06-01,15.57,16.40,14.55,15.76,206100,8.402898
2010-05-03,17.799999,18.200001,12.17,15.79,487700,8.418893
2010-04-01,17.74,20.17,17.51,17.780001,625600,9.253297
2010-03-01,15.97,17.90,15.57,17.559999,243000,9.138802
2010-02-01,16.66,17.040001,13.70,15.73,541200,8.186409
2010-01-04,14.85,17.450001,14.76,16.459999,320500,8.339293
2009-12-01,14.20,15.00,13.97,14.79,211100,7.493204
2009-11-02,13.25,15.90,12.73,14.16,441800,7.174021
2009-10-01,12.03,13.63,11.75,13.12,186600,6.446513
2009-09-01,11.60,13.21,10.90,11.95,257400,5.871634
2009-08-03,12.63,13.42,10.98,11.70,123100,5.748796
2009-07-01,9.97,12.58,9.05,12.20,153900,5.81282
2009-06-01,10.43,10.43,9.01,9.95,138100,4.740784
2009-05-01,10.60,11.80,8.26,10.25,448100,4.883722
2009-04-01,8.42,11.94,7.90,10.29,112100,4.902781
2009-03-02,7.78,8.81,6.40,8.40,113000,3.860219
2009-02-02,8.10,8.72,6.30,7.79,121900,3.579894
2009-01-02,7.28,8.85,6.25,8.17,112600,3.577423
2008-12-01,4.43,7.67,3.95,7.14,93900,3.126413
2008-11-03,7.68,8.20,3.10,4.43,100200,1.939777
2008-10-01,7.70,8.70,4.41,7.31,64500,3.200852
2008-09-02,12.50,12.91,6.97,7.53,130300,3.135062
2008-08-01,12.97,13.29,11.40,12.50,39100,5.204286
2008-07-01,14.60,14.61,11.78,12.95,39300,5.237468
2008-06-02,15.01,15.43,14.12,14.60,45700,5.90479
2008-05-01,15.65,16.15,14.18,15.07,79500,6.094875
2008-04-01,14.45,16.83,13.65,16.09,101300,6.365849
2008-03-03,15.27,15.51,13.75,14.44,46100,5.713043
2008-02-01,16.65,16.860001,14.04,15.40,67300,6.092857
2008-01-02,19.00,19.15,15.29,16.85,102100,6.594118
2007-12-03,19.450001,19.59,17.549999,19.15,84500,7.494205
2007-11-13,19.25,19.75,15.00,19.450001,762700,7.611609
