Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.18,10.19,10.00,10.10,57400,8.76656
2013-03-01,10.27,10.27,9.72,10.12,32000,8.783919
2013-02-01,10.40,10.45,10.13,10.21,16800,8.83288
2013-01-02,10.35,10.64,10.22,10.38,18000,8.951152
2012-12-03,10.80,10.90,10.06,10.30,29100,8.854486
2012-11-01,10.40,10.80,9.97,10.78,31800,9.224404
2012-10-01,10.59,10.71,10.28,10.40,21700,8.869405
2012-09-04,10.39,10.59,10.33,10.55,20800,8.967537
2012-08-01,10.56,10.57,10.03,10.35,31400,8.768323
2012-07-02,10.28,10.61,10.22,10.50,19600,8.865805
2012-06-01,10.15,10.46,10.01,10.27,18000,8.642888
2012-05-01,10.11,10.24,9.96,10.09,18200,8.462239
2012-04-02,9.88,10.53,9.79,10.05,22000,8.399771
2012-03-01,10.23,10.40,9.61,9.89,29400,8.237568
2012-02-01,10.09,10.21,9.99,10.19,25800,8.458204
2012-01-03,9.95,10.18,9.89,10.03,26500,8.295722
2011-12-01,9.72,9.98,9.68,9.92,21000,8.175584
2011-11-01,9.67,9.77,9.49,9.66,25200,7.931879
2011-10-03,9.53,9.70,9.32,9.70,17800,7.93501
2011-09-01,9.62,9.70,9.41,9.47,14600,7.717318
2011-08-01,9.24,9.90,9.10,9.58,19300,7.777743
2011-07-01,9.26,9.45,9.09,9.15,23300,7.399851
2011-06-01,9.35,9.37,9.11,9.25,17900,7.452166
2011-05-02,9.14,9.36,9.06,9.35,17400,7.503254
2011-04-01,9.12,9.15,8.97,9.13,17400,7.298068
2011-03-01,9.11,9.13,8.92,9.08,16900,7.229481
2011-02-01,9.06,9.12,8.90,9.08,23100,7.200595
2011-01-03,9.06,9.11,8.62,8.99,38800,7.100958
2010-12-01,9.59,9.59,8.83,9.08,45100,7.143166
2010-11-01,9.95,9.99,8.83,9.51,33800,7.447103
2010-10-01,9.94,10.07,9.81,9.88,22500,7.708566
2010-09-01,10.09,10.10,9.75,9.88,24900,7.680676
2010-08-02,9.98,10.14,9.81,10.03,27900,7.769327
2010-07-01,9.79,10.17,9.72,9.93,14500,7.664176
2010-06-01,9.80,9.91,9.62,9.73,18400,7.48253
2010-05-03,9.84,9.91,9.62,9.81,18500,7.516169
2010-04-01,9.79,9.87,9.49,9.85,23300,7.51869
2010-03-01,9.59,9.86,9.56,9.69,22400,7.369022
2010-02-01,9.48,9.63,9.41,9.55,25400,7.235322
2010-01-04,9.44,9.55,9.35,9.45,27600,7.13237
2009-12-01,9.90,9.90,9.40,9.45,22400,7.105258
2009-11-02,9.44,9.80,9.33,9.65,22200,7.211979
2009-10-01,9.59,9.77,9.23,9.44,23000,7.028355
2009-09-01,9.74,9.74,9.43,9.51,23300,7.053153
2009-08-03,9.34,9.77,9.11,9.75,23000,7.203805
2009-07-01,9.03,9.34,9.02,9.34,15500,6.874163
2009-06-01,9.44,9.48,8.84,9.10,15800,6.670942
2009-05-01,9.39,9.51,9.23,9.34,16100,6.820086
2009-04-01,8.99,9.45,8.89,9.35,19000,6.801073
2009-03-02,9.05,9.20,8.54,8.95,20800,6.483932
2009-02-02,8.98,9.19,8.69,8.95,23700,6.457437
2009-01-02,8.55,9.16,8.51,8.98,21600,6.453166
2008-12-01,8.48,9.20,7.64,8.61,29900,6.162529
2008-11-03,8.65,8.96,7.88,8.36,22300,5.88436
2008-10-01,9.07,9.11,6.65,8.61,28500,6.034959
2008-09-02,9.48,9.68,8.92,9.01,14700,6.281648
2008-08-01,9.53,9.57,9.35,9.48,14200,6.584332
2008-07-01,9.49,9.59,9.22,9.44,17300,6.531678
2008-06-02,9.53,9.59,9.40,9.47,11100,6.527474
2008-05-01,9.49,9.60,9.41,9.50,17500,6.523468
2008-04-01,9.47,9.64,9.37,9.42,18000,6.443944
2008-03-03,9.32,9.63,9.13,9.44,17800,6.433179
2008-02-01,9.49,9.66,9.10,9.32,22600,6.326763
2008-01-02,9.20,9.60,8.82,9.45,21800,6.390779
2007-12-03,9.05,9.31,8.87,9.12,22300,6.144038
2007-11-01,9.16,9.28,8.92,8.97,14400,6.012605
2007-10-01,9.50,9.56,9.11,9.18,15000,6.129105
2007-09-04,9.52,9.70,9.16,9.50,15100,6.318177
2007-08-01,9.30,9.53,8.93,9.40,14000,6.228152
2007-07-02,9.36,9.51,8.88,9.28,11700,6.12474
2007-06-01,9.87,9.92,9.30,9.41,15900,6.186779
2007-05-01,9.77,9.86,9.60,9.77,14900,6.398657
2007-04-02,9.79,9.91,9.60,9.76,16400,6.368674
2007-03-01,9.70,10.07,9.60,9.75,15500,6.338778
2007-02-01,9.52,9.71,9.43,9.63,16300,6.237904
2007-01-03,9.63,9.75,9.37,9.49,18300,6.123848
2006-12-01,9.50,9.74,9.50,9.63,15900,6.190959
2006-11-01,9.58,9.60,9.30,9.50,21100,6.084718
2006-10-02,9.56,9.59,9.40,9.55,14100,6.093267
2006-09-01,9.50,9.70,9.26,9.51,20900,6.044776
2006-08-01,9.38,9.53,9.31,9.45,10800,5.983585
2006-07-03,9.17,9.37,9.11,9.32,11300,5.878574
2006-06-01,9.16,9.31,9.01,9.17,12400,5.761354
2006-05-01,9.27,9.29,9.04,9.09,17000,5.688695
2006-04-03,9.48,9.73,9.14,9.26,10600,5.772481
2006-03-01,9.36,9.75,9.28,9.55,16900,5.930796
2006-02-01,9.31,9.36,9.17,9.36,15200,5.790633
2006-01-03,9.17,9.45,9.12,9.26,16300,5.706472
2005-12-01,9.13,9.23,8.96,9.20,26100,5.647597
2005-11-01,9.18,9.18,9.02,9.07,15500,5.545598
2005-10-03,9.30,9.32,8.94,9.12,15200,5.554109
2005-09-01,9.70,9.77,9.16,9.26,22800,5.617422
2005-08-01,9.74,9.78,9.46,9.70,18700,5.862433
2005-07-01,9.73,9.80,9.62,9.69,17500,5.834474
2005-06-01,9.70,9.78,9.47,9.68,17600,5.806844
2005-05-02,9.49,9.74,9.41,9.60,17300,5.737546
2005-04-01,9.45,9.59,9.22,9.46,14900,5.632583
2005-03-01,9.35,9.60,9.07,9.52,17700,5.646714
2005-02-01,9.31,9.62,9.12,9.30,20700,5.494938
2005-01-03,9.02,9.31,8.94,9.28,12800,5.462166
2004-12-01,9.15,9.16,8.89,8.97,23900,5.258816
2004-11-01,9.35,9.35,8.99,9.10,13600,5.313737
2004-10-01,9.20,9.40,9.09,9.35,12400,5.438168
2004-09-01,9.07,9.23,9.01,9.15,14300,5.301198
2004-08-02,8.90,9.10,8.82,9.05,11100,5.222565
2004-07-01,8.59,8.91,8.59,8.88,16900,5.103963
2004-06-01,8.77,8.80,8.52,8.67,15600,4.962735
2004-05-03,8.70,8.87,8.49,8.74,18500,4.982006
2004-04-01,9.40,9.40,8.58,8.72,27600,4.950156
2004-03-01,9.41,9.55,9.28,9.42,15700,5.325973
2004-02-02,9.40,9.50,9.27,9.40,14300,5.294461
2004-01-02,9.25,9.48,9.19,9.37,14600,5.257373
2003-12-01,9.17,9.35,9.07,9.25,13400,5.170017
2003-11-03,9.14,9.25,9.01,9.17,15700,5.105138
2003-10-01,9.17,9.25,8.91,9.11,15400,5.05058
2003-09-02,8.99,9.25,8.86,9.11,14400,5.029582
2003-08-01,9.00,9.27,8.88,8.95,12100,4.920476
2003-07-01,9.55,9.87,8.95,9.01,19200,4.932663
2003-06-02,9.67,10.05,9.43,9.61,16500,5.240531
2003-05-01,9.44,9.68,9.30,9.65,13800,5.241729
2003-04-01,9.41,9.49,9.10,9.41,18800,5.090898
2003-03-03,9.25,9.40,9.04,9.40,18800,5.064709
2003-02-03,9.05,9.27,8.97,9.23,17800,4.953009
2003-01-02,9.05,9.22,8.79,8.92,17700,4.766074
2002-12-02,8.95,9.20,8.84,9.11,18300,4.84688
2002-11-01,9.09,9.20,8.84,8.88,11800,4.704519
2002-10-01,9.40,9.51,8.89,9.10,11100,4.801051
2002-09-03,9.35,9.44,9.28,9.42,9800,4.949809
2002-08-01,9.35,9.48,9.21,9.35,11600,4.893166
2002-07-01,9.25,9.31,9.10,9.28,15600,4.837004
