Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,3.30,3.32,3.25,3.26,35627600,2.826778
2013-03-01,3.57,3.76,3.19,3.28,47446700,2.844121
2013-02-01,4.02,4.17,3.54,3.65,46442100,3.164951
2013-01-02,4.18,4.90,3.67,3.92,83765100,3.399071
2012-12-03,3.29,4.35,3.24,3.95,62302700,3.425084
2012-11-01,2.76,3.59,2.60,3.26,50389100,2.826778
2012-10-01,2.59,2.95,2.52,2.67,41682000,2.315183
2012-09-04,2.90,3.14,2.27,2.58,73310600,2.237144
2012-08-01,3.98,4.21,2.29,2.82,32690600,2.44525
2012-07-02,2.11,4.07,1.63,3.94,36562000,3.416413
2012-06-01,2.65,3.03,2.04,2.07,42835900,1.794917
2012-05-01,3.69,3.75,2.63,2.67,38218000,2.315183
2012-04-02,5.40,5.52,3.54,3.65,52331900,2.929815
2012-03-01,5.31,5.57,4.90,5.49,31303200,4.406763
2012-02-01,5.10,5.87,4.95,5.29,31360200,4.246225
2012-01-03,5.17,5.78,4.93,5.04,39425500,4.045553
2011-12-01,5.80,5.82,4.46,4.82,27418400,3.868961
2011-11-01,6.25,6.91,5.27,5.79,29432100,4.647569
2011-10-03,5.72,7.38,5.10,6.73,34491400,5.402097
2011-09-01,6.69,6.84,5.13,5.66,26572800,4.54322
2011-08-01,5.79,6.59,4.82,6.44,42548500,5.169317
2011-07-01,6.39,6.49,5.31,5.80,33514900,4.655596
2011-06-01,6.51,7.03,5.79,6.42,49484000,5.153264
2011-05-02,9.32,9.38,6.79,7.02,36256200,5.634877
2011-04-01,8.44,9.42,8.26,9.23,26056600,6.975113
2011-03-01,8.73,8.81,7.73,8.51,21970700,6.431009
2011-02-01,10.58,11.75,8.44,8.63,47972100,6.521693
2011-01-03,10.58,11.02,10.20,10.70,22965000,8.085992
2010-12-01,9.50,10.39,9.49,10.32,14870200,7.798826
2010-11-01,10.52,10.88,9.08,9.23,24190100,6.975113
2010-10-01,10.31,11.62,9.98,10.70,28438500,8.085992
2010-09-01,8.81,10.29,8.76,10.03,29890800,7.579673
2010-08-02,9.61,9.73,8.47,8.56,20226700,6.468794
2010-07-01,8.43,9.59,8.21,9.51,27636100,7.186709
2010-06-01,10.05,10.27,8.00,8.15,37269400,6.158957
2010-05-03,12.22,12.28,9.64,10.12,38624000,7.647686
2010-04-01,15.81,15.89,11.93,12.16,38614300,8.730668
2010-03-01,13.30,15.65,13.23,15.54,19219800,11.15745
2010-02-01,13.98,14.43,12.73,13.47,22293100,9.671226
2010-01-04,13.26,14.47,12.52,13.69,32440900,9.829182
2009-12-01,13.56,13.60,12.14,12.85,15107100,9.226076
2009-11-02,12.77,14.04,12.56,13.26,18343600,9.52045
2009-10-01,14.41,15.60,12.59,12.61,29901900,9.053761
2009-09-01,13.61,16.00,13.15,14.62,24669500,10.496905
2009-08-03,13.51,14.27,12.10,14.01,18776500,10.058936
