Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.00,16.00,15.92,15.96,124600,12.767978
2013-03-01,16.25,16.50,15.33,15.98,108300,12.783977
2013-02-01,17.02,17.049999,16.18,16.25,84700,12.934773
2013-01-02,16.07,17.16,16.07,16.940001,75300,13.42055
2012-12-03,17.620001,17.68,15.93,16.030001,118000,12.63946
2012-11-01,16.67,17.58,16.469999,17.58,97400,13.796366
2012-10-01,16.98,17.049999,16.370001,16.639999,95300,12.993883
2012-09-04,16.74,17.00,16.42,16.950001,54200,13.169142
2012-08-01,17.15,17.15,15.93,16.790001,86500,12.97949
2012-07-02,16.059999,17.08,16.059999,17.07,81300,13.128271
2012-06-01,16.110001,16.290001,15.79,16.129999,63600,12.341285
2012-05-01,15.95,16.139999,15.88,16.110001,43700,12.262268
2012-04-02,15.68,15.93,15.48,15.91,46900,12.046853
2012-03-01,15.94,16.280001,14.92,15.63,79100,11.771841
2012-02-01,16.10,16.16,15.49,15.90,76200,11.913291
2012-01-03,15.61,16.24,15.47,16.07,88300,11.977333
2011-12-01,15.16,15.65,15.09,15.61,50500,11.571797
2011-11-01,14.65,15.09,14.61,15.09,49000,11.125656
2011-10-03,14.74,14.77,14.05,14.57,59800,10.68203
2011-09-01,14.59,14.80,14.36,14.79,44700,10.780723
2011-08-01,14.09,14.82,13.36,14.58,55400,10.566961
2011-07-01,14.19,14.49,13.74,14.00,58700,10.086619
2011-06-01,14.02,14.44,13.91,14.11,46200,10.10756
2011-05-02,13.57,14.00,13.46,13.98,43200,9.955817
2011-04-01,13.48,13.50,13.05,13.45,44100,9.523268
2011-03-01,13.46,13.47,13.03,13.38,57800,9.416963
2011-02-01,13.19,13.49,13.00,13.41,59300,9.382393
2011-01-03,13.51,13.62,12.30,13.11,94400,9.118459
2010-12-01,14.51,14.51,12.93,13.49,117100,9.326222
2010-11-01,15.02,15.03,13.10,14.40,122800,9.895613
2010-10-01,15.42,15.42,14.78,14.95,69000,10.218732
2010-09-01,15.53,15.58,14.90,15.32,52400,10.417248
2010-08-02,15.01,15.61,14.88,15.45,60900,10.4521
2010-07-01,14.44,14.93,14.41,14.92,58100,10.041193
2010-06-01,14.22,14.50,14.13,14.47,40900,9.685431
2010-05-03,14.27,14.43,13.42,14.16,56000,9.425718
2010-04-01,14.21,14.23,14.01,14.21,41900,9.409217
2010-03-01,13.98,14.23,13.88,14.18,77400,9.339586
2010-02-01,13.90,14.14,13.71,13.90,74200,9.106708
2010-01-04,13.27,13.84,13.26,13.83,64000,9.012513
2009-12-01,13.27,13.50,13.13,13.32,69600,8.632261
2009-11-02,13.22,13.31,12.58,13.20,54400,8.506968
2009-10-01,13.93,14.12,12.79,13.13,62600,8.416948
2009-09-01,13.02,13.89,12.96,13.89,43900,8.857699
2009-08-03,12.90,13.01,12.46,13.00,36300,8.247691
2009-07-01,12.40,13.00,12.19,12.79,29500,8.073664
2009-06-01,12.52,12.72,11.95,12.32,37500,7.736935
2009-05-01,12.28,12.63,12.14,12.49,40100,7.803211
2009-04-01,11.85,12.38,11.48,12.30,33200,7.644941
2009-03-02,11.75,12.38,11.04,11.78,45200,7.28314
2009-02-02,12.20,12.35,10.36,11.73,51700,7.213343
2009-01-02,10.35,12.33,10.35,12.15,73200,7.433227
2008-12-01,11.17,11.17,9.11,10.34,103100,6.2924
2008-11-03,10.66,12.10,8.95,10.88,76000,6.555565
2008-10-01,11.05,11.26,7.28,10.64,73100,6.376288
2008-09-02,12.94,12.97,10.38,10.57,48700,6.28899
2008-08-01,12.92,12.96,12.70,12.94,32200,7.661181
2008-07-01,13.24,13.35,12.58,12.87,26500,7.582467
2008-06-02,13.84,13.96,12.93,13.22,37300,7.751471
2008-05-01,13.70,13.99,13.70,13.77,36000,8.036967
2008-04-01,13.65,13.85,13.53,13.71,32600,7.964366
2008-03-03,13.57,13.92,13.13,13.61,44200,7.868845
2008-02-01,14.73,14.80,13.42,13.57,66300,7.808764
2008-01-02,13.70,14.82,13.61,14.67,65800,8.404676
2007-12-03,13.50,13.75,13.18,13.67,113000,7.796112
2007-11-01,13.88,13.90,13.10,13.50,63800,7.660269
2007-10-01,14.43,14.80,13.66,13.88,63800,7.837801
