Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.08,15.08,14.95,14.98,119000,12.308591
2013-03-01,15.50,15.50,14.35,15.03,134200,12.349675
2013-02-01,15.90,16.059999,15.36,15.46,89900,12.647165
2013-01-02,15.78,16.32,15.75,15.90,63800,12.948771
2012-12-03,16.690001,16.74,15.58,15.83,96900,12.835541
2012-11-01,16.450001,16.65,15.72,16.610001,92400,13.375613
2012-10-01,16.200001,16.469999,15.93,16.40,101900,13.141808
2012-09-04,16.01,16.15,15.67,16.15,65300,12.877048
2012-08-01,16.26,16.40,15.48,15.96,67800,12.661688
2012-07-02,15.59,16.25,15.51,16.17,69200,12.764067
2012-06-01,15.89,15.90,15.27,15.55,56800,12.212033
2012-05-01,15.72,16.00,15.58,15.88,68600,12.406911
2012-04-02,15.43,15.79,15.18,15.64,87600,12.15364
2012-03-01,15.92,15.94,14.41,15.37,100600,11.876822
2012-02-01,15.99,16.110001,15.32,15.83,62100,12.165101
2012-01-03,15.48,16.049999,15.14,15.89,70000,12.144954
2011-12-01,14.85,15.53,14.71,15.47,37900,11.757697
2011-11-01,14.74,14.88,14.34,14.72,33700,11.067964
2011-10-03,14.80,14.83,13.77,14.62,47100,10.928766
2011-09-01,14.31,14.81,14.10,14.66,44200,10.892016
2011-08-01,13.92,14.27,12.96,14.22,46200,10.502575
2011-07-01,14.07,14.72,13.73,13.84,55500,10.158626
2011-06-01,13.79,14.10,13.66,14.05,42200,10.250397
2011-05-02,13.57,13.86,13.38,13.76,48300,9.976712
2011-04-01,13.50,13.50,13.16,13.47,35600,9.70514
2011-03-01,13.45,13.65,13.29,13.34,52400,9.549138
2011-02-01,13.21,13.40,12.92,13.40,63200,9.531654
2011-01-03,13.56,13.63,12.21,13.12,104500,9.271125
2010-12-01,14.84,14.86,13.06,13.64,118100,9.575686
2010-11-01,15.48,15.60,13.21,14.73,114500,10.212453
2010-10-01,15.61,15.81,15.04,15.35,61800,10.58229
2010-09-01,15.98,16.00,15.00,15.53,72200,10.647245
2010-08-02,15.22,15.91,15.05,15.87,47800,10.821088
2010-07-01,15.03,15.10,14.68,15.09,43300,10.231891
2010-06-01,14.48,14.95,14.40,14.95,48400,10.078414
2010-05-03,14.77,14.78,14.16,14.44,42000,9.678265
2010-04-01,14.78,14.95,14.47,14.69,43900,9.79079
2010-03-01,14.52,14.75,14.26,14.63,43600,9.696556
2010-02-01,14.69,14.78,14.04,14.43,49600,9.510024
2010-01-04,14.06,14.70,13.95,14.64,48400,9.594748
2009-12-01,14.50,14.84,13.88,14.07,57300,9.168268
2009-11-02,13.86,14.37,13.60,14.21,39600,9.198396
2009-10-01,14.23,14.92,13.18,13.77,73500,8.865584
2009-09-01,13.65,14.50,13.54,14.22,44300,9.105696
2009-08-03,13.32,13.63,13.27,13.60,35600,8.662491
2009-07-01,12.82,13.41,12.75,13.27,35000,8.405932
2009-06-01,13.03,13.19,12.27,12.76,43700,8.037899
2009-05-01,12.25,13.19,12.18,12.96,62100,8.117698
2009-04-01,11.41,12.27,11.07,12.22,46300,7.609234
2009-03-02,11.38,11.78,10.76,11.33,54800,7.013939
2009-02-02,11.99,12.54,10.37,11.38,50000,7.002597
2009-01-02,10.35,12.26,10.35,11.98,65700,7.331778
2008-12-01,10.77,10.77,8.64,10.33,140200,6.286381
2008-11-03,11.25,12.13,9.11,10.36,55200,6.262184
2008-10-01,11.55,12.13,7.40,10.99,96800,6.604689
2008-09-02,13.40,13.42,10.56,11.38,66600,6.784454
2008-08-01,13.23,13.37,13.08,13.33,32800,7.906777
2008-07-01,13.83,14.09,12.55,13.20,44400,7.789926
2008-06-02,14.30,14.34,13.13,13.78,33800,8.092927
2008-05-01,14.28,14.45,14.12,14.26,28100,8.335175
2008-04-01,13.76,14.30,13.73,14.26,34300,8.296365
2008-03-03,13.35,14.05,13.06,13.71,58900,7.938612
2008-02-01,15.03,15.18,13.34,13.35,64100,7.692545
2008-01-02,14.05,15.08,14.00,14.92,40400,8.558989
2007-12-03,14.05,14.26,13.70,13.97,109600,7.97766
2007-11-01,15.13,15.13,13.70,13.95,37900,7.928358
2007-10-01,14.94,15.56,14.64,15.00,33700,8.48455
2007-09-04,14.87,15.35,14.52,14.86,30500,8.367231
2007-08-01,14.75,14.99,14.10,14.83,35700,8.313116
2007-07-02,14.95,15.16,14.56,14.66,33900,8.18016
2007-06-01,16.02,16.02,14.79,14.97,37700,8.315678
2007-05-01,16.469999,16.879999,15.90,15.91,32300,8.798623
2007-04-02,15.87,16.67,15.75,16.389999,32800,9.02533
2007-03-01,16.219999,16.459999,15.65,15.81,30600,8.667886
2007-02-01,15.99,16.35,15.90,16.16,29500,8.821064
2007-01-03,16.15,16.450001,15.83,15.96,28500,8.673593
2006-12-01,16.15,16.549999,15.90,16.200001,33700,8.765603
2006-11-01,15.51,16.15,15.47,16.129999,27000,8.689825
2006-10-02,15.70,15.94,15.17,15.47,32200,8.296973
2006-09-01,15.56,15.86,15.32,15.69,32100,8.376885
2006-08-01,15.27,15.69,15.15,15.54,25100,8.259185
2006-07-03,15.05,15.60,14.77,15.30,19800,8.094574
2006-06-01,14.93,15.46,14.62,14.95,26300,7.871965
2006-05-01,15.30,15.50,14.70,14.88,29000,7.79802
2006-04-03,15.45,15.54,14.44,15.05,23100,7.848624
2006-03-01,15.55,15.70,15.20,15.47,21100,8.028367
2006-02-01,15.74,15.85,15.21,15.57,35800,8.041935
2006-01-03,15.20,15.77,15.19,15.64,36700,8.038116
2005-12-01,14.66,15.40,14.37,15.31,35700,7.829424
2005-11-01,14.89,14.99,14.39,14.56,28200,7.406638
2005-10-03,15.25,15.70,14.65,14.83,20500,7.504869
2005-09-01,15.48,15.70,14.98,15.26,21200,7.683736
2005-08-01,15.49,15.49,15.08,15.40,32300,7.715857
2005-07-01,15.31,15.61,15.20,15.43,30600,7.690092
2005-06-01,14.92,15.29,14.85,15.27,29700,7.570995
2005-05-02,14.52,14.99,14.44,14.91,31500,7.353129
2005-04-01,14.35,14.60,14.22,14.53,26300,7.126595
2005-03-01,14.74,14.83,13.45,14.25,45100,6.950407
2005-02-01,14.71,15.10,14.48,14.70,52200,7.130793
2005-01-03,15.06,15.06,14.33,14.69,52500,7.086538
2004-12-01,14.55,15.08,14.32,15.05,31800,7.219267
2004-11-01,15.19,15.24,14.26,14.49,46100,6.911291
2004-10-01,15.07,15.19,14.77,15.19,26300,7.203697
2004-09-01,14.98,15.29,14.65,14.97,31000,7.06029
2004-08-02,14.40,15.00,14.32,14.92,27800,6.997772
2004-07-01,13.83,14.43,13.83,14.35,42200,6.692117
2004-06-01,14.00,14.09,13.58,13.83,35800,6.412127
2004-05-03,13.83,14.01,13.01,13.95,63400,6.429199
2004-04-01,15.57,15.59,13.71,13.80,64100,6.320228
2004-03-01,15.75,15.77,15.50,15.56,30800,7.085884
2004-02-02,15.35,15.68,15.34,15.68,31700,7.102878
2004-01-02,15.17,15.73,15.07,15.35,33600,6.916157
2003-12-01,14.95,15.25,14.79,15.15,31500,6.789515
2003-11-03,14.81,14.98,14.70,14.98,20900,6.643725
2003-10-01,14.87,14.89,14.47,14.81,30600,6.531569
2003-09-02,14.26,14.86,14.20,14.80,24500,6.489924
2003-08-01,14.35,14.68,14.14,14.28,35400,6.226203
2003-07-01,15.45,15.50,14.33,14.37,46000,6.230255
2003-06-02,15.49,15.97,15.25,15.41,39800,6.645373
2003-05-01,14.79,15.55,14.76,15.49,37100,6.645508
2003-04-01,14.57,14.79,14.32,14.76,35500,6.297777
2003-03-03,14.50,14.69,14.22,14.56,30100,6.177333
2003-02-03,14.44,14.56,14.27,14.47,22200,6.104857
2003-01-02,14.57,14.65,14.20,14.45,31100,6.062737
2002-12-02,14.28,14.64,14.20,14.59,28700,6.087254
2002-11-01,14.42,14.70,14.16,14.28,28500,5.924908
2002-10-01,15.16,15.31,13.80,14.40,44400,5.94207
2002-09-03,15.06,15.29,15.02,15.16,28300,6.222906
2002-08-01,14.96,15.08,14.79,15.06,25800,6.149343
2002-07-01,14.65,15.07,14.52,14.95,38100,6.072363
2002-06-03,14.27,14.80,14.23,14.67,29500,5.926805
2002-05-01,14.36,14.44,14.00,14.30,28600,5.745889
2002-04-01,13.82,14.35,13.79,14.27,28500,5.70234
2002-03-01,14.64,14.72,13.50,13.89,38800,5.519742
2002-02-01,14.46,14.75,14.31,14.68,34300,5.80159
2002-01-02,14.00,14.70,13.98,14.36,36600,5.645277
