Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,0.16,0.16,0.16,0.16,000,0.16
2013-03-01,0.155,0.16,0.15,0.16,900,0.16
2013-02-01,0.155,0.16,0.155,0.155,1000,0.155
2013-01-01,0.175,0.19,0.15,0.16,8600,0.16
2012-12-03,0.18,0.18,0.12,0.175,20800,0.175
2012-11-01,0.25,0.25,0.17,0.18,10000,0.18
2012-10-01,0.29,0.29,0.24,0.25,4600,0.25
2012-09-03,0.35,0.38,0.285,0.29,11100,0.29
2012-08-01,0.46,0.46,0.35,0.35,1100,0.35
2012-07-02,0.50,0.50,0.40,0.46,700,0.46
2012-06-01,0.44,0.54,0.405,0.50,3000,0.50
2012-05-01,0.465,0.56,0.44,0.44,1100,0.44
2012-04-02,0.60,0.60,0.43,0.54,3900,0.54
2012-03-01,0.80,0.80,0.50,0.60,5500,0.60
2012-02-01,0.80,0.92,0.76,0.80,9500,0.80
2012-01-02,0.55,0.89,0.55,0.80,20400,0.80
2011-12-01,0.62,0.63,0.50,0.55,3200,0.55
2011-11-01,0.67,4.55,0.52,0.62,11400,0.62
2011-10-03,0.46,4.90,0.445,3.95,34700,3.95
2011-09-01,0.42,4.55,0.40,0.49,25900,0.49
2011-08-01,5.25,5.70,0.40,0.425,9900,0.425
2011-07-01,5.10,6.40,0.50,0.53,10500,0.53
2011-06-01,5.25,6.60,0.46,0.50,8600,0.50
2011-05-02,5.55,6.90,0.65,5.45,5000,5.45
2011-04-01,5.25,7.20,0.72,0.80,8600,0.80
2011-03-01,6.60,6.60,0.68,0.70,9600,0.70
2011-02-01,6.40,7.15,0.83,0.90,16200,0.90
2011-01-03,9.90,10.90,0.85,6.60,20000,6.60
2010-12-01,0.22,9.60,0.18,1.01,21700,1.01
2010-11-01,9.25,13.10,0.13,0.215,46800,1.075
2010-10-01,9.30,10.65,0.13,0.175,10900,0.875
2010-09-01,10.25,11.00,0.13,9.40,11000,47.00
2010-08-02,9.70,11.30,0.11,0.15,9500,0.75
2010-07-01,10.35,11.55,0.115,0.20,8400,1.00
2010-06-01,0.155,11.50,0.09,10.80,21800,54.00
2010-05-03,9.50,9.85,0.155,8.70,8000,43.50
2010-04-01,0.17,12.00,0.17,9.60,8600,48.00
2010-03-02,0.185,12.70,0.16,0.17,8800,0.85
2010-02-01,12.50,13.50,0.17,11.60,11900,58.00
2010-01-04,0.17,18.40,0.17,12.55,66400,62.75
2009-12-01,9.45,13.65,0.16,0.17,77100,0.85
2009-11-03,7.50,10.95,6.80,9.00,27800,45.00
2009-10-01,0.13,9.65,0.13,7.50,17300,37.50
2009-09-01,0.13,0.13,0.13,0.13,000,0.65
2009-08-03,0.13,0.13,0.13,0.13,000,0.65
2009-07-01,0.13,0.13,0.13,0.13,000,0.65
2009-06-01,0.13,0.13,0.13,0.13,000,0.65
2009-05-01,0.13,0.13,0.13,0.13,000,0.65
2009-04-01,0.13,0.13,0.13,0.13,000,0.65
2009-03-02,0.13,0.13,0.13,0.13,000,0.65
2009-02-02,0.13,5.20,0.13,0.13,100,0.65
2009-01-01,0.13,0.13,0.13,0.13,000,0.65
2008-12-01,0.13,0.13,0.13,0.13,000,0.65
2008-11-03,0.15,0.15,0.13,0.13,400,0.65
2008-10-01,0.25,0.25,0.15,0.15,000,0.75
2008-09-01,0.13,0.25,0.13,0.25,100,1.25
2008-08-01,0.13,0.13,0.13,0.13,000,0.65
2008-07-01,0.13,0.13,0.13,0.13,000,0.65
2008-06-02,0.13,0.13,0.13,0.13,000,0.65
2008-05-01,0.25,0.25,0.13,0.13,100,0.65
2008-04-01,0.25,0.25,0.25,0.25,000,1.25
2008-03-03,0.22,0.265,0.22,0.25,100,1.25
2008-02-01,0.20,0.22,0.20,0.22,500,1.10
2008-01-01,0.20,0.21,0.20,0.20,200,1.00
2007-12-03,0.22,0.22,0.20,0.20,000,1.00
2007-11-01,0.25,0.27,0.22,0.22,400,1.10
2007-10-01,0.24,0.24,0.24,0.24,000,1.20
2007-09-03,22.95,29.40,0.24,0.24,58000,1.20
2007-08-01,21.55,23.20,18.55,22.40,22400,112.00
2007-07-02,24.30,26.00,20.95,21.50,26300,107.50
2007-06-04,27.00,27.15,23.55,24.25,16600,121.25
2007-05-03,27.30,28.45,24.80,26.40,20000,132.00
2007-04-02,24.50,31.35,24.00,27.15,36000,135.75
2007-03-01,26.00,27.20,21.90,24.00,27600,120.00
2007-02-14,29.00,31.00,25.95,26.20,21700,131.00
2007-01-02,27.65,42.35,27.00,34.65,347100,173.25
2006-12-01,26.90,30.50,21.10,26.80,68700,134.00
2006-11-01,26.50,29.65,21.55,27.05,49300,135.25
2006-10-03,28.80,31.50,25.50,26.30,29600,131.50
2006-09-01,28.85,35.20,27.15,28.25,154600,141.25
2006-08-01,17.50,27.50,17.50,27.50,41400,137.50
2006-07-03,21.25,21.25,16.90,18.00,25000,90.00
2006-06-01,32.60,32.60,19.75,20.20,29400,101.00
2006-05-02,45.45,47.80,31.80,33.50,32000,167.50
2006-04-03,49.00,51.85,42.75,42.95,69100,214.75
2006-03-01,44.50,47.95,35.20,46.70,90200,233.50
2006-02-01,43.90,53.90,43.00,44.45,189900,222.25
2006-01-02,54.80,57.40,42.70,43.00,128500,215.00
2005-12-01,56.60,64.25,48.10,53.40,260000,267.00
2005-11-02,42.90,60.70,42.00,56.55,270900,282.75
2005-10-03,62.00,62.80,40.00,41.25,136100,206.25
2005-09-01,68.70,75.60,53.20,58.15,511700,290.75
2005-08-01,57.00,71.20,53.50,68.00,546700,340.00
2005-07-04,52.00,66.50,52.00,57.10,1101000,280.451
2005-06-01,49.40,55.25,41.00,50.30,484500,247.052
