Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.049999,28.290001,27.870001,28.290001,283000,21.860287
2013-03-01,27.610001,28.209999,26.559999,28.15,160300,21.752104
2013-02-01,27.120001,27.92,26.549999,27.59,127900,21.31938
2013-01-02,24.90,27.07,24.52,26.889999,137600,20.466423
2012-12-03,24.719999,25.389999,24.030001,24.51,117300,18.654966
2012-11-01,25.950001,26.32,22.76,24.91,152000,18.959412
2012-10-01,25.459999,26.469999,25.370001,25.780001,87500,19.294294
2012-09-04,26.190001,26.65,24.84,25.35,122900,18.972473
2012-08-01,26.68,26.90,25.77,26.190001,83000,19.601147
2012-07-02,24.879999,26.780001,24.860001,26.32,98200,19.391115
2012-06-01,24.290001,25.68,24.129999,25.00,117100,18.418613
2012-05-01,26.450001,26.75,23.83,24.51,112100,18.057608
2012-04-02,25.459999,26.540001,24.83,26.530001,111000,19.215942
2012-03-01,26.58,27.50,25.379999,25.620001,128800,18.55682
2012-02-01,26.99,27.450001,26.01,26.450001,139800,19.157997
2012-01-03,25.889999,26.559999,25.440001,26.450001,147000,18.867533
2011-12-01,24.91,25.93,24.84,25.77,126400,18.382469
2011-11-01,23.889999,25.23,23.73,24.84,100800,17.719074
2011-10-03,22.469999,24.799999,21.00,24.469999,114800,17.16609
2011-09-01,24.799999,24.85,22.440001,22.559999,115700,15.826195
2011-08-01,25.280001,25.57,21.67,24.41,167100,17.123999
2011-07-01,25.99,26.389999,24.85,25.10,129100,17.311443
2011-06-01,25.98,25.98,24.75,25.90,155300,17.863203
2011-05-02,27.24,27.50,25.030001,25.700001,214000,17.725264
2011-04-01,26.299999,27.190001,25.77,27.049999,214600,18.364716
2011-03-01,25.200001,26.32,24.959999,26.299999,254900,17.855528
2011-02-01,24.700001,25.65,24.700001,25.139999,254800,17.067984
2011-01-03,24.379999,24.809999,23.799999,24.68,203400,16.486959
2010-12-01,24.40,24.67,23.440001,24.24,242400,16.193026
2010-11-01,24.540001,24.889999,23.90,24.139999,170900,16.126223
2010-10-01,24.139999,24.75,24.00,24.43,139000,16.077677
2010-09-01,25.00,25.08,23.799999,24.049999,292200,15.827593
2010-08-02,25.01,25.09,24.540001,25.00,179800,16.452799
2010-07-29,25.00,25.01,25.00,25.00,343700,16.452799
