Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,3.332,3.332,3.332,3.332,000,3.332
2013-03-01,2.404,3.454,2.404,3.332,000,3.332
2013-02-01,2.702,2.768,2.225,2.288,000,2.288
2013-01-01,3.315,3.315,2.657,2.711,000,2.711
2012-12-03,3.544,3.547,3.226,3.315,000,3.315
2012-11-01,4.231,4.429,3.44,3.545,000,3.545
2012-10-01,3.876,4.734,3.804,4.221,000,4.221
2012-09-03,3.625,3.97,3.625,3.908,000,3.908
2012-08-01,3.507,3.982,3.117,3.678,000,3.678
2012-07-02,4.605,4.605,3.428,3.686,000,3.686
2012-06-01,2.33,6.062,2.037,5.503,000,5.503
2012-05-01,1.127,2.122,1.127,1.974,000,1.974
2012-04-02,1.209,1.209,1.009,1.127,000,1.127
2012-03-01,1.36,1.399,1.192,1.192,000,1.192
2012-02-01,1.469,1.615,1.341,1.414,000,1.414
2012-01-02,1.363,1.521,1.357,1.506,000,1.506
2011-12-01,1.352,1.511,1.352,1.361,000,1.361
2011-11-01,1.502,1.502,1.332,1.412,000,1.412
2011-10-03,1.551,1.593,1.422,1.503,000,1.503
2011-09-01,2.056,2.056,1.555,1.555,000,1.555
2011-08-01,2.405,2.525,1.867,2.017,000,2.017
2011-07-01,2.651,2.651,2.30,2.382,000,2.382
2011-06-01,2.402,2.676,2.21,2.654,000,2.654
2011-05-02,2.254,2.518,2.192,2.424,000,2.424
2011-04-01,2.282,2.282,2.015,2.15,000,2.15
2011-03-01,2.271,2.314,1.978,2.283,000,2.283
2011-02-01,2.732,2.732,2.283,2.283,000,2.283
2011-01-03,2.874,2.954,2.69,2.715,000,2.715
2010-12-01,2.596,2.954,2.557,2.874,000,2.874
2010-11-01,2.37,2.623,2.345,2.564,000,2.564
2010-10-01,2.728,2.879,2.364,2.369,000,2.369
2010-09-01,2.816,2.987,2.767,2.848,000,2.848
2010-08-02,3.005,3.40,2.773,2.801,000,2.801
2010-07-01,2.985,3.042,2.26,2.937,000,2.937
2010-06-01,2.867,3.017,2.794,3.017,000,3.017
2010-05-03,3.135,3.33,2.759,2.81,000,2.81
2010-04-01,3.111,3.147,2.986,2.986,000,2.986
2010-03-01,3.04,3.365,2.955,3.177,000,3.177
2010-02-01,3.00,3.54,2.93,3.41,000,3.41
2010-01-29,3.13,3.13,3.13,3.13,000,3.13
2009-12-16,2.51,2.51,2.50,2.50,000,2.50
2009-02-02,6.49,6.49,6.01,6.36,000,6.36
2009-01-02,5.82,6.41,5.79,6.34,000,6.34
2008-12-01,5.69,6.32,5.17,5.81,000,5.81
2008-11-03,5.20,7.10,4.74,5.39,000,5.39
2008-10-01,8.13,8.39,5.04,5.52,000,5.52
2008-09-01,8.52,8.57,7.47,8.54,000,8.54
2008-08-18,8.84,8.84,8.51,8.52,000,8.52
2008-07-01,9.04,9.04,8.49,8.88,000,8.88
2008-06-02,9.96,10.14,9.01,9.01,000,9.01
2008-05-02,9.12,9.95,9.12,9.69,000,9.69
2008-04-01,9.67,10.64,9.50,9.52,000,9.52
2008-03-03,11.84,11.84,9.39,9.64,000,9.64
2008-02-01,11.82,12.02,11.37,11.49,000,11.49
2008-01-02,11.37,12.95,11.37,12.00,000,12.00
2007-12-03,11.98,11.98,11.42,11.65,000,11.65
2007-11-01,11.80,12.54,10.90,11.79,000,11.79
2007-10-01,12.67,12.67,11.75,11.87,000,11.87
2007-09-03,12.70,12.85,12.30,12.30,000,12.30
2007-08-01,13.62,13.92,12.26,12.36,000,12.36
2007-07-02,15.56,15.87,13.49,13.51,000,13.51
2007-06-01,16.76,17.10,15.20,15.20,000,15.20
2007-05-02,16.43,17.73,15.91,16.61,000,16.61
2007-04-02,17.51,17.99,16.49,16.55,000,16.55
2007-03-01,16.59,18.50,16.52,18.25,000,18.25
2007-02-01,20.62,20.94,17.61,17.83,000,17.83
2007-01-02,18.66,22.71,18.56,20.74,000,20.74
2006-12-01,19.03,19.28,18.00,18.67,000,18.67
2006-11-01,17.90,18.93,17.27,18.67,000,18.67
2006-10-02,16.37,19.06,15.83,17.45,000,17.45
2006-09-01,16.61,17.22,15.47,16.15,000,16.15
2006-08-01,18.58,18.58,16.18,16.84,000,16.84
2006-07-03,18.99,19.61,18.51,18.55,000,18.55
2006-06-01,19.44,19.92,18.51,19.20,000,19.20
