Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,43.84,43.84,43.299999,43.52,244000,37.932842
2013-03-01,45.07,45.880001,43.400002,43.82,157300,38.194324
2013-02-01,45.669998,46.369999,45.009998,45.549999,94200,39.702225
2013-01-02,44.889999,46.549999,43.610001,45.419998,114200,39.588913
2012-12-03,44.049999,45.32,42.91,44.200001,116400,38.147758
2012-11-01,46.48,46.48,41.009998,43.860001,132800,37.854313
2012-10-01,49.290001,50.799999,46.23,46.529999,126400,40.158714
2012-09-04,49.220001,50.16,48.009998,49.240002,125200,42.092945
2012-08-01,48.77,50.080002,46.040001,49.169998,124300,42.0331
2012-07-02,47.689999,49.740002,46.349998,48.689999,289700,41.622772
2012-06-01,45.66,48.560001,45.50,47.599998,130500,40.31955
2012-05-01,45.639999,46.66,44.869999,46.349998,122900,39.260735
2012-04-02,45.450001,46.080002,43.900002,45.700001,119300,38.710155
2012-03-01,46.00,46.52,44.400002,45.400002,131900,38.078606
2012-02-01,47.57,49.490002,45.740002,45.77,114800,38.388935
2012-01-03,48.830002,48.830002,46.599998,47.549999,106200,39.881886
2011-12-01,46.889999,48.98,45.810001,47.93,125900,39.82946
2011-11-01,45.59,47.490002,44.779999,47.060001,107900,39.106499
2011-10-03,44.080002,47.669998,42.52,46.720001,130100,38.823959
2011-09-01,45.119999,45.759998,41.41,44.099998,161800,36.293926
2011-08-01,44.950001,45.43,39.630001,45.220001,167500,37.215679
2011-07-01,45.189999,46.77,44.439999,44.610001,125300,36.713654
2011-06-01,45.009998,45.32,43.57,45.130001,150000,36.78846
2011-05-02,46.349998,46.400002,44.25,45.169998,135700,36.821064
2011-04-01,46.16,46.369999,44.080002,46.240002,122800,37.693295
2011-03-01,46.93,48.720001,45.630001,46.130001,178200,37.246086
2011-02-01,45.00,47.119999,44.07,47.00,122900,37.948536
2011-01-03,46.740002,47.07,43.919998,44.560001,148100,35.978443
2010-12-01,49.419998,49.610001,44.02,46.470001,280800,37.162758
2010-11-01,49.810001,50.09,47.419998,48.82,110700,39.042084
2010-10-01,47.639999,50.860001,47.23,49.290001,109000,39.417953
2010-09-01,46.040001,47.889999,45.360001,47.450001,126400,37.616146
2010-08-02,48.099998,49.00,43.68,45.439999,119400,36.022709
2010-07-01,43.549999,48.799999,42.630001,47.41,111200,37.584435
2010-06-01,43.57,46.610001,42.599998,43.57,122900,34.246288
2010-05-03,47.700001,48.57,41.900002,43.970001,131800,34.560692
2010-04-01,46.709999,49.18,46.07,47.389999,92700,37.248833
2010-03-01,44.23,47.540001,44.23,46.599998,99200,36.31134
2010-02-01,43.369999,44.84,41.049999,43.990002,108900,34.277596
2010-01-04,45.48,45.82,42.790001,43.369999,99400,33.794479
2009-12-01,43.060001,46.470001,42.82,45.040001,99600,34.763844
2009-11-02,41.93,44.549999,41.279999,42.880001,116700,33.096664
2009-10-01,41.599998,44.740002,40.830002,41.810001,137900,32.27079
2009-09-01,41.759998,42.860001,41.119999,41.66,126200,31.843374
2009-08-03,44.84,45.060001,41.720001,42.099998,128700,32.179695
2009-07-01,44.48,46.00,42.23,44.639999,104600,34.121178
2009-06-01,42.990002,46.07,42.669998,44.32,174300,33.579021
2009-05-01,41.75,43.790001,39.630001,42.439999,189700,32.15464
2009-04-01,42.68,44.16,39.580002,40.900002,168000,30.987862
2009-03-02,40.43,45.189999,37.709999,43.419998,281000,32.583641
2009-02-02,42.52,45.66,40.43,40.950001,175100,30.730082
2009-01-02,44.380001,44.549999,40.630001,42.939999,187300,32.223434
2008-12-01,48.779999,49.259998,42.130001,44.23,239100,32.892502
2008-11-03,50.98,52.389999,45.59,49.950001,249500,37.146294
2008-10-01,52.240002,53.709999,36.610001,50.880001,267900,37.837906
2008-09-02,48.630001,55.23,46.830002,52.00,238700,38.362167
2008-08-01,45.25,49.560001,43.66,48.73,141000,35.949776
2008-07-01,45.869999,47.189999,43.889999,45.25,165300,33.382462
2008-06-02,45.50,48.220001,44.360001,46.259998,180100,33.843678
2008-05-01,44.77,46.50,43.459999,45.59,197200,33.353512
2008-04-01,43.759998,45.740002,43.080002,44.869999,174000,32.826759
2008-03-03,41.860001,43.919998,41.07,43.439999,275700,31.511187
2008-02-01,47.34,48.810001,41.880001,42.040001,315400,30.495634
2008-01-02,48.669998,50.740002,45.869999,47.34,273800,34.340233
2007-12-03,48.18,50.580002,46.349998,48.66,150400,35.022736
