Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,39.419998,39.66,38.119999,38.259998,3829200,36.720306
2013-03-01,38.549999,41.77,38.080002,39.43,1456100,37.843224
2013-02-01,42.110001,43.880001,38.07,38.810001,2640000,37.248173
2013-01-02,37.790001,42.799999,37.709999,41.669998,1621800,39.993076
2012-12-03,34.779999,37.419998,32.799999,36.990002,1397700,35.501415
2012-11-01,33.709999,35.200001,31.219999,34.580002,1704900,33.1884
2012-10-01,32.959999,35.169998,29.48,33.59,2540700,32.238239
2012-09-04,33.459999,35.98,32.43,33.459999,2243600,32.113472
2012-08-01,25.99,33.84,25.77,33.360001,2239900,32.017498
2012-07-02,28.610001,29.629999,25.700001,26.860001,2039400,25.779076
2012-06-01,29.85,30.120001,26.360001,28.540001,3436100,27.391468
2012-05-01,34.389999,35.700001,27.92,30.860001,2222700,29.618105
2012-04-02,35.759998,35.849998,31.41,34.349998,2438400,32.967655
2012-03-01,31.799999,38.00,30.00,36.029999,2345400,34.580048
2012-02-01,34.080002,35.25,30.00,31.65,2600100,30.376312
2012-01-03,29.58,35.77,29.32,33.75,1620100,32.3918
2011-12-01,28.540001,29.860001,24.690001,28.719999,1484200,27.564222
2011-11-01,27.51,29.959999,25.82,28.700001,1351800,27.545029
2011-10-03,21.52,31.290001,18.67,28.379999,2364800,27.237906
2011-09-01,29.200001,29.549999,21.57,21.68,1515400,20.807533
2011-08-01,36.00,36.200001,24.709999,29.059999,2957800,27.890541
2011-07-01,37.48,38.939999,34.490002,35.580002,1368600,34.148159
2011-06-01,38.00,38.130001,35.700001,37.349998,1412300,35.846928
2011-05-02,37.900002,38.619999,33.279999,38.200001,1602300,36.66272
2011-04-01,36.299999,38.869999,34.91,37.84,1337200,36.317207
2011-03-01,35.970001,36.73,32.639999,35.990002,1163400,34.54166
2011-02-01,33.939999,37.700001,33.209999,35.73,1595500,34.292122
2011-01-03,31.25,34.09,30.33,33.470001,1311600,32.12307
2010-12-01,26.73,31.58,26.60,31.15,1148500,29.896433
2010-11-01,27.299999,29.40,25.540001,26.309999,1349300,25.251209
2010-10-01,25.879999,29.280001,25.639999,27.040001,1865200,25.951832
2010-09-01,27.76,28.299999,23.049999,25.629999,2790500,24.598574
2010-08-02,32.139999,32.509998,25.34,27.200001,2446900,26.105394
2010-07-01,30.00,32.880001,27.16,31.48,1693100,30.213152
2010-06-01,32.689999,34.549999,28.52,29.91,2387200,28.706335
2010-05-03,34.869999,37.360001,29.530001,33.330002,2585500,31.988705
2010-04-01,25.700001,35.759998,25.59,34.779999,2211400,33.380352
2010-03-01,23.65,25.76,23.34,25.440001,1216600,24.416222
2010-02-01,25.98,26.42,22.879999,23.530001,2066900,22.583084
2010-01-04,25.790001,26.83,22.559999,25.73,839800,24.69455
2009-12-01,23.85,26.799999,23.85,25.639999,905300,24.608171
2009-11-02,22.389999,25.049999,20.85,23.629999,1289600,22.67906
2009-10-01,22.450001,25.559999,20.09,22.110001,1889200,21.22023
2009-09-01,22.15,26.26,20.360001,22.450001,1800800,21.546547
2009-08-03,18.65,24.41,18.540001,22.34,2134400,21.440973
2009-07-01,12.89,18.68,11.74,18.379999,1176900,17.640335
2009-06-01,14.26,15.00,10.50,12.78,2193300,12.265696
2009-05-01,18.030001,20.73,12.66,13.93,1750900,13.369416
2009-04-01,8.89,19.75,8.61,17.90,1397800,17.179651
2009-03-02,8.16,10.64,5.08,9.04,1313300,8.676204
2009-02-02,13.08,15.03,7.41,8.35,1291700,8.013972
2009-01-02,17.24,18.66,13.04,13.34,818700,12.80316
2008-12-01,15.35,18.58,14.00,17.299999,863200,16.603796
2008-11-03,15.72,17.60,10.05,15.95,1187200,15.308125
2008-10-01,22.41,24.26,13.32,15.73,1543000,15.096978
2008-09-02,24.610001,26.42,22.00,23.91,1210500,22.947792
2008-08-01,26.90,27.049999,23.42,24.190001,740900,23.216524
2008-07-01,22.65,27.34,19.68,26.01,1715100,24.963282
2008-06-02,25.780001,26.00,22.389999,22.75,1329300,21.834475
2008-05-01,20.59,28.58,19.799999,25.83,1849800,24.790525
2008-04-01,17.90,21.440001,17.90,21.110001,644500,20.260473
2008-03-03,18.370001,19.379999,16.200001,18.129999,911400,17.400394
2008-02-01,21.790001,22.90,18.42,18.860001,760600,18.101019
2008-01-02,20.27,21.780001,16.860001,21.74,966500,20.865118
2007-12-03,22.17,23.83,19.73,20.219999,750100,19.406288
2007-11-01,22.10,24.15,21.48,22.01,688700,21.124254
2007-10-01,25.18,27.15,22.799999,23.110001,635000,22.179987
2007-09-04,24.93,27.879999,23.83,25.049999,552100,24.041914
2007-08-01,30.00,31.280001,22.74,24.959999,1168400,23.955536
2007-07-02,33.720001,33.73,29.92,30.43,928000,29.205408
2007-06-01,36.119999,36.259998,33.450001,33.630001,758800,32.27663
2007-05-01,30.65,36.93,30.00,35.900002,843900,34.45528
2007-04-02,32.080002,33.650002,30.629999,30.65,431600,29.416553
2007-03-01,31.10,32.59,26.60,31.860001,481100,30.577862
2007-02-01,28.950001,33.75,28.620001,32.009998,942400,30.721823
2007-01-03,30.00,30.440001,26.799999,28.639999,300100,27.487442
2006-12-01,31.40,31.85,29.049999,29.90,207900,28.696737
2006-11-01,28.299999,31.10,25.60,31.00,446100,29.75247
