Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,37.950001,38.110001,37.299999,37.630001,3564400,37.630001
2013-03-01,39.16,42.07,34.240002,37.919998,2124900,37.919998
2013-02-01,39.299999,41.869999,36.049999,39.419998,1998500,39.419998
2013-01-02,35.18,40.23,33.75,38.970001,2189400,38.970001
2012-12-03,36.040001,36.540001,33.139999,34.59,1469100,34.59
2012-11-01,38.619999,39.189999,31.58,35.860001,3268400,35.860001
2012-10-01,27.889999,39.830002,27.41,38.57,3511100,38.57
2012-09-04,25.77,28.66,25.549999,27.41,1698100,27.41
2012-08-01,19.76,25.93,19.10,25.73,1916500,25.73
2012-07-02,18.799999,20.00,18.549999,19.76,1115600,19.76
2012-06-01,15.97,18.780001,15.69,18.780001,1716200,18.780001
2012-05-01,14.87,16.190001,14.40,16.030001,1502500,16.030001
2012-04-02,15.57,15.90,14.43,14.91,921900,14.91
2012-03-01,16.17,16.90,15.45,15.63,1169500,15.63
2012-02-01,14.51,16.33,14.51,16.110001,1376600,16.110001
2012-01-03,14.74,14.80,13.62,14.39,874600,14.39
2011-12-01,13.12,14.85,13.09,14.48,909400,14.48
2011-11-01,13.96,14.66,12.71,13.17,1979800,13.17
2011-10-03,13.16,14.95,11.72,14.50,983800,14.50
2011-09-01,13.82,13.82,12.20,13.21,860600,13.21
2011-08-01,13.05,13.93,10.81,13.80,1206500,13.80
2011-07-01,12.79,13.68,12.43,12.89,849500,12.89
2011-06-01,12.00,12.83,11.45,12.76,842200,12.76
2011-05-02,12.00,12.13,11.53,12.02,609700,12.02
2011-04-01,11.06,12.00,10.50,11.97,603800,11.97
2011-03-01,10.57,11.03,10.23,11.02,609400,11.02
2011-02-01,10.12,11.07,10.03,10.58,586500,10.58
2011-01-03,9.63,10.62,9.38,10.10,659700,10.10
2010-12-01,8.94,9.85,8.78,9.54,591200,9.54
2010-11-01,8.68,9.44,8.30,8.80,892000,8.80
2010-10-01,10.22,10.28,8.32,8.63,743800,8.63
2010-09-01,9.22,10.38,9.05,10.14,483800,10.14
2010-08-02,10.72,10.81,8.61,9.09,791700,9.09
2010-07-01,10.17,10.59,9.63,10.56,904600,10.56
2010-06-01,12.12,12.18,10.02,10.19,1074400,10.19
2010-05-03,11.55,12.77,10.90,12.16,789100,12.16
2010-04-01,11.18,12.76,11.13,11.55,855400,11.55
2010-03-01,10.87,11.50,10.19,11.09,579000,11.09
2010-02-01,9.16,10.99,8.99,10.81,627600,10.81
2010-01-04,9.57,10.50,9.00,9.16,689200,9.16
2009-12-01,9.35,9.70,9.03,9.57,477200,9.57
2009-11-02,10.98,11.21,8.93,9.32,925000,9.32
2009-10-01,11.19,12.10,10.73,10.93,766400,10.93
2009-09-01,10.14,11.50,9.43,11.32,918300,11.32
2009-08-03,14.289993,14.440008,8.85,10.35,2206600,10.35
2009-07-01,13.050007,14.559993,12.250003,14.250004,723200,8.58434
2009-06-01,12.690002,13.420004,11.889999,12.969995,701200,7.81325
2009-05-01,11.130001,13.329999,10.849992,12.479997,914600,7.51807
2009-04-01,11.300001,11.960001,10.52,11.120008,738300,6.6988
2009-03-02,9.100003,12.019994,8.259995,11.429996,1190900,6.88554
2009-02-02,8.950006,9.540004,8.340006,9.13,874200,5.50
2009-01-02,9.080001,9.250001,8.290007,8.900007,768100,5.36145
2008-12-01,8.08,9.209995,7.200001,9.179998,856200,5.53012
2008-11-03,6.64,8.159995,6.320002,8.150002,786500,4.90964
2008-10-01,7.959999,8.100003,5.270002,6.699992,447900,4.03614
2008-09-02,7.129998,8.070007,6.440003,8.050004,499400,4.8494
2008-08-01,6.129998,7.089993,5.569997,6.970008,507000,4.1988
2008-07-01,4.589999,6.159994,4.440002,6.039993,544800,3.63855
2008-06-02,6.909999,7.170005,4.229996,4.649992,722300,2.8012
2008-05-01,4.869991,7.079999,4.789996,7.039994,531300,4.24096
2008-04-01,4.599993,5.249999,3.660001,4.939994,734900,2.9759
2008-03-03,6.000003,6.25,3.939993,4.440002,711900,2.6747
2008-02-01,6.229997,6.549995,5.009996,6.000003,653900,3.61446
2008-01-02,5.519998,6.560004,3.909997,6.229997,1524000,3.75301
2007-12-03,5.569997,6.170004,5.209993,5.540001,487700,3.33735
2007-11-01,7.370002,7.479993,4.909997,5.599993,1022700,3.37349
2007-10-01,9.490004,11.570001,7.179998,7.460007,655200,4.49398
2007-09-04,9.320004,9.989996,8.969993,9.429995,636300,5.68072
2007-08-01,10.760003,10.950006,7.499996,9.379995,1102000,5.6506
2007-07-02,12.899993,13.100006,10.320004,10.839999,660800,6.53012
2007-06-01,14.230001,14.409995,13.250003,13.329999,466800,8.03012
2007-05-01,14.289993,14.440008,13.590006,14.159999,511100,8.53012
2007-04-02,12.860003,14.609992,12.590004,14.259996,895800,8.59036
2007-03-01,11.379997,12.930005,10.309995,12.869996,1181200,7.75301
2007-02-01,14.100007,14.389992,11.599997,11.629993,1191400,7.00602
2007-01-03,15.899994,16.949995,13.409994,14.080003,1065100,8.48193
2006-12-01,15.050008,16.139997,14.779993,15.860005,532500,9.55422
2006-11-01,15.699998,15.899994,14.779993,15.050008,478100,9.06627
2006-10-02,14.919997,16.180004,14.749996,15.649998,772000,9.42771
2006-09-01,14.769999,16.139997,14.119992,14.899993,1078700,8.9759
2006-08-01,13.919996,16.350002,13.679994,14.749996,1278100,8.88554
2006-07-03,12.710006,13.999991,12.300002,13.880007,637300,8.36145
2006-06-01,11.370004,13.259996,11.370004,12.710006,1166200,7.65663
2006-05-01,11.100004,11.690002,10.599997,11.340007,548100,6.83133
2006-04-03,10.229999,11.549997,9.760003,11.050006,518000,6.65663
2006-03-01,9.839998,10.599997,9.510007,10.220006,396500,6.15663
2006-02-01,10.100004,10.150003,9.749993,9.819995,390700,5.91566
2006-01-03,8.74,10.139994,8.510007,10.070007,379800,6.06627
2005-12-01,8.499997,8.810001,8.399998,8.699994,230000,5.24096
2005-11-01,7.769995,8.699994,7.680007,8.440004,353200,5.08434
2005-10-03,6.970008,7.769995,6.819993,7.769995,295800,4.68072
2005-09-01,6.869993,7.420001,6.780005,6.939995,274200,4.18072
2005-08-01,7.599995,7.69,6.669996,6.869993,217200,4.13855
2005-07-01,6.789998,7.950005,6.719995,7.649993,335600,4.60843
2005-06-01,7.209994,7.370002,6.379994,6.760001,469900,4.07229
2005-05-02,7.25,7.749992,7.129998,7.229997,545900,4.35542
2005-04-01,8.100003,8.30,7.039994,7.279996,307100,4.38554
2005-03-01,8.000005,8.399998,7.630007,8.070007,362700,4.86145
2005-02-01,8.590001,8.710004,7.909999,8.009998,322500,4.8253
2005-01-03,9.649995,9.649995,8.410007,8.599995,476700,5.18072
2004-12-01,9.35,9.749993,8.900007,9.560006,218400,5.75904
2004-11-01,7.549995,9.420001,7.549995,9.329997,471500,5.62048
2004-10-01,9.159996,9.579992,7.460007,7.499996,500200,4.51807
2004-09-01,9.089994,9.699994,8.799992,9.150003,460700,5.51205
2004-08-02,8.799992,9.059998,7.599995,9.059998,713700,5.45783
2004-07-01,12.050006,12.200004,8.460007,8.860001,1353400,5.33735
2004-06-01,12.479997,12.599998,11.610006,12.039996,361700,7.25301
2004-05-03,10.900008,12.440006,10.749994,12.440006,541500,7.49398
2004-04-01,9.749993,11.699995,9.200002,10.869995,458100,6.54819
2004-03-01,9.980003,10.499998,8.359992,9.669998,290900,5.8253
2004-02-02,10.120007,10.590003,9.050004,9.96,429700,6.00
2004-01-02,8.959999,11.499998,8.710004,10.209995,621900,6.1506
2003-12-01,7.000004,9.050004,6.830003,8.860001,378600,5.33735
2003-11-03,4.789996,7.240007,4.789996,6.950005,359100,4.18675
2003-10-01,4.619996,4.989993,4.549994,4.859999,121100,2.92771
2003-09-02,5.020006,5.090008,4.249999,4.549994,215500,2.74096
2003-08-01,4.410006,5.129997,4.050002,4.970006,104000,2.99398
2003-07-01,4.549994,4.769993,4.050002,4.460005,97100,2.68675
2003-06-02,4.209992,4.950004,4.199999,4.54,190600,2.73494
2003-05-01,3.499994,4.349997,3.410005,4.260008,182600,2.56627
2003-04-01,2.959996,3.800005,2.959996,3.580006,67500,2.15663
2003-03-03,2.970006,3.499994,2.600008,3.020005,77500,1.81928
2003-02-03,2.889993,3.349996,2.750006,3.050001,64600,1.83735
2003-01-02,2.780002,3.149999,2.660001,2.889993,127500,1.74096
2002-12-02,2.950002,3.090007,2.499993,2.800005,407100,1.68675
2002-11-01,2.700006,3.050001,2.05,2.929999,264300,1.76506
2002-10-01,2.909997,3.199999,2.190005,2.739996,143100,1.6506
2002-09-03,3.449995,4.15,2.619995,2.900003,178500,1.74699
2002-08-01,4.15,5.20,3.240005,3.449995,174100,2.07831
2002-07-01,5.449996,5.950005,4.000002,4.249999,101200,2.56024
2002-06-03,6.499995,6.549995,5.20,5.499995,133700,3.31325
2002-05-01,7.399998,7.599995,6.499995,6.599994,73300,3.9759
2002-04-01,6.560004,7.499996,6.549995,7.499996,94900,4.51807
2002-03-01,6.800007,7.30,6.449996,6.590001,138800,3.96988
2002-02-01,8.399998,8.399998,6.460006,6.800007,117100,4.09639
2002-01-02,8.379995,8.540003,7.490003,8.30,67800,5.00
2001-12-03,7.30,8.479994,7.100003,8.479994,110500,5.10843
2001-11-01,8.599995,8.799992,6.750008,7.410007,88500,4.46386
2001-10-01,7.100003,9.250001,6.750008,8.599995,100500,5.18072
2001-09-04,9.35,9.379995,6.399997,7.209994,156100,4.34337
2001-08-01,10.849992,10.889997,8.499997,9.399999,166300,5.66265
2001-07-02,10.250002,11.370004,10.13,10.799994,177300,6.50602
2001-06-01,9.250001,10.699994,9.150003,10.250002,169800,6.1747
2001-05-01,9.549996,10.100004,7.399998,9.30,255800,5.60241
2001-04-02,8.590001,9.649995,8.000005,9.640001,241100,5.80723
2001-03-01,7.499996,9.900007,7.410007,8.490004,338500,5.11446
2001-02-01,7.499996,7.680007,6.599994,7.499996,107700,4.51807
2001-01-02,6.374997,8.125003,6.1875,7.499996,174700,4.51807
2000-12-01,5.624993,6.437497,4.499994,6.374997,223700,3.84036
2000-11-01,5.750008,6.062503,5.249999,5.687492,96800,3.4262
2000-10-02,5.750008,6.062503,5.374997,5.875006,47900,3.53916
2000-09-01,5.687492,6.000003,5.437496,5.875006,70100,3.53916
2000-08-01,6.374997,6.499995,5.687492,5.687492,85900,3.4262
2000-07-03,5.687492,6.875006,5.562494,6.374997,161600,3.84036
2000-06-01,5.750008,5.937504,5.437496,5.562494,150200,3.3509
2000-05-01,7.125002,7.374998,5.499995,5.750008,187200,3.46386
2000-04-03,7.875007,8.749992,6.624993,7.25,108800,4.36747
2000-03-01,5.937504,9.250001,5.687492,8.000005,370500,4.81928
2000-02-01,5.812506,6.062503,5.249999,5.937504,163300,3.57681
2000-01-03,6.25,6.750008,5.499995,5.812506,150700,3.50151
