Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,30.48,30.85,30.43,30.82,3396600,25.023418
2013-03-01,27.889999,30.530001,27.65,30.360001,1308600,24.649935
2013-02-01,25.709999,28.26,25.51,27.99,1349900,22.725679
2013-01-02,24.59,26.49,24.129999,25.559999,1094500,20.75271
2012-12-03,22.950001,23.93,22.610001,23.85,1108700,19.034502
2012-11-01,23.040001,23.379999,21.299999,22.92,1208000,18.292276
2012-10-01,22.85,24.35,22.309999,22.940001,1076900,18.308237
2012-09-04,24.110001,25.00,22.549999,22.73,1227100,17.792843
2012-08-01,24.34,24.51,23.33,24.02,788800,18.802645
2012-07-02,22.610001,24.43,22.540001,24.24,914800,18.974859
2012-06-01,20.75,23.09,20.51,22.50,1171500,17.303934
2012-05-01,21.35,21.860001,20.139999,21.110001,781800,16.234936
2012-04-02,21.219999,21.969999,20.200001,21.41,857500,16.465654
2012-03-01,20.389999,21.629999,20.139999,21.26,755000,16.037584
2012-02-01,21.02,22.23,20.370001,20.370001,876400,15.36621
2012-01-03,19.77,21.02,19.030001,20.84,765500,15.720757
2011-12-01,17.82,19.870001,17.42,19.35,765400,14.310693
2011-11-01,17.700001,18.299999,16.02,17.93,990800,13.260503
2011-10-03,15.76,18.26,14.45,17.76,1234400,13.134775
2011-09-01,18.190001,18.790001,15.84,15.93,1139100,11.515416
2011-08-01,18.459999,18.68,14.40,18.15,1505700,13.1202
2011-07-01,21.049999,22.049999,19.290001,19.639999,744600,14.197286
2011-06-01,21.290001,21.389999,19.07,21.01,877200,14.892577
2011-05-02,23.049999,23.110001,20.42,21.290001,849900,15.091051
2011-04-01,22.49,24.459999,22.34,22.959999,986200,16.274801
2011-03-01,23.940001,24.00,22.00,22.34,874100,15.587388
2011-02-01,22.48,23.969999,21.59,23.969999,797500,16.724695
2011-01-03,22.59,22.93,21.379999,22.280001,970100,15.545525
2010-12-01,21.41,22.84,20.35,22.440001,811400,15.398077
2010-11-01,23.139999,23.90,20.700001,21.110001,714300,14.485446
2010-10-01,22.709999,23.950001,22.18,23.00,828500,15.782343
2010-09-01,21.73,22.68,21.16,22.450001,1043200,15.163217
2010-08-02,22.32,22.74,20.389999,21.450001,977600,14.487795
2010-07-01,19.950001,23.370001,19.370001,21.98,1144600,14.845768
2010-06-01,19.700001,20.91,18.07,19.93,1196800,13.251096
2010-05-03,20.09,20.59,17.50,19.860001,1160700,13.204555
2010-04-01,19.530001,21.27,19.200001,20.02,1039900,13.310936
2010-03-01,19.01,21.10,18.780001,19.49,1180900,12.756169
2010-02-01,18.809999,19.34,17.00,18.969999,1166700,12.41583
2010-01-04,19.75,20.67,18.57,18.709999,1388400,12.24566
2009-12-01,18.16,20.08,18.059999,19.450001,776400,12.525492
2009-11-02,15.44,19.030001,15.14,18.09,1557300,11.649673
2009-10-01,15.98,16.33,14.39,15.16,1358500,9.762799
2009-09-01,16.84,17.790001,15.60,16.02,936800,10.105652
2009-08-03,16.98,19.01,16.370001,16.91,906400,10.667077
2009-07-01,15.50,17.50,14.51,16.709999,842100,10.540914
2009-06-01,16.15,17.40,14.72,15.52,1076200,9.61573
2009-05-01,15.59,16.780001,13.87,15.97,1532500,9.894537
2009-04-01,13.74,16.49,13.56,15.72,2421500,9.739645
2009-03-02,13.08,14.92,11.15,14.08,2227700,8.556218
2009-02-02,14.43,16.42,12.95,13.13,1546900,7.978916
2009-01-02,15.70,16.15,12.69,14.63,1611800,8.890445
2008-12-01,12.86,16.700001,11.13,15.97,2197300,9.513455
2008-11-03,15.01,15.43,9.30,13.24,736900,7.887172
2008-10-01,19.41,19.75,11.53,15.07,982800,8.977318
2008-09-02,18.01,19.66,16.43,19.66,790400,11.45497
2008-08-01,17.40,19.129999,16.860001,17.84,452200,10.394541
2008-07-01,16.57,18.77,15.63,17.27,546600,10.062428
2008-06-02,17.84,19.23,16.60,16.65,495800,9.535068
2008-05-01,17.34,18.50,17.200001,17.82,453800,10.205099
2008-04-01,17.68,18.450001,15.97,17.50,550400,10.021843
2008-03-03,16.93,19.200001,15.49,17.360001,562700,9.778244
2008-02-01,16.60,17.299999,15.81,16.959999,512300,9.552938
2008-01-02,16.030001,17.690001,14.72,16.35,535200,9.209349
2007-12-03,16.08,16.959999,15.30,16.049999,337200,8.889523
2007-11-01,15.80,16.700001,14.65,16.17,404400,8.955987
2007-10-01,15.57,17.360001,14.93,16.73,412700,9.26615
2007-09-04,14.77,16.41,13.67,15.53,468700,8.456514
2007-08-01,13.02,16.01,12.35,14.89,553000,8.108017
2007-07-02,15.87,16.790001,12.00,12.93,445000,7.040743
2007-06-01,17.25,17.60,15.53,15.83,469900,8.450116
2007-05-01,17.280001,18.02,15.98,17.209999,394700,9.186766
2007-04-02,17.15,18.07,16.629999,16.799999,376600,8.967906
2007-03-01,17.719999,18.219999,16.459999,17.15,426100,9.015325
2007-02-01,18.139999,19.17,17.33,18.040001,351800,9.483176
2007-01-03,17.85,18.41,16.690001,18.129999,322700,9.530486
2006-12-01,17.65,18.00,16.950001,17.719999,275700,9.180485
2006-11-01,16.75,17.77,15.85,17.719999,213200,9.180485
2006-10-02,14.96,17.00,14.81,16.879999,236000,8.615771
2006-09-01,14.79,15.50,14.53,15.01,269500,7.661299
2006-08-01,13.32,14.98,13.20,14.77,231200,7.5388
2006-07-03,13.22,13.91,12.56,13.36,254900,6.819118
2006-06-01,12.37,13.24,11.60,13.22,385400,6.627434
2006-05-01,12.85,12.85,11.15,12.33,283400,6.18126
2006-04-03,13.92,13.92,11.69,12.79,251000,6.411867
2006-03-01,12.97,14.03,12.80,14.02,370900,6.89732
2006-02-01,13.06,13.15,12.51,12.94,277600,6.366
