Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.63,7.65,7.36,7.55,3411200,7.55
2013-03-01,6.96,7.83,6.85,7.63,1969700,7.63
2013-02-01,6.54,7.35,6.08,6.94,2655400,6.94
2013-01-02,4.86,7.22,4.83,6.42,3446200,6.42
2012-12-03,4.40,4.84,4.32,4.81,1422300,4.81
2012-11-01,4.30,4.74,4.20,4.38,1459500,4.38
2012-10-01,4.18,4.78,4.10,4.28,1224000,4.28
2012-09-04,4.50,4.59,4.05,4.18,965400,4.18
2012-08-01,4.24,4.56,4.00,4.44,811800,4.44
2012-07-02,4.58,4.80,4.22,4.24,1116500,4.24
2012-06-01,4.55,4.85,4.38,4.60,1362200,4.60
2012-05-01,4.74,4.85,4.38,4.60,1097500,4.60
2012-04-02,4.74,5.05,4.22,4.75,1876900,4.75
2012-03-01,4.98,5.08,4.63,4.73,1757800,4.73
2012-02-01,5.29,5.35,4.68,4.94,2055800,4.94
2012-01-03,4.92,5.53,4.72,5.26,1477000,5.26
2011-12-01,5.06,5.18,4.66,4.90,1220000,4.90
2011-11-01,5.25,5.85,4.70,4.96,1912900,4.96
2011-10-03,4.28,5.57,4.00,5.38,2189800,5.38
2011-09-01,4.14,4.74,3.82,4.33,1501500,4.33
2011-08-01,4.40,4.49,3.49,4.18,1089000,4.18
2011-07-01,3.68,4.48,3.60,4.35,1309700,4.35
2011-06-01,3.77,3.78,3.15,3.69,1064100,3.69
2011-05-02,3.98,4.12,3.64,3.76,739200,3.76
2011-04-01,3.79,4.05,3.62,3.98,1073800,3.98
2011-03-01,4.85,5.00,3.44,3.73,3224900,3.73
2011-02-01,3.93,5.03,3.80,4.83,1019100,4.83
2011-01-03,3.69,4.20,3.43,3.90,842500,3.90
2010-12-01,3.06,3.99,2.99,3.67,461300,3.67
2010-11-01,2.77,3.22,2.64,3.02,281300,3.02
2010-10-01,2.27,2.85,2.18,2.76,275600,2.76
2010-09-01,2.10,2.45,2.02,2.24,307100,2.24
2010-08-02,2.49,2.69,2.05,2.07,257200,2.07
2010-07-01,2.22,2.55,2.10,2.49,247700,2.49
2010-06-01,1.98,2.55,1.85,2.26,434700,2.26
2010-05-03,2.15,2.23,1.80,1.98,222000,1.98
2010-04-01,2.01,2.47,1.98,2.16,213500,2.16
2010-03-01,2.01,2.07,1.95,1.98,192700,1.98
2010-02-01,1.71,2.20,1.60,2.01,306000,2.01
2010-01-04,1.80,1.97,1.64,1.70,164100,1.70
2009-12-01,1.79,1.95,1.50,1.83,396300,1.83
