Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.02,14.06,13.32,13.67,11539200,13.67
2013-03-01,12.22,14.70,11.54,14.16,7577800,14.16
2013-02-01,11.60,13.50,10.92,12.20,4885700,12.20
2013-01-02,9.40,11.90,9.11,11.52,4878100,11.52
2012-12-03,8.79,9.50,7.53,9.18,6595900,9.18
2012-11-01,8.31,9.11,7.08,8.72,3707200,8.72
2012-10-01,10.95,11.15,7.38,8.42,4782400,8.42
2012-09-04,11.94,12.57,9.41,10.95,7374500,10.95
2012-08-01,9.91,12.43,9.11,11.99,5132100,11.99
2012-07-02,11.22,11.24,9.00,9.87,2627800,9.87
2012-06-01,10.46,12.11,9.70,10.87,3390200,10.87
2012-05-01,8.53,12.30,8.50,10.74,3938200,10.74
2012-04-02,10.21,10.60,7.83,8.60,2801800,8.60
2012-03-01,13.13,15.25,9.62,10.21,4779700,10.21
2012-02-01,13.39,14.75,12.20,13.06,2055600,13.06
2012-01-03,10.23,14.00,9.93,13.19,1863100,13.19
2011-12-01,10.16,11.65,9.15,10.01,1655200,10.01
2011-11-01,15.22,15.89,9.53,10.18,723800,10.18
2011-10-03,13.56,15.97,11.70,15.80,570300,15.80
2011-09-01,13.31,14.65,9.33,14.65,1060500,14.65
2011-08-01,16.43,16.700001,11.00,13.20,1254500,13.20
2011-07-01,19.459999,21.200001,14.68,15.09,1321900,15.09
2011-06-15,20.00,26.00,12.16,18.91,6929000,18.91
