Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,3.99,3.99,3.90,3.92,17400,3.92
2013-03-01,3.84,4.05,3.58,4.02,19500,4.02
2013-02-01,4.30,4.34,3.49,3.85,35000,3.85
2013-01-02,3.48,4.40,3.45,4.31,85800,4.31
2012-12-03,3.14,3.63,3.00,3.44,54100,3.44
2012-11-01,3.47,3.53,3.03,3.15,81400,3.15
2012-10-01,3.68,3.85,3.21,3.44,31500,3.44
2012-09-04,3.91,4.05,3.48,3.69,48900,3.69
2012-08-01,4.06,4.51,3.93,3.97,30800,3.97
2012-07-02,4.13,4.45,3.90,4.05,37500,4.05
2012-06-01,4.67,4.69,3.68,4.15,81300,4.15
2012-05-01,6.75,6.89,4.54,4.70,103000,4.70
2012-04-02,8.53,8.61,6.51,6.76,91100,6.76
2012-03-01,10.42,10.57,8.07,8.60,84100,8.60
2012-02-01,11.18,11.18,10.36,10.44,105300,10.44
2012-01-03,10.77,11.69,10.25,11.19,112300,11.19
2011-12-01,11.74,12.05,10.03,10.75,43000,10.678397
2011-11-01,12.34,13.11,10.90,11.76,64600,11.681669
2011-10-03,11.64,13.65,10.75,12.61,115200,12.526008
2011-09-01,12.58,12.58,11.10,11.55,85800,11.473068
2011-08-01,14.52,14.85,11.61,12.45,81600,12.367073
2011-07-01,15.36,16.129999,14.32,14.39,77400,14.294152
2011-06-01,14.41,15.64,14.25,15.34,64200,15.237824
2011-05-02,15.63,15.80,14.40,14.61,82700,14.512686
2011-04-01,14.17,15.64,13.57,15.45,84400,15.347091
2011-03-01,15.58,15.60,13.31,14.17,94500,14.075617
2011-02-01,17.50,17.50,15.15,15.60,51200,15.496093
2011-01-03,17.209999,19.18,15.99,17.57,76700,17.452971
2010-12-01,17.780001,18.35,15.47,17.00,110900,16.795206
2010-11-01,14.46,17.83,13.41,17.379999,221700,17.170628
2010-10-01,11.50,15.71,10.99,14.41,197600,14.236407
2010-09-01,10.40,11.99,10.28,11.49,30400,11.351583
2010-08-02,10.60,10.83,9.99,10.36,28900,10.235196
2010-07-01,10.03,11.31,9.76,10.55,54400,10.422908
2010-06-01,10.35,11.31,9.90,10.00,58500,9.879533
2010-05-03,10.85,11.27,9.80,10.25,80500,10.126521
2010-04-01,11.41,11.88,10.81,10.94,31300,10.808208
2010-03-01,10.70,11.95,10.58,11.38,42500,11.242908
2010-02-01,11.40,11.40,10.28,10.63,69600,10.501944
2010-01-04,11.85,12.00,10.24,11.33,47900,11.193511
2009-12-01,10.62,11.85,9.33,11.67,77200,11.529415
2009-11-02,10.99,11.60,10.55,10.56,25900,10.359721
2009-10-09,13.10,13.83,10.79,10.95,108200,10.742324
