Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.19,5.22,5.19,5.21,256600,4.169686
2013-03-01,5.23,5.28,5.13,5.21,182600,4.169686
2013-02-01,5.20,5.24,5.14,5.24,216400,4.172564
2013-01-02,5.08,5.23,5.07,5.19,206800,4.112006
2012-12-03,5.03,5.10,4.97,5.06,214900,3.98904
2012-11-01,5.16,5.18,4.90,5.03,215500,3.944892
2012-10-01,5.18,5.24,5.13,5.14,140700,4.010448
2012-09-04,5.24,5.27,5.17,5.18,183800,4.021528
2012-08-01,5.20,5.27,5.14,5.26,172100,4.063413
2012-07-02,5.10,5.24,5.03,5.18,163500,3.981794
2012-06-01,4.96,5.13,4.89,5.12,211800,3.915956
2012-05-01,5.10,5.13,4.56,4.97,154600,3.779272
2012-04-02,5.15,5.17,5.05,5.08,137400,3.840378
2012-03-01,5.18,5.25,5.04,5.15,196800,3.871201
2012-02-01,5.06,5.21,5.04,5.17,182500,3.864266
2012-01-03,5.10,5.12,4.97,5.07,165100,3.7681
2011-12-01,4.96,5.08,4.82,5.08,234700,3.753764
2011-11-01,5.04,5.10,4.76,4.95,215600,3.636657
2011-10-03,5.03,5.24,4.74,5.09,167900,3.71729
2011-09-01,5.46,5.60,5.02,5.05,173100,3.666814
2011-08-01,5.67,5.69,4.83,5.44,230900,3.928462
2011-07-01,5.85,5.85,5.47,5.57,209400,3.999821
2011-06-01,6.19,6.32,5.54,5.83,266600,4.165523
2011-05-02,5.95,6.17,5.89,6.17,230600,4.385904
2011-04-01,5.94,5.94,5.84,5.94,187200,4.195547
2011-03-01,5.95,5.98,5.82,5.91,234200,4.146857
2011-02-01,5.91,5.98,5.77,5.92,242500,4.126647
2011-01-03,5.82,5.95,5.74,5.93,232300,4.103643
2010-12-01,5.89,5.98,5.53,5.79,305800,3.977107
2010-11-01,6.38,6.49,5.41,5.89,339800,4.015956
2010-10-01,6.28,6.45,6.27,6.37,191600,4.31195
2010-09-01,6.33,6.41,6.25,6.28,174100,4.215658
2010-08-02,6.49,6.68,6.21,6.26,198600,4.131935
2010-07-01,6.22,6.39,6.13,6.36,157700,4.163552
2010-06-01,5.91,6.33,5.86,6.18,194000,4.011408
2010-05-03,6.06,6.11,4.68,5.91,333300,3.803931
2010-04-01,6.24,6.69,5.97,6.00,249900,3.827168
2010-03-01,6.18,6.44,6.12,6.23,237500,3.93974
2010-02-01,6.17,6.51,6.09,6.11,377100,3.831605
2010-01-04,6.20,6.27,6.01,6.13,294100,3.812263
2009-12-01,6.22,6.51,5.87,6.03,270500,3.717383
2009-11-02,6.22,6.32,5.94,6.18,207600,3.516698
2009-10-01,5.97,6.44,5.88,6.22,218900,3.509056
2009-09-01,5.64,6.07,5.51,5.99,172700,3.35013
2009-08-03,5.55,5.79,5.40,5.61,184200,3.113871
2009-07-01,5.15,5.60,5.05,5.54,173800,3.050129
2009-06-01,4.84,5.19,4.78,5.06,182900,2.762513
2009-05-01,4.33,4.85,4.32,4.76,215500,2.575571
2009-04-01,4.28,4.39,4.12,4.30,212300,2.304107
2009-03-02,4.31,4.40,3.49,4.28,220100,2.26922
2009-02-02,4.54,4.87,3.83,4.25,272000,2.22894
