Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.25,25.450001,25.120001,25.280001,27800,19.822529
2013-03-01,26.049999,26.629999,25.059999,25.27,3600,19.814688
2013-02-01,25.799999,26.41,25.799999,26.049999,1500,19.622301
2013-01-02,25.190001,26.32,25.190001,26.32,1600,19.825682
2012-12-03,25.549999,25.799999,25.00,25.24,2000,19.012165
2012-11-01,25.50,25.889999,25.26,25.389999,700,19.125153
2012-10-01,25.50,25.85,25.25,25.290001,1500,19.049829
2012-09-04,26.00,27.299999,25.08,25.40,1900,19.132687
2012-08-01,26.15,26.469999,25.65,26.049999,600,18.852842
2012-07-02,25.709999,26.450001,25.450001,26.15,1700,18.925215
2012-06-01,25.459999,25.860001,25.049999,25.709999,2900,18.606777
2012-05-01,25.34,25.75,25.129999,25.309999,2800,18.317291
2012-04-02,25.50,25.60,25.110001,25.35,3100,18.346241
2012-03-01,26.02,26.02,24.93,25.10,4100,18.165312
2012-02-01,25.129999,26.049999,25.10,25.790001,3000,17.913065
2012-01-03,25.299999,25.379999,24.690001,25.27,2400,17.551888
2011-12-01,24.33,24.809999,23.370001,24.75,4200,17.190708
2011-11-01,24.77,25.299999,24.02,24.25,2400,16.84342
2011-10-03,24.07,24.68,23.700001,24.65,3800,17.12125
2011-09-01,25.049999,26.049999,24.07,24.10,3000,16.739235
2011-08-01,25.50,26.10,23.51,25.049999,3900,16.681881
2011-07-01,25.34,25.74,25.23,25.309999,8100,16.855026
2011-06-01,25.84,25.84,25.200001,25.299999,1100,16.848368
2011-05-02,25.25,26.15,25.00,25.34,4400,16.875006
2011-04-01,24.99,25.41,24.99,25.40,1000,16.914961
2011-03-01,25.629999,26.040001,24.809999,24.959999,2400,16.621946
2011-02-01,25.26,25.700001,25.190001,25.50,1200,16.298773
2011-01-03,25.209999,25.629999,25.110001,25.26,2100,16.145372
2010-12-01,25.50,25.60,25.030001,25.459999,4300,16.273205
2010-11-01,25.129999,25.60,25.040001,25.26,2400,16.145372
