Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,34.290001,34.540001,33.509998,33.689999,299400,33.689999
2013-03-01,38.23,40.029999,33.68,34.299999,185400,34.299999
2013-02-01,39.049999,42.560001,37.950001,38.57,277200,38.57
2013-01-02,32.970001,40.59,31.790001,38.73,232600,38.73
2012-12-03,28.709999,32.59,27.98,32.130001,107000,32.130001
2012-11-01,26.49,28.870001,26.34,28.370001,93000,28.370001
2012-10-01,25.690001,29.440001,25.10,26.85,107900,26.85
2012-09-04,24.51,27.91,24.23,25.450001,88100,25.450001
2012-08-01,21.440001,25.110001,19.76,24.610001,90200,24.610001
2012-07-02,23.450001,23.450001,19.35,21.309999,105700,21.309999
2012-06-01,21.459999,23.77,20.370001,23.43,137700,23.43
2012-05-01,24.309999,25.08,20.27,21.91,126300,21.91
2012-04-02,26.559999,27.459999,23.76,24.25,165400,24.25
2012-03-01,25.66,27.690001,23.540001,26.620001,155200,26.620001
2012-02-01,22.450001,25.27,22.360001,24.58,142100,24.58
2012-01-03,20.790001,25.41,20.48,22.25,223300,22.25
2011-12-01,20.530001,22.049999,19.040001,20.200001,178000,20.200001
2011-11-01,19.620001,21.379999,18.26,20.700001,251300,20.700001
2011-10-03,17.90,22.40,16.719999,20.76,236900,20.76
2011-09-01,23.809999,24.08,17.90,17.93,182700,17.93
2011-08-01,30.02,30.27,20.58,23.83,187500,23.83
2011-07-01,28.73,32.720001,26.08,29.48,153900,29.48
2011-06-01,33.169998,33.169998,27.50,28.809999,105700,28.809999
2011-05-02,36.029999,36.029999,31.50,33.220001,99300,33.220001
2011-04-01,41.869999,42.25,34.509998,35.849998,189400,35.849998
2011-03-01,41.41,43.330002,38.869999,41.43,162100,41.43
2011-02-01,42.240002,44.560001,39.00,41.150002,137500,41.150002
2011-01-03,35.470001,44.209999,35.110001,41.799999,148500,41.799999
2010-12-01,30.52,35.919998,30.52,35.009998,91800,35.009998
2010-11-01,31.16,34.830002,29.299999,29.969999,84400,29.969999
2010-10-01,29.370001,31.110001,28.129999,30.969999,120100,30.969999
2010-09-01,28.110001,31.27,28.00,29.129999,122500,29.129999
2010-08-02,31.85,32.50,26.549999,27.620001,198000,27.620001
2010-07-01,32.220001,32.790001,26.84,31.190001,208600,31.190001
2010-06-01,32.779999,35.48,30.969999,32.220001,205500,32.220001
2010-05-03,39.619999,39.939999,30.790001,33.110001,176900,33.110001
2010-04-01,40.639999,44.389999,37.880001,39.360001,270400,39.360001
2010-03-01,43.389999,47.060001,40.00,40.299999,175800,40.299999
2010-02-01,48.77,49.040001,42.810001,43.290001,149200,43.290001
2010-01-04,51.439999,52.279999,46.00,48.580002,161100,48.580002
