Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,31.09,31.129999,30.620001,30.90,83400,20.340311
2013-03-01,31.57,31.76,29.469999,30.91,70700,20.346893
2013-02-01,29.98,31.629999,29.92,31.450001,54500,20.577562
2013-01-02,29.629999,30.629999,29.42,30.00,57200,19.506275
2012-12-03,29.35,29.559999,28.48,29.120001,53600,18.814892
2012-11-01,29.969999,30.24,27.540001,29.40,78900,18.871519
2012-10-01,30.110001,30.60,28.440001,29.85,83300,19.038124
2012-09-04,28.92,30.610001,28.780001,30.23,53500,19.160769
2012-08-01,28.83,29.10,28.299999,28.959999,53400,18.239704
2012-07-02,26.93,28.82,26.879999,28.610001,56300,17.901209
2012-06-01,26.190001,26.950001,25.709999,26.879999,54700,16.703512
2012-05-01,26.780001,26.99,25.790001,26.290001,43500,16.219172
2012-04-02,26.26,26.82,25.719999,26.74,41500,16.38014
2012-03-01,27.02,27.139999,25.879999,26.35,59900,16.025553
2012-02-01,27.09,27.33,26.549999,26.91,50000,16.250578
2012-01-03,25.559999,27.049999,25.40,26.940001,53700,16.154718
2011-12-01,25.83,27.48,25.09,25.18,59000,14.990076
2011-11-01,26.370001,27.09,25.049999,25.75,38900,14.779659
2011-10-03,24.90,26.48,23.57,26.450001,52200,15.074919
2011-09-01,26.719999,26.780001,24.610001,24.610001,62300,13.921474
2011-08-01,26.969999,27.799999,25.049999,26.559999,69000,14.915181
2011-07-01,27.889999,28.190001,26.040001,26.60,71300,14.826126
2011-06-01,29.110001,29.25,26.83,28.00,79100,15.501261
2011-05-02,28.870001,29.540001,28.530001,29.219999,55600,16.069654
2011-04-01,27.51,29.41,27.01,28.75,61200,15.707371
2011-03-01,27.129999,28.00,26.809999,27.40,72200,14.868335
2011-02-01,26.389999,27.01,26.27,27.01,61600,14.563018
2011-01-03,25.690001,26.50,25.49,26.299999,61400,14.086692
2010-12-01,26.90,26.950001,24.48,25.59,111900,13.613631
2010-11-01,27.00,27.469999,24.41,26.90,82900,13.581843
2010-10-01,26.549999,27.219999,26.15,26.92,63300,13.503849
2010-09-01,25.76,26.549999,25.459999,26.469999,59300,13.189463
2010-08-02,25.610001,26.73,25.26,25.610001,79600,12.673868
2010-07-01,24.91,25.77,24.58,25.41,72400,12.490616
2010-06-01,23.40,25.15,23.360001,24.780001,54800,12.095678
2010-05-03,24.99,25.08,20.27,23.49,88300,11.381014
2010-04-01,24.00,24.969999,23.93,24.959999,50100,12.005868
2010-03-01,23.940001,24.469999,22.84,23.969999,61600,11.445658
2010-02-01,22.08,23.950001,21.91,23.83,74100,11.295306
2010-01-04,22.33,22.82,22.08,22.16,63000,10.42205
2009-12-01,21.540001,22.66,21.41,22.370001,57300,10.43878
2009-11-02,20.950001,22.139999,20.950001,21.34,98000,9.877875
2009-10-01,21.940001,22.25,20.23,21.08,65500,9.678843
2009-09-01,20.110001,22.16,19.75,21.91,55700,9.979656
2009-08-03,19.469999,20.42,19.23,20.15,46800,9.099676
2009-07-01,18.700001,19.49,18.33,19.24,34800,8.611208
2009-06-01,18.15,18.99,18.08,18.48,35800,8.193598
2009-05-01,16.27,18.77,16.27,18.15,47900,7.971398
2009-04-01,14.75,16.74,14.58,16.27,36000,7.070871
2009-03-02,15.49,15.61,12.25,14.75,58400,6.334391
2009-02-02,17.700001,18.32,15.31,15.86,50600,6.714713
2009-01-02,17.33,19.139999,16.620001,17.68,46900,7.41103
2008-12-01,15.16,17.49,13.57,17.040001,89200,7.068346
2008-11-03,18.34,19.959999,12.96,15.28,40300,6.26075
2008-10-01,18.549999,19.58,13.36,18.10,57100,7.347657
2008-09-02,20.780001,22.10,16.719999,18.700001,64100,7.514489
2008-08-01,20.719999,22.16,19.50,20.67,39000,8.236214
2008-07-01,22.120001,22.700001,18.82,20.67,52300,8.165957
2008-06-02,23.530001,24.57,21.58,22.15,28600,8.68082
2008-05-01,23.889999,24.99,23.23,23.530001,29000,9.152786
2008-04-01,23.00,24.07,22.059999,23.719999,52000,9.157958
2008-03-03,24.299999,24.440001,20.360001,22.60,43100,8.6588
2008-02-01,24.85,24.99,23.82,24.110001,34300,9.165399
2008-01-02,25.00,25.049999,23.65,24.75,26400,9.340776
2007-12-03,25.030001,25.290001,25.00,25.00,28000,9.367788
2007-11-29,25.02,25.15,25.02,25.030001,53300,9.379029
