Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.91,12.06,11.78,11.86,63400,11.86
2013-03-01,10.17,12.43,10.03,12.25,57700,12.25
2013-02-01,9.78,11.20,9.62,10.38,163300,10.38
2013-01-02,9.03,9.80,8.82,9.71,73800,9.71
2012-12-03,8.18,9.55,7.91,8.60,52600,8.60
2012-11-01,8.80,9.44,7.25,8.37,69700,8.37
2012-10-01,10.55,11.42,8.66,8.81,151000,8.81
2012-09-04,10.43,12.07,10.03,10.65,67800,10.65
2012-08-01,10.25,11.00,9.33,10.60,38900,10.60
2012-07-02,10.75,11.22,9.07,9.98,30400,9.98
2012-06-01,10.44,10.84,8.70,10.75,52700,10.75
2012-05-01,13.35,13.99,10.44,11.01,31700,11.01
2012-04-02,12.31,13.86,10.89,13.18,60700,13.18
2012-03-01,10.90,12.46,9.54,12.24,76800,12.24
2012-02-01,11.25,12.50,10.44,10.60,74500,10.60
2012-01-03,12.34,13.60,10.75,10.99,69600,10.99
2011-12-14,10.80,12.28,10.54,11.78,51500,11.78
