Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,66.410004,66.550003,65.610001,65.790001,2518600,60.5895
2013-03-01,62.02,66.93,61.52,66.50,2657100,61.243378
2013-02-01,62.220001,64.889999,60.369999,62.389999,3397100,57.45826
2013-01-02,59.509998,62.389999,58.959999,61.799999,3599100,56.914898
2012-12-03,56.380001,59.880001,54.34,58.310001,4009300,53.349445
2012-11-01,58.16,59.75,53.360001,56.139999,4089800,51.364048
2012-10-01,63.470001,65.730003,57.52,58.200001,4162000,53.248802
2012-09-04,62.029999,67.040001,61.799999,63.099998,3165500,57.376396
2012-08-01,59.200001,63.049999,57.799999,62.16,2085200,56.521664
2012-07-02,61.66,62.310001,56.759998,59.099998,3593100,53.739223
2012-06-01,60.200001,61.110001,55.599998,61.110001,3516600,55.198608
2012-05-01,66.459999,67.889999,60.59,61.419998,3063300,55.478619
2012-04-02,64.239998,67.470001,61.25,66.32,3937800,59.904625
2012-03-01,59.700001,64.790001,56.880001,64.489998,3762400,57.884186
2012-02-01,59.619999,62.299999,58.259998,59.52,3151900,53.423271
2012-01-03,58.93,62.869999,57.790001,58.919998,4583000,52.884727
2011-12-01,53.919998,58.700001,52.619999,57.669998,3339600,51.468903
2011-11-01,51.330002,54.700001,48.799999,54.209999,4216900,48.380947
2011-10-03,47.779999,56.779999,44.740002,53.709999,7278600,47.934711
2011-09-01,50.049999,52.23,44.200001,48.189999,5884200,42.714027
2011-08-01,54.900002,55.07,42.700001,50.139999,8014500,44.442444
2011-07-01,59.779999,61.209999,53.759998,54.290001,5109000,48.120869
2011-06-01,62.240002,62.32,55.560001,59.610001,5154700,52.517555
2011-05-02,62.790001,64.25,60.34,62.419998,3275600,54.993217
2011-04-01,63.689999,64.370003,60.380001,62.34,3569600,54.922741
2011-03-01,61.84,63.75,59.669998,62.990002,3950700,55.184826
2011-02-01,60.32,65.190002,60.130001,61.700001,3474500,54.054672
2011-01-03,61.290001,64.339996,59.759998,60.00,4684000,52.565319
