Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,23.290001,23.360001,23.02,23.15,660200,20.996881
2013-03-01,22.299999,23.370001,21.91,23.290001,572500,21.123861
2013-02-01,21.43,22.629999,20.950001,22.459999,534900,20.371056
2013-01-02,20.85,21.41,20.059999,21.360001,568000,19.373365
2012-12-03,21.23,21.549999,20.049999,20.51,639200,18.469612
2012-11-01,22.219999,22.540001,19.76,21.129999,428300,19.027931
2012-10-01,21.040001,22.209999,20.780001,22.16,441900,19.955465
2012-09-04,20.59,21.59,20.17,21.030001,489300,18.813177
2012-08-01,20.889999,21.190001,20.09,20.57,367000,18.401667
2012-07-02,19.58,21.280001,19.57,20.799999,459900,18.60742
2012-06-01,18.42,19.700001,18.07,19.540001,508600,17.359488
2012-05-01,18.809999,19.049999,17.77,18.65,459900,16.568804
2012-04-02,18.32,19.049999,17.780001,18.76,481100,16.666529
2012-03-01,17.969999,19.01,17.860001,18.299999,532700,16.25786
2012-02-01,17.879999,18.48,17.459999,17.98,481300,15.848575
2012-01-03,18.450001,18.530001,17.290001,17.809999,681300,15.698727
2011-12-01,18.59,19.09,16.99,18.23,879700,15.955135
2011-11-01,17.370001,19.17,17.10,19.110001,1006400,16.725325
2011-10-03,16.309999,18.700001,15.81,17.98,1056000,15.736332
2011-09-01,14.95,16.93,13.39,16.43,1279000,14.283167
2011-08-01,15.16,15.20,12.75,14.96,1054800,13.005244
2011-07-01,16.790001,17.139999,14.98,15.02,1000800,13.057405
2011-06-01,16.450001,17.10,15.66,16.74,955900,14.440648
2011-05-02,15.31,16.57,15.00,16.530001,725100,14.259494
2011-04-01,14.81,15.42,14.46,15.33,605600,13.22432
2011-03-01,13.48,15.16,13.40,14.92,951200,12.762807
2011-02-01,13.11,13.81,12.96,13.31,555100,11.385588
2011-01-03,13.14,13.73,12.97,13.03,484700,11.14607
2010-12-01,12.19,13.42,11.91,13.02,543100,11.032841
2010-11-01,11.91,13.38,11.80,11.98,876700,10.151568
2010-10-01,11.50,12.33,11.37,11.79,744300,9.990567
2010-09-01,11.61,11.98,11.01,11.39,676400,9.549807
2010-08-02,12.04,12.24,11.18,11.44,707000,9.591728
2010-07-01,11.22,12.90,10.81,11.83,677100,9.918719
2010-06-01,12.28,12.40,11.14,11.18,951800,9.276978
2010-05-03,13.68,13.96,11.73,12.34,701000,10.239527
2010-04-01,12.55,13.85,12.46,13.59,464800,11.276756
2010-03-01,12.22,13.39,12.21,12.53,688700,10.397185
2010-02-01,11.68,12.74,11.14,12.22,922100,10.039914
2010-01-04,12.75,12.95,11.38,11.63,886200,9.555172
2009-12-01,11.23,13.08,11.22,12.65,864300,10.284485
2009-11-02,10.65,11.78,10.40,11.14,1079300,9.056851
2009-10-01,11.65,12.58,9.75,10.72,1265200,8.613765
2009-09-01,11.68,12.92,11.46,11.68,1049700,9.385147
2009-08-03,12.33,12.91,11.57,11.68,678600,9.385147
2009-07-01,10.88,12.56,10.36,12.20,599600,9.802979
2009-06-01,9.39,11.09,9.31,10.71,649700,8.518201
2009-05-01,8.90,10.39,8.57,9.25,787100,7.35699
2009-04-01,8.25,8.88,7.68,8.52,929200,6.776384
2009-03-02,7.50,9.21,5.94,8.26,1365600,6.473434
2009-02-02,10.05,10.08,6.78,7.69,1237500,6.026721
2009-01-02,10.05,11.50,9.96,10.04,848300,7.868436
2008-12-01,10.17,10.95,9.14,10.08,1026400,7.802014
2008-11-03,9.90,10.53,7.56,10.45,852400,8.088398
2008-10-01,10.25,10.57,7.64,9.75,1128100,7.546591
2008-09-02,11.71,12.49,9.88,10.24,1516300,7.81614
2008-08-01,11.72,13.06,10.30,11.79,1244300,8.999248
2008-07-01,11.81,12.95,10.72,11.71,1216500,8.84531
2008-06-02,14.78,15.35,11.48,11.96,1260200,9.034151
2008-05-01,14.50,15.52,11.32,14.85,1555500,11.217153
2008-04-01,12.47,14.73,12.46,14.49,1439500,10.945222
2008-03-03,11.86,13.99,8.95,12.47,3412000,9.25674
2008-02-01,19.42,20.27,11.77,11.84,2639200,8.789078
2008-01-02,21.41,21.690001,18.23,19.309999,1908000,14.334212
2007-12-03,22.02,23.950001,21.41,21.450001,626400,15.729624
2007-11-01,24.299999,25.059999,21.709999,22.18,1018100,16.264944
2007-10-01,23.209999,25.209999,23.049999,25.01,810900,18.340227
2007-09-04,23.139999,23.620001,21.190001,23.280001,891800,16.909876
2007-08-01,25.870001,27.48,21.049999,23.120001,1510100,16.793657
2007-07-02,28.030001,28.709999,25.110001,25.83,768800,18.762117
2007-06-01,29.700001,30.059999,26.50,27.790001,916400,20.002293
2007-05-01,32.59,33.369999,28.50,29.51,733000,21.24029
2007-04-02,32.360001,34.279999,32.310001,32.549999,487300,23.428377
2007-03-01,30.360001,32.700001,29.32,32.299999,588700,23.08972
2007-02-01,30.620001,31.65,29.459999,30.559999,597200,21.845879
2007-01-03,31.299999,31.57,29.620001,30.48,564700,21.788691
2006-12-01,30.75,32.07,30.23,31.10,749400,22.071381
2006-11-01,28.27,30.889999,27.76,30.700001,584100,21.787504
2006-10-02,27.65,29.08,27.469999,28.16,382600,19.98489
2006-09-01,28.780001,28.799999,27.440001,27.57,386500,19.413094
2006-08-01,26.66,28.940001,26.370001,28.67,632000,20.187647
2006-07-03,25.50,27.84,25.41,26.809999,488600,18.877949
2006-06-01,25.25,26.60,24.959999,24.959999,763100,17.431767
2006-05-01,25.27,25.99,24.10,25.27,420400,17.648268
2006-04-03,24.309999,25.66,23.92,25.309999,549800,17.676203
2006-03-01,24.75,24.889999,22.49,24.40,668200,16.891249
2006-02-01,24.50,25.18,23.610001,24.75,489300,17.133541
2006-01-03,24.52,25.50,24.309999,24.57,552900,17.008934
2005-12-01,26.07,26.190001,24.15,24.49,349300,16.8165
2005-11-01,25.280001,26.26,24.030001,25.969999,402400,17.832769
2005-10-03,28.719999,29.219999,24.07,25.35,585100,17.407036
2005-09-01,29.58,29.98,27.620001,28.67,313500,19.529026
2005-08-01,29.60,30.450001,27.90,29.58,428300,20.148886
2005-07-01,28.940001,29.85,28.24,29.389999,598700,20.019464
2005-06-01,29.209999,30.379999,28.809999,28.809999,697200,19.488344
2005-05-02,27.82,29.389999,26.60,29.139999,503000,19.711571
2005-04-01,26.780001,28.26,26.120001,27.65,517800,18.703671
2005-03-01,26.440001,28.200001,26.049999,26.68,684900,17.928659
2005-02-01,25.450001,26.76,24.780001,26.24,289100,17.632984
2005-01-03,25.59,25.65,23.83,25.23,323300,16.954275
2004-12-01,25.190001,25.950001,25.00,25.290001,385300,16.868229
2004-11-01,23.309999,26.110001,23.190001,25.440001,242200,16.968277
2004-10-01,22.65,23.93,22.57,23.280001,214900,15.527575
2004-09-01,21.370001,22.75,21.25,22.51,194200,14.913604
2004-08-02,20.690001,21.370001,20.379999,21.370001,219500,14.158318
2004-07-01,20.700001,21.559999,20.09,20.84,272700,13.807175
2004-06-01,30.00,30.719999,19.92,20.77,308500,13.654946
2004-05-03,29.200005,30.379995,28.050001,30.049995,256200,13.170633
2004-04-01,30.100004,31.050001,28.650002,29.179993,266200,12.789319
