Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,52.639999,52.830002,51.52,51.610001,2452000,48.226143
2013-03-01,52.619999,54.200001,50.549999,52.75,1506100,49.291397
2013-02-01,51.009998,53.84,50.099998,53.27,1296500,49.777302
2013-01-02,50.060001,53.360001,49.389999,50.68,1853900,47.357117
2012-12-03,48.740002,49.50,47.310001,49.150002,1539800,45.728016
2012-11-01,42.00,48.990002,41.950001,48.490002,2758900,45.113968
2012-10-01,44.099998,46.57,40.299999,42.240002,3814500,39.299114
2012-09-04,42.470001,45.00,41.689999,44.509998,4714400,41.188587
2012-08-01,44.310001,45.209999,41.610001,42.50,886400,39.328579
2012-07-02,38.48,45.029999,37.43,43.830002,855200,40.559334
2012-06-01,39.950001,40.689999,36.310001,38.279999,1059500,35.235512
2012-05-01,43.549999,44.119999,39.459999,40.759998,880600,37.518272
2012-04-02,47.380001,47.59,43.240002,43.34,1363200,39.893082
2012-03-01,38.540001,48.77,37.00,47.610001,1167000,43.60461
2012-02-01,37.560001,39.700001,36.990002,38.50,527400,35.261028
2012-01-03,34.110001,37.799999,33.880001,36.82,571400,33.722363
2011-12-01,37.860001,38.18,32.50,33.290001,977400,30.307316
2011-11-01,34.529999,38.619999,34.009998,38.029999,682700,34.622623
2011-10-03,31.709999,38.23,30.379999,35.950001,798200,32.728989
2011-09-01,34.509998,34.630001,30.799999,32.009998,1010800,28.982925
2011-08-01,37.349998,37.52,29.73,34.32,899100,31.074478
2011-07-01,40.310001,42.43,36.549999,36.810001,741200,33.32901
2011-06-01,40.389999,40.650002,36.91,40.360001,716100,36.355415
2011-05-02,40.389999,40.57,38.09,40.48,528200,36.463509
2011-04-01,38.02,40.34,36.740002,40.16,857200,36.175259
2011-03-01,37.310001,38.209999,34.849998,37.790001,499100,33.868797
2011-02-01,36.360001,38.970001,36.25,37.080002,410800,33.232471
2011-01-03,36.830002,37.34,35.060001,36.169998,544700,32.416893
2010-12-01,33.380001,37.220001,33.380001,36.509998,512700,32.542999
2010-11-01,32.900002,34.049999,32.07,32.900002,608500,29.325247
2010-10-01,33.889999,35.73,31.889999,32.73,707200,29.173716
2010-09-01,30.540001,34.139999,30.450001,33.630001,685200,29.80443
2010-08-02,34.860001,35.68,29.41,30.10,639200,26.675983
2010-07-01,32.259998,35.43,31.129999,34.200001,657300,30.309589
2010-06-01,34.07,34.970001,31.25,32.200001,663300,28.378885
2010-05-03,36.41,37.110001,30.620001,34.360001,1127000,30.28256
2010-04-01,35.900002,39.32,35.369999,36.16,650500,31.868958
2010-03-01,33.740002,36.32,33.41,35.619999,635100,31.230513
2010-02-01,30.719999,32.799999,29.549999,32.560001,555400,28.547602
2010-01-04,32.389999,34.200001,30.379999,30.540001,537500,26.776527
2009-12-01,30.280001,33.16,30.09,32.299999,545500,28.147181
