Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.709999,21.709999,21.530001,21.57,337800,13.39441
2013-03-01,21.83,22.17,20.51,21.52,232800,13.363362
2013-02-01,20.389999,21.809999,20.299999,21.67,322700,13.377208
2013-01-02,19.549999,20.610001,19.530001,20.299999,224100,12.455397
2012-12-03,20.40,20.610001,19.40,19.41,202000,11.832449
2012-11-01,20.370001,20.700001,18.76,20.370001,235500,12.101453
2012-10-01,20.139999,20.85,19.059999,20.290001,266800,11.977711
2012-09-04,20.23,20.25,19.60,20.10,151300,11.790923
2012-08-01,19.860001,20.25,19.32,20.09,157100,11.708835
2012-07-02,18.709999,19.75,18.709999,19.700001,130700,11.407092
2012-06-01,17.940001,18.85,17.67,18.73,136600,10.772671
2012-05-01,18.27,18.51,17.110001,18.02,162600,10.289374
2012-04-02,18.610001,19.23,17.639999,18.17,151500,10.301282
2012-03-01,19.15,19.450001,18.200001,18.610001,234300,10.48436
2012-02-01,18.969999,19.18,18.629999,19.15,163000,10.723759
2012-01-03,17.52,19.00,17.059999,18.90,214200,10.519465
2011-12-01,16.809999,18.84,16.59,17.370001,225100,9.604897
2011-11-01,17.66,18.49,16.08,16.780001,218200,9.216361
2011-10-03,16.41,17.99,14.70,17.90,317300,9.770269
2011-09-01,19.040001,19.059999,15.83,16.540001,246800,8.968452
2011-08-01,19.950001,20.209999,17.26,19.040001,337900,10.260701
2011-07-01,20.719999,20.889999,19.030001,19.34,281800,10.35545
2011-06-01,20.280001,20.700001,18.860001,20.68,335900,11.011545
2011-05-02,20.25,20.48,19.90,20.299999,184200,10.747329
2011-04-01,20.52,20.52,18.02,20.129999,492900,10.596201
2011-03-01,20.52,21.49,19.91,20.77,372300,10.870255
2011-02-01,19.360001,20.58,18.68,20.40,593200,10.617124
2011-01-03,17.190001,19.299999,16.66,19.00,543100,9.82871
2010-12-01,17.49,17.49,15.55,16.969999,585400,8.720302
2010-11-01,17.709999,18.33,15.60,17.299999,346700,8.474977
2010-10-01,17.549999,17.780001,17.23,17.629999,195600,8.582364
2010-09-01,17.33,17.60,17.129999,17.559999,210700,8.492048
2010-08-02,17.26,17.75,17.02,17.209999,209000,8.268374
2010-07-01,17.370001,17.76,16.24,17.16,284700,8.190392
2010-06-01,15.59,17.25,15.48,17.25,320900,8.179886
2010-05-03,16.41,16.50,14.10,15.50,442100,7.297312
2010-04-01,16.57,16.59,15.50,16.360001,210500,7.645525
2010-03-01,16.440001,17.24,16.049999,16.530001,239400,7.671
2010-02-01,15.27,16.450001,15.21,16.32,521100,7.52111
2010-01-04,14.55,15.06,13.76,14.77,264200,6.75817
2009-12-01,14.08,15.25,14.00,14.40,212500,6.537709
2009-11-02,13.75,14.13,13.65,14.00,176900,6.064419
2009-10-01,14.00,14.08,13.49,13.61,220800,5.847088
2009-09-01,13.02,14.06,12.75,14.00,207200,5.964878
2009-08-03,12.41,13.40,11.82,12.94,217700,5.465292
2009-07-01,11.35,12.33,11.10,12.26,155800,5.132283
2009-06-01,10.83,11.83,10.50,11.26,214200,4.665436
2009-05-01,9.29,10.70,9.08,10.63,203400,4.359973
2009-04-01,7.60,9.60,7.58,9.06,217600,3.672061
2009-03-02,8.07,8.50,5.30,8.00,469000,3.197942
2009-02-02,11.28,11.60,6.80,7.49,611900,2.953421
2009-01-02,10.66,12.24,10.14,10.85,503600,4.234234
2008-12-01,7.99,10.85,7.11,10.46,488900,4.040821
2008-11-03,9.99,10.75,6.66,7.55,405700,2.876865
2008-10-01,10.28,11.06,6.51,9.71,370200,3.65698
2008-09-02,13.59,14.10,8.44,10.15,421500,3.773354
2008-08-01,13.28,13.70,13.20,13.48,114800,4.969999
2008-07-01,13.85,14.06,12.52,13.28,173700,4.854828
2008-06-02,14.76,15.00,13.78,13.85,156800,5.021225
2008-05-01,14.95,15.11,14.49,14.66,164500,5.274056
2008-04-01,14.55,14.80,14.00,14.80,186600,5.282938
2008-03-03,14.63,14.68,13.36,14.31,195100,5.06735
2008-02-01,15.53,15.80,13.90,14.50,264300,5.092812
2008-01-02,13.55,15.50,13.55,15.49,394900,5.400215
2007-12-03,13.75,14.35,13.10,13.45,349100,4.65115
2007-11-01,14.58,14.78,13.55,13.89,220000,4.763395
2007-10-01,14.83,15.00,14.27,14.59,141300,4.963631
2007-09-04,14.55,15.10,14.29,14.90,156700,5.030129
2007-08-01,14.62,15.06,12.35,14.55,266000,4.874388
2007-07-02,15.17,15.25,13.70,14.71,356000,4.890082
2007-06-01,16.40,16.459999,14.38,15.11,286300,4.984519
2007-05-01,16.860001,17.00,16.280001,16.370001,141700,5.362025
2007-04-02,16.700001,16.870001,16.60,16.84,119200,5.478484
2007-03-01,16.85,16.969999,16.08,16.67,158700,5.386055
2007-02-01,16.959999,17.040001,16.50,16.709999,148000,5.361508
2007-01-03,17.059999,17.10,16.68,16.959999,148900,5.404759
2006-12-01,16.99,17.16,16.860001,17.049999,140700,5.396662
2006-11-01,16.74,17.00,16.50,16.940001,159000,5.325702
2006-10-02,17.969999,18.00,16.00,16.709999,419800,5.217389
2006-09-01,17.950001,18.200001,17.68,17.959999,190400,5.568429
2006-08-01,17.450001,17.860001,17.290001,17.860001,165700,5.494829
2006-07-03,17.10,17.49,16.950001,17.299999,160000,5.281204
2006-06-01,17.15,17.26,16.84,17.00,138900,5.147766
2006-05-01,17.07,17.25,16.700001,17.059999,138500,5.124365
2006-04-03,17.360001,17.690001,16.73,17.049999,174300,5.080367
2006-03-01,17.43,17.700001,17.190001,17.360001,166800,5.132225
2006-02-01,17.33,17.49,16.959999,17.41,171100,5.106465
2006-01-03,16.870001,17.41,16.84,17.27,149100,5.025274
2005-12-01,17.35,17.389999,16.85,16.889999,144800,4.8757
2005-11-01,16.85,17.450001,16.66,17.200001,142200,4.925696
2005-10-03,17.280001,17.389999,15.98,16.870001,180100,4.792111
2005-09-01,17.60,17.90,16.68,17.15,203600,4.831679
2005-08-01,17.620001,17.799999,16.77,17.60,224000,4.958458
2005-07-01,17.23,17.83,17.110001,17.610001,252600,4.921608
2005-06-01,16.940001,17.24,16.610001,17.110001,195900,4.744418
2005-05-02,16.00,16.790001,15.88,16.780001,205200,4.615406
2005-04-01,15.65,16.07,15.27,15.97,234700,4.354984
2005-03-01,17.00,17.190001,15.09,15.52,387400,4.195491
2005-02-01,17.35,17.74,16.52,16.92,321100,4.537081
2005-01-03,17.67,17.709999,17.01,17.27,234500,4.594602
2004-12-01,17.040001,18.09,17.01,17.719999,218300,4.677357
2004-11-01,17.40,17.950001,16.84,17.01,313200,4.295894
2004-10-01,17.200001,17.74,17.15,17.360001,192700,4.348988
2004-09-01,17.209999,17.50,16.91,17.129999,212400,4.257643
2004-08-02,16.60,17.17,16.540001,17.16,209800,4.231038
2004-07-01,16.18,16.700001,16.120001,16.57,226300,4.052204
2004-06-01,15.92,16.200001,15.24,16.129999,236400,3.91157
2004-05-03,15.88,16.32,14.52,15.89,302200,3.819926
2004-04-01,17.27,17.27,15.53,15.87,388100,3.780549
2004-03-01,16.950001,17.27,16.809999,17.17,239700,4.056025
2004-02-02,16.98,17.57,16.110001,16.799999,350900,3.936872
2004-01-02,17.219999,17.950001,16.75,16.879999,296500,3.924265
2003-12-01,16.93,17.50,16.620001,17.219999,228100,3.97241
