Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.11,24.135,23.88,24.03,1000000,22.061
2013-03-01,23.09,24.27,22.08,24.11,630600,22.1345
2013-02-01,26.68,26.98,21.87,23.20,702000,21.2991
2013-01-01,25.98,27.49,25.47,26.73,404000,24.0293
2012-12-03,24.09,26.15,22.81,25.98,956700,23.3551
2012-11-01,25.38,25.74,22.27,24.09,824400,21.6561
2012-10-01,25.06,26.28,24.84,25.28,278900,22.2402
2012-09-03,24.36,25.79,23.83,25.38,371100,22.3282
2012-08-01,25.99,25.99,24.00,24.36,291900,21.4308
2012-07-02,24.41,26.00,23.61,25.79,337000,22.2147
2012-06-01,22.88,24.54,22.50,24.50,301200,21.1035
2012-05-01,25.50,25.50,22.58,23.21,371300,19.9924
2012-04-02,21.85,26.33,21.84,25.49,620600,21.5023
2012-03-01,24.99,25.20,21.34,21.83,505300,18.4149
2012-02-01,26.33,26.9365,24.03,24.94,406700,21.0384
2012-01-02,25.53,27.50,25.53,26.05,322000,21.5547
2011-12-01,24.37,25.80,24.22,25.53,395200,21.1244
2011-11-01,25.90,26.33,23.0925,24.34,626500,20.1398
2011-10-03,23.08,26.94,21.13,26.37,222500,21.4019
2011-09-01,25.94,26.75,0.68,23.39,226900,18.9834
2011-08-01,28.00,28.05,20.85,25.88,367900,21.0042
2011-07-01,27.00,28.00,0.544,27.72,195600,22.0864
2011-06-01,25.77,27.28,24.14,26.94,316100,21.4649
2011-05-02,28.31,28.31,0.439,25.87,330300,20.6124
2011-04-01,27.83,28.30,26.56,28.16,302700,22.0442
2011-03-01,28.64,29.10,24.411,27.70,524500,21.6841
2011-02-01,28.28,28.76,0.534,28.58,180000,22.373
2011-01-03,28.97,29.10,0.563,28.02,153300,21.5733
2010-12-01,27.52,29.11,26.96,28.32,136500,21.8043
2010-11-01,27.50,28.65,0.411,27.22,168100,20.9573
2010-10-01,24.98,27.10,24.78,26.95,142700,20.4013
2010-09-01,22.72,25.00,0.197,24.65,132000,18.6602
2010-08-02,24.16,24.60,22.15,22.41,135800,16.9645
2010-07-01,20.80,24.15,0.149,24.15,139100,17.9266
2010-06-01,20.66,21.7089,19.37,20.91,155400,15.5216
2010-05-03,23.96,23.96,0.156,0.156,242000,0.1158
2010-04-01,23.60,24.75,22.86,23.67,109000,17.5703
2010-03-01,23.58,24.93,21.78,23.45,177700,17.071
2010-02-01,21.00,23.85,0.15,23.09,154100,16.8089
2010-01-04,21.87,24.20,20.75,20.92,182700,15.2292
2009-12-01,19.50,22.30,18.821,21.56,150700,15.3668
2009-11-02,18.53,19.47,18.32,19.41,141400,13.8344
2009-10-01,17.20,19.75,16.57,18.36,193700,12.7644
2009-09-01,14.81,17.98,14.03,17.14,203800,11.9162
2009-08-03,15.79,16.19,14.45,14.84,173000,10.3172
2009-07-01,13.78,17.13,12.35,15.33,217300,10.6578
2009-06-01,15.59,15.99,12.56,13.57,153300,9.162
2009-05-01,12.55,15.25,12.12,15.25,215700,10.2963
2009-04-01,11.21,14.07,10.96,12.55,309700,8.4734
2009-03-02,11.11,12.456,9.10,11.40,226300,7.4387
2009-02-02,14.13,16.15,0.082,11.65,203100,7.6018
2009-01-02,11.30,16.51,0.069,14.00,203900,9.1353
2008-12-01,13.00,13.00,10.17,11.37,232800,7.2046
