Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,47.33,47.33,46.65,46.95,1994000,46.95
2013-03-01,45.13,47.565,44.58,47.47,2026100,47.47
2013-02-01,48.05,48.47,45.03,45.37,1306600,45.37
2013-01-01,46.94,48.04,46.50,47.75,1660400,47.75
2012-12-03,35.35,47.085,35.11,46.94,8444000,46.94
2012-11-01,35.66,37.58,32.31,35.70,2313700,35.70
2012-10-01,37.82,38.78,34.15,35.66,2461400,35.66
2012-09-03,39.32,40.90,36.06,37.47,4138000,37.47
2012-08-01,40.29,42.34,38.33,39.32,1569400,39.32
2012-07-02,35.33,42.09,34.95,39.96,2190300,39.96
2012-06-01,34.78,36.94,30.12,35.18,2696700,35.18
2012-05-01,40.98,42.75,35.00,35.79,2278300,35.79
2012-04-02,42.45,43.81,38.24,40.85,1933400,40.85
2012-03-01,44.33,47.13,41.47,42.65,2499400,42.65
2012-02-01,38.05,46.71,37.30,44.07,3087400,44.07
2012-01-02,36.72,39.37,35.65,37.72,2281400,37.72
2011-12-01,35.30,37.21,31.23,36.72,2753800,36.72
2011-11-01,29.69,36.91,29.21,35.58,3046000,35.58
2011-10-03,22.33,35.10,20.25,31.50,3635400,31.50
2011-09-01,29.55,30.19,22.27,22.71,2203400,22.71
2011-08-01,39.64,39.87,26.39,29.41,3118700,29.41
2011-07-01,38.02,41.96,36.62,39.01,2283500,39.01
2011-06-01,36.75,38.72,34.40,38.12,2030800,38.12
2011-05-02,38.22,38.54,32.61,36.85,2028400,36.85
2011-04-01,36.54,38.29,33.42,38.04,2063300,38.04
2011-03-01,39.43,39.59,32.75,36.23,3596700,36.23
2011-02-01,35.70,40.059,35.20,39.17,2844400,39.17
2011-01-03,32.40,35.52,31.90,35.40,2396200,35.40
2010-12-01,28.57,32.75,27.76,32.14,2085900,32.14
2010-11-01,28.21,30.12,27.67,28.66,2245600,28.66
2010-10-01,27.11,29.01,25.63,27.87,2684100,27.87
2010-09-01,24.22,27.34,24.06,26.67,3690300,26.67
2010-08-02,23.38,25.94,21.81,23.88,3146500,23.88
2010-07-01,20.66,23.80,19.54,22.55,3607900,22.55
2010-06-01,21.64,25.03,19.28,20.61,4673300,20.61
2010-05-03,29.40,30.56,20.45,22.10,4587900,22.10
2010-04-01,30.41,35.21,28.51,29.31,3558400,29.31
2010-03-01,33.17,34.70,28.34,29.99,2461900,29.99
2010-02-01,33.60,35.40,29.63,32.81,2624100,32.81
2010-01-04,28.09,36.60,28.09,33.35,3638600,33.35
2009-12-01,27.46,28.96,25.26,27.66,2202300,27.66
2009-11-02,27.26,29.18,25.21,27.21,2607900,27.21
2009-10-01,27.51,31.60,24.40,26.50,2607700,26.50
2009-09-01,26.10,29.99,25.385,27.66,2639000,27.66
2009-08-03,29.39,29.98,23.94,26.25,3199900,26.25
2009-07-01,27.76,32.29,23.49,28.65,3455400,28.65
2009-06-01,28.88,32.87,25.22,27.36,2579500,27.36
2009-05-01,18.75,28.28,18.64,28.28,3982500,28.28
2009-04-01,16.83,21.59,16.40,18.87,3619800,18.87
2009-03-02,18.52,20.21,15.25,17.23,3798900,17.23
2009-02-02,20.61,24.81,18.01,19.14,3534800,19.14
2009-01-02,23.74,27.20,18.95,21.12,2844900,21.12
2008-12-01,22.77,24.35,15.52,23.24,2399800,23.24
2008-11-03,27.65,29.65,15.84,23.15,2045100,23.15
2008-10-01,34.49,35.05,16.91,28.20,3894300,28.20
2008-09-02,51.85,52.65,30.64,35.16,3499300,35.16
2008-08-01,55.94,58.86,49.93,53.90,2206500,53.90
2008-07-01,73.02,76.5299,0.165,55.97,2557300,55.97
2008-06-02,71.25,79.86,69.51,72.97,1627800,72.97
2008-05-01,61.88,77.70,59.96,71.48,1846200,71.48
2008-04-01,53.49,67.00,52.30,62.28,2282300,62.28
2008-03-03,53.80,56.36,47.20,53.14,1813300,53.14
2008-02-01,48.58,785.33,46.29,54.00,1253600,54.00
2008-01-02,54.06,55.87,5.85,48.55,1656600,48.55
2007-12-03,50.70,57.08,50.27,54.00,1325600,54.00
2007-11-01,50.75,52.49,12.00,50.41,1964700,50.41
2007-10-01,43.97,51.70,43.91,50.95,1217800,50.95
2007-09-03,17.28,44.46,17.28,44.22,1280600,44.22
2007-08-01,42.93,43.65,35.31,37.53,1953200,37.53
2007-07-02,47.56,51.76,4.15,43.21,1528700,43.21
2007-06-01,53.09,54.30,46.25,47.81,1057600,47.81
2007-05-01,46.97,53.50,46.75,52.92,1143800,52.92
2007-04-02,45.24,48.24,42.38,47.89,1398100,47.89
2007-03-01,45.50,47.57,43.00,47.15,1280300,47.15
2007-02-01,48.29,49.42,45.50,45.55,1081100,45.55
2007-01-02,15.35,48.50,15.35,48.24,986800,48.24
2006-12-01,46.83,49.73,46.45,47.53,741800,47.53
2006-11-01,42.27,47.47,40.90,47.08,1186200,47.08
2006-10-02,42.72,43.75,40.20,42.29,985000,42.29
2006-09-01,44.05,44.76,39.72,42.91,1136200,42.91
2006-08-01,43.91,47.39,43.18,44.01,944000,44.01
2006-07-03,40.54,44.25,39.85,43.96,1012400,43.96
2006-06-01,35.40,40.94,31.45,40.54,1487400,40.54
2006-05-01,37.12,38.35,32.27,35.70,1637600,35.70
2006-04-03,38.89,42.54,35.69,36.87,1649300,36.87
2006-03-01,41.14,42.03,36.55,38.64,1235700,38.64
2006-02-01,44.17,45.10,38.16,40.75,1224900,40.75
2006-01-03,40.65,46.90,40.50,44.84,869400,44.84
2005-12-01,43.00,46.66,39.02,39.73,850200,39.73
2005-11-01,38.90,44.24,37.62,42.40,989300,42.40
2005-10-03,42.75,44.35,35.20,39.00,1231500,39.00
2005-09-01,37.15,44.60,35.35,42.82,1401700,42.82
2005-08-01,38.92,41.99,34.46,37.05,1130500,37.05
2005-07-01,35.83,40.69,35.83,38.55,760100,38.55
2005-06-01,30.58,36.60,30.58,35.53,854200,35.53
2005-05-02,31.80,34.25,28.02,30.55,1017300,30.55
2005-04-01,35.80,37.66,29.64,32.18,1172100,32.18
2005-03-01,34.02,39.25,32.38,34.90,1104300,34.90
2005-02-01,28.65,35.59,28.60,34.01,838100,34.01
2005-01-03,26.01,28.78,24.00,28.78,759300,28.78
