Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.24,24.370001,24.24,24.370001,4600,19.310997
2013-03-01,24.10,24.40,23.90,24.299999,5100,19.255527
2013-02-01,23.879999,24.870001,23.209999,24.049999,6500,19.057426
2013-01-02,24.01,24.389999,23.02,23.60,6200,18.700844
2012-12-03,23.51,24.290001,22.75,24.01,3300,19.02573
2012-11-01,22.73,24.200001,22.40,23.629999,5900,18.724615
2012-10-01,22.01,23.879999,22.01,22.950001,6600,18.185778
2012-09-04,23.99,24.34,21.74,21.99,8300,16.850067
2012-08-01,23.00,23.99,22.559999,23.90,6700,18.313623
2012-07-02,22.07,23.690001,21.620001,23.09,7200,17.692953
2012-06-01,20.790001,22.540001,19.50,21.66,5000,16.5972
2012-05-01,22.450001,22.790001,20.01,21.030001,3900,16.114458
2012-04-02,22.67,22.950001,21.60,22.200001,3500,17.010983
2012-03-01,22.629999,23.110001,22.26,22.389999,3900,16.565687
2012-02-01,20.639999,22.93,20.52,22.440001,5700,16.602682
2012-01-03,19.690001,21.549999,18.700001,20.50,6200,15.167334
2011-12-01,19.280001,20.01,18.209999,19.040001,3700,14.087125
2011-11-01,20.02,20.92,19.440001,19.559999,2600,14.471856
2011-10-03,22.10,22.35,19.16,20.50,5100,15.167334
2011-09-01,21.24,22.48,20.809999,22.059999,4100,15.724162
2011-08-01,22.00,22.00,17.049999,21.040001,5700,14.997116
2011-07-01,23.129999,23.129999,21.549999,21.91,4500,15.617244
2011-06-01,22.440001,23.389999,22.35,23.030001,4300,16.415569
2011-05-02,23.33,23.459999,22.00,22.459999,9300,16.009277
2011-04-01,23.450001,23.84,22.709999,23.16,5800,16.508232
2011-03-01,23.51,23.629999,23.049999,23.450001,4100,16.162451
2011-02-01,22.389999,23.74,22.360001,23.469999,4600,16.176235
2011-01-03,22.780001,22.940001,21.799999,22.25,3500,15.335375
2010-12-01,23.299999,23.299999,22.25,22.60,2500,15.576606
2010-11-01,23.65,24.190001,22.780001,22.93,5800,15.804051
2010-10-01,23.43,23.969999,22.90,23.360001,7000,16.10042
2010-09-01,21.950001,23.799999,21.60,23.639999,9900,15.755073
2010-08-02,20.360001,22.17,19.83,21.67,9000,14.44215
2010-07-01,19.10,20.790001,18.76,20.389999,6000,13.589084
2010-06-01,20.030001,20.26,18.620001,18.99,5100,12.656042
2010-05-03,19.82,20.200001,18.559999,19.73,6000,13.149221
2010-04-01,20.48,20.98,18.90,19.77,6500,13.175879
2010-03-01,20.889999,21.74,19.82,20.48,9100,13.13073
2010-02-01,18.92,21.790001,18.860001,20.59,9000,13.201257
2010-01-04,18.629999,20.43,18.50,18.84,9600,12.079246
2009-12-01,18.02,18.870001,17.85,18.41,4200,11.803552
2009-11-02,16.99,18.690001,16.799999,18.030001,6200,11.559916
2009-10-01,18.99,19.440001,15.05,16.98,7600,10.886708
2009-09-01,16.799999,18.99,15.98,18.99,4900,11.677534
2009-08-03,16.33,18.15,15.99,16.559999,2500,10.183252
2009-07-01,15.96,16.50,14.25,15.97,2400,9.820443
2009-06-01,12.42,14.99,12.35,14.95,4400,9.193213
2009-05-01,10.76,13.45,10.76,12.41,3500,7.63129
2009-04-01,10.99,11.85,9.53,10.76,3600,6.616654
2009-03-02,11.50,12.27,5.62,10.99,5700,6.298608
2009-02-02,13.39,13.79,8.30,11.44,3200,6.556512
2009-01-02,12.48,13.75,10.80,12.99,2800,7.444851
2008-12-01,12.83,13.00,10.53,12.00,2800,6.87746
2008-11-03,14.00,15.29,10.21,12.83,2400,7.353152
2008-10-01,11.96,15.76,9.01,14.40,5900,8.252953
2008-09-02,15.38,16.59,8.00,11.95,4200,6.379513
2008-08-01,15.85,16.67,14.50,15.38,4500,8.21062
2008-07-01,16.00,17.190001,13.00,15.61,5100,8.333405
2008-06-02,18.50,20.00,16.00,16.25,6100,8.67507
2008-05-01,17.42,18.459999,17.030001,18.459999,2600,9.854878
2008-04-01,18.629999,19.34,17.40,17.459999,3000,9.321028
2008-03-03,20.83,20.83,17.01,18.809999,3700,9.630454
2008-02-01,21.18,21.75,20.34,20.91,5800,10.705625
2008-01-02,19.85,22.709999,19.40,21.18,7000,10.843862
2007-12-27,18.85,20.01,18.700001,19.60,22200,10.034924
