Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,33.25,33.34,32.529999,32.619999,4650800,30.76219
2013-03-01,34.50,35.360001,31.719999,33.220001,3183900,31.32802
2013-02-01,36.709999,37.43,33.470001,34.869999,2572000,32.884045
2013-01-02,34.77,38.560001,34.75,36.200001,2121900,34.023453
2012-12-03,35.580002,36.18,32.919998,34.00,2006800,31.95573
2012-11-01,34.00,35.50,32.830002,35.25,1835400,33.01646
2012-10-01,30.290001,34.75,30.26,33.669998,2211100,31.536572
2012-09-04,27.190001,31.969999,26.58,30.209999,2712200,28.295809
2012-08-01,24.940001,27.49,24.16,27.02,1835400,25.209812
2012-07-02,26.43,26.59,22.450001,24.98,2298300,23.30648
2012-06-01,22.889999,27.00,22.120001,26.030001,2566400,24.286137
2012-05-01,27.360001,28.309999,23.10,23.549999,2168800,21.972282
2012-04-02,29.34,29.450001,25.76,27.370001,3103300,25.43058
2012-03-01,28.83,30.940001,26.48,29.43,3131600,27.344608
2012-02-01,27.66,31.959999,26.540001,28.49,4187400,26.471216
2012-01-03,25.950001,29.66,25.40,27.18,4099300,25.165401
2011-12-01,27.49,28.83,23.629999,24.77,2364800,22.934032
2011-11-01,27.85,29.40,22.950001,27.709999,3027200,25.55195
2011-10-03,21.290001,30.99,18.700001,29.719999,3743700,27.405413
2011-09-01,25.85,26.48,21.50,21.639999,3377000,19.954681
2011-08-01,31.43,31.60,22.27,25.959999,4562500,23.93824
2011-07-01,37.869999,39.43,30.540001,30.620001,2936000,28.125542
2011-06-01,38.650002,38.650002,32.68,37.639999,3273100,34.573658
2011-05-02,40.439999,42.110001,37.189999,39.00,2587900,35.822865
2011-04-01,41.889999,42.299999,36.68,39.82,3768700,36.576065
2011-03-01,43.849998,44.639999,40.259998,41.259998,3693600,37.898754
2011-02-01,45.23,48.27,41.639999,43.790001,3052100,40.222649
2011-01-03,47.490002,49.990002,44.619999,44.900002,3472600,41.242222
2010-12-01,41.34,47.830002,40.549999,47.00,2043400,43.171146
2010-11-01,39.279999,43.310001,38.619999,40.25,2629200,36.971035
2010-10-01,32.049999,40.93,30.870001,39.540001,3388400,36.318874
2010-09-01,25.280001,32.73,25.280001,31.530001,2522600,28.961409
2010-08-02,29.559999,30.110001,23.50,24.559999,2414900,22.559219
2010-07-01,22.90,29.57,21.969999,28.860001,3978500,26.508921
2010-06-01,28.74,30.889999,22.549999,22.77,4561600,20.915043
2010-05-03,36.290001,37.02,26.110001,29.00,4603200,26.637514
2010-04-01,33.380001,38.119999,32.57,35.84,4350100,32.920296
2010-03-01,28.299999,33.93,27.91,32.990002,2867800,30.302471
2010-02-01,26.67,28.469999,24.139999,28.27,3723400,25.966984
2010-01-04,26.139999,27.620001,24.73,26.09,4426400,23.964579
2009-12-01,24.889999,27.389999,24.049999,25.280001,2911800,23.220566
2009-11-02,20.66,25.00,18.950001,24.57,4510200,22.568405
2009-10-01,24.139999,24.709999,19.68,20.23,3471000,18.581963
2009-09-01,18.84,25.02,17.82,24.08,4222200,22.118322
2009-08-03,15.27,20.360001,15.16,19.08,4390200,17.525648
2009-07-01,13.48,17.049999,11.80,14.52,5128500,13.337129
2009-06-01,15.74,16.25,11.90,13.54,4979200,12.436964
2009-05-01,14.79,17.879999,13.25,15.06,5648500,13.833138
2009-04-01,7.81,14.95,7.75,14.73,7914100,13.53002
2009-03-02,5.80,9.49,5.40,8.01,4176400,7.357466
2009-02-02,6.45,7.89,5.50,6.00,6135300,5.51121
2009-01-02,13.93,15.50,6.35,6.49,5863200,5.961292
2008-12-01,9.00,14.00,8.30,13.75,3697200,12.629856
2008-11-03,14.02,15.50,5.97,9.42,4652300,8.652599
2008-10-01,20.559999,21.34,11.75,13.56,5627000,12.455335
2008-09-02,28.120001,29.90,19.040001,20.75,3702900,19.059601
2008-08-01,26.120001,30.35,25.00,27.18,2809500,24.827696
2008-07-01,21.77,28.75,19.16,25.48,3761800,23.274822
2008-06-02,29.75,30.74,22.15,22.469999,3175500,20.525324
2008-05-01,31.700001,33.779999,26.879999,29.719999,2906200,27.007401
2008-04-01,33.150002,35.98,30.110001,31.90,2130800,28.988428
2008-03-03,35.220001,36.470001,30.219999,32.900002,3039800,29.897158
2008-02-01,40.139999,41.990002,34.82,35.009998,2330500,31.670918
2008-01-02,42.59,42.59,32.009998,40.220001,3548400,36.384018
2007-12-03,40.00,43.959999,39.59,42.439999,1409000,38.392281
2007-11-01,41.860001,42.400002,37.369999,40.560001,1580200,36.565357
2007-10-01,38.700001,43.50,38.57,42.880001,2112900,38.656864
2007-09-04,38.189999,40.650002,35.900002,39.029999,1958300,35.186039
2007-08-01,38.240002,42.360001,33.880001,38.029999,1794200,34.152054
2007-07-02,42.950001,42.950001,37.759998,38.529999,1662800,34.601067
2007-06-01,43.459999,45.169998,41.040001,42.98,2051200,38.597298
2007-05-01,41.77,43.540001,40.619999,43.48,1582500,38.908306
2007-04-02,42.380001,43.07,40.57,41.57,1407300,37.199135
2007-03-01,40.00,43.860001,38.970001,42.16,1564500,37.727097
2007-02-01,45.43,46.360001,39.849998,40.529999,1666300,36.268482
2007-01-03,41.900002,45.560001,41.799999,44.93,1459400,40.060699
2006-12-01,42.580002,42.599998,39.389999,41.380001,1054900,36.895432
2006-11-01,40.950001,43.970001,40.50,42.450001,1266800,37.707359
2006-10-02,39.00,41.669998,38.060001,40.50,1415400,35.97522
2006-09-01,36.48,39.279999,35.779999,38.810001,1743500,34.47403
2006-08-01,33.900002,36.490002,32.470001,36.48,1912900,32.279392
2006-07-03,38.360001,38.799999,33.880001,33.900002,1646800,29.996475
2006-06-01,37.869999,39.549999,35.00,38.25,1852000,33.845581
2006-05-01,41.830002,43.290001,35.290001,38.080002,1964000,33.559727
2006-04-03,42.150002,43.860001,40.400002,41.790001,1439900,36.82933
2006-03-01,44.099998,44.900002,40.799999,42.02,1713600,37.032028
2006-02-01,40.880001,46.77,40.59,44.060001,1967100,38.829872
2006-01-03,45.48,45.939999,40.900002,40.900002,1429500,35.923477
2005-12-01,46.09,47.349998,44.00,45.060001,1041000,39.577309
2005-11-01,41.279999,46.330002,40.98,45.860001,1197700,40.151794
2005-10-03,43.00,44.02,38.59,41.439999,1995500,36.281952
2005-09-01,42.900002,44.689999,41.560001,43.200001,2237800,37.822887
2005-08-01,45.66,46.48,42.48,42.720001,1493500,37.269527
2005-07-01,48.080002,49.470001,45.119999,45.450001,1262300,39.651218
2005-06-01,45.950001,49.00,45.139999,48.360001,1573700,42.189941
2005-05-02,42.369999,46.150002,41.700001,46.110001,1443600,40.114304
2005-04-01,44.900002,45.18,40.720001,42.02,1871800,36.556129
2005-03-01,47.299999,48.650002,43.049999,44.689999,2303900,38.878944
2005-02-01,50.75,51.200001,45.709999,47.25,2019800,41.106068
2005-01-03,54.650002,55.23,52.00,53.00,1114000,45.980236
2004-12-01,49.810001,55.470001,49.810001,54.439999,880500,47.229507
2004-11-01,46.48,49.799999,46.470001,49.700001,916700,43.011215
2004-10-01,43.959999,48.700001,43.599998,46.599998,1430700,40.328423
2004-09-01,41.150002,44.950001,40.669998,43.599998,1068800,37.732174
2004-08-02,42.700001,42.98,39.099998,41.299999,1059900,35.631687
2004-07-01,43.349998,44.50,39.599998,42.75,1196900,36.882679
2004-06-01,39.150002,45.490002,37.919998,43.41,1368400,37.452095
2004-05-03,40.299999,43.130001,37.799999,39.119999,1426600,33.750885
2004-04-01,44.25,45.990002,40.16,40.529999,1558200,34.851875
2004-03-01,44.50,46.919998,38.299999,44.099998,1600000,37.921726
2004-02-02,42.150002,45.00,40.34,44.25,1434700,38.050716
2004-01-02,34.98,42.990002,34.82,42.369999,1896800,36.324661
2003-12-01,30.299999,35.00,29.50,34.790001,1290300,29.826174
2003-11-03,29.92,30.42,27.08,30.27,1087300,25.85038
2003-10-01,28.299999,31.780001,28.280001,29.709999,1505500,25.372141
2003-09-02,31.00,32.68,28.040001,28.110001,1495100,24.005754
2003-08-01,29.049999,31.299999,27.809999,31.15,994400,26.493177
2003-07-01,22.91,29.73,22.27,29.25,1333900,24.877222
2003-06-02,20.75,23.42,20.65,23.16,1052500,19.697657
2003-05-01,18.58,21.15,18.00,20.76,963800,17.545883
