Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,50.66,50.66,48.130001,48.32,8418800,48.32
2013-03-01,50.790001,53.650002,47.50,50.560001,3746500,50.560001
2013-02-01,55.869999,57.099998,49.099998,50.810001,2523400,50.810001
2013-01-02,54.169998,56.740002,52.529999,55.560001,1592800,55.560001
2012-12-03,49.790001,55.419998,46.34,52.959999,1931500,52.959999
2012-11-01,49.459999,51.48,46.759998,49.400002,1669100,49.400002
2012-10-01,57.169998,57.299999,49.060001,49.169998,1933900,49.169998
2012-09-04,56.119999,60.00,53.669998,56.939999,2492900,56.939999
2012-08-01,54.130001,59.490002,51.950001,56.040001,1686200,56.040001
2012-07-02,56.400002,57.099998,49.509998,53.66,2000700,53.66
2012-06-01,50.029999,58.639999,49.450001,56.48,3124500,56.48
2012-05-01,59.700001,62.41,50.18,51.380001,2266900,51.380001
2012-04-02,59.669998,62.75,57.00,59.610001,2245800,59.610001
2012-03-01,49.740002,61.709999,48.25,59.889999,2668500,59.889999
2012-02-01,46.889999,50.610001,46.16,49.459999,1286700,49.459999
2012-01-03,42.169998,48.490002,41.299999,46.369999,2086500,46.369999
2011-12-01,49.869999,52.950001,39.189999,41.290001,3405700,41.290001
2011-11-01,47.700001,53.419998,44.889999,50.080002,1945300,50.080002
2011-10-03,42.23,52.00,37.849998,49.650002,2732200,49.650002
2011-09-01,39.529999,45.07,35.650002,42.259998,3196600,42.259998
2011-08-01,42.59,42.810001,31.77,39.540001,3816700,39.540001
2011-07-01,45.799999,47.099998,41.540001,42.080002,2129700,42.080002
2011-06-01,43.490002,46.48,40.27,45.900002,2590300,45.900002
2011-05-02,47.66,47.790001,42.50,43.599998,1871200,43.599998
2011-04-01,45.860001,48.380001,44.209999,47.470001,2027100,47.470001
2011-03-01,41.43,47.880001,38.470001,45.389999,2841000,45.389999
2011-02-01,41.299999,45.889999,39.419998,41.279999,2323400,41.279999
2011-01-03,46.060001,46.889999,39.84,41.32,2310300,41.32
2010-12-01,44.330002,49.00,44.209999,45.650002,2310700,45.650002
2010-11-01,42.400002,43.790001,40.470001,43.50,1914600,43.50
2010-10-01,41.07,42.73,37.330002,42.259998,3158600,42.259998
2010-09-01,35.040001,41.740002,35.040001,41.00,3873400,41.00
2010-08-02,32.490002,35.27,30.290001,34.549999,2946600,34.549999
2010-07-01,28.90,33.639999,28.200001,32.150002,3163100,32.150002
2010-06-01,28.84,32.52,27.82,28.940001,3266400,28.940001
2010-05-03,30.059999,31.17,26.690001,29.309999,2936900,29.309999
2010-04-01,29.379999,32.189999,29.379999,29.870001,2715700,29.870001
2010-03-01,28.16,31.139999,27.90,29.27,3547400,29.27
2010-02-01,27.209999,29.559999,26.51,28.049999,1852100,28.049999
2010-01-04,31.23,31.50,26.940001,27.219999,2510100,27.219999
2009-12-01,26.809999,31.76,26.809999,30.90,2052000,30.90
2009-11-02,25.799999,28.870001,25.450001,26.700001,1854300,26.700001
2009-10-01,27.60,28.940001,25.780001,25.809999,2500100,25.809999
2009-09-01,22.90,28.68,22.190001,27.639999,3309400,27.639999
2009-08-03,22.77,23.25,20.58,22.959999,1811100,22.959999
2009-07-01,20.15,23.719999,18.690001,22.83,4779300,22.83
2009-06-01,20.110001,21.09,18.110001,20.129999,2940900,20.129999
2009-05-01,17.309999,20.389999,16.65,19.950001,3296400,19.950001
2009-04-01,17.76,19.16,17.059999,17.27,2741100,17.27
2009-03-02,13.50,18.43,12.98,17.84,3678800,17.84
2009-02-02,14.26,16.450001,13.35,13.69,2681300,13.69
2009-01-02,13.06,16.129999,13.06,14.65,2776600,14.65
2008-12-01,8.99,13.99,8.30,13.22,2653100,13.22
2008-11-03,13.41,14.29,7.50,9.25,2787700,9.25
2008-10-01,14.91,15.93,10.57,13.31,2530700,13.31
2008-09-02,21.10,21.620001,14.74,15.07,3560400,15.07
2008-08-01,21.50,23.379999,20.610001,21.00,1755700,21.00
2008-07-01,20.440001,21.83,19.00,21.379999,2101100,21.379999
2008-06-02,24.389999,24.84,20.65,20.690001,3340400,20.690001
2008-05-01,20.41,24.42,20.41,24.360001,2454400,24.360001
2008-04-01,18.540001,21.139999,18.370001,20.57,1950500,20.57
2008-03-03,17.73,18.93,16.530001,18.389999,3064100,18.389999
2008-02-01,18.93,19.50,17.60,17.83,1791200,17.83
2008-01-02,20.84,21.049999,16.82,18.67,3291100,18.67
2007-12-03,20.059999,21.32,18.040001,20.84,2184000,20.84
2007-11-01,21.219999,22.67,18.200001,20.02,1864200,20.02
2007-10-01,19.67,21.74,19.09,21.59,2163100,21.59
2007-09-04,19.49,20.459999,18.309999,19.870001,2978900,19.870001
2007-08-01,20.74,23.82,18.50,19.450001,2608600,19.450001
2007-07-02,22.00,22.43,20.75,20.82,2118900,20.82
2007-06-01,24.879999,25.25,22.00,22.280001,2802900,22.280001
2007-05-01,21.110001,24.73,20.450001,24.559999,2414700,24.559999
2007-04-02,22.93,23.00,21.110001,21.139999,1975100,21.139999
2007-03-01,21.889999,24.48,21.219999,22.93,2366200,22.93
2007-02-01,22.889999,25.15,22.360001,22.450001,2516300,22.450001
2007-01-03,22.91,23.10,20.709999,22.73,2622900,22.73
2006-12-01,17.35,23.200001,15.53,23.00,5182600,23.00
2006-11-01,16.59,17.92,15.53,17.40,7421800,17.40
2006-10-02,21.15,22.43,13.70,16.379999,15327900,16.379999
