Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,30.535,30.535,30.535,30.535,000,27.35
2013-03-01,32.47,33.875,30.535,30.535,000,27.35
2013-02-01,30.665,32.94,29.52,32.60,000,29.20
2013-01-01,27.835,30.50,27.835,30.50,000,27.319
2012-12-03,25.05,27.835,24.96,27.835,000,24.932
2012-11-01,25.20,26.33,23.93,25.245,000,22.612
2012-10-01,25.84,26.845,24.75,25.245,000,22.612
2012-09-03,25.73,27.79,25.645,26.545,000,23.777
2012-08-01,24.50,26.49,23.52,25.54,000,22.876
2012-07-02,23.24,24.56,22.48,24.49,000,21.936
2012-06-01,21.82,23.75,21.22,23.08,000,20.673
2012-05-01,26.68,26.68,22.04,22.04,000,19.741
2012-04-02,27.52,27.52,24.88,26.68,000,23.898
2012-03-01,28.28,29.84,27.75,27.93,000,23.898
2012-02-01,26.06,29.36,26.06,28.12,000,24.06
2012-01-02,22.94,26.44,22.94,25.99,000,22.238
2011-12-01,23.06,23.57,20.50,22.98,000,19.662
2011-11-01,25.73,25.73,20.14,21.76,000,18.618
2011-10-03,24.00,26.72,23.00,26.72,000,22.862
2011-09-01,23.91,24.91,19.78,24.91,000,21.314
2011-08-01,31.85,31.85,21.04,22.75,000,19.465
2011-07-01,31.83,31.99,27.88,31.52,000,26.969
2011-06-01,34.36,34.36,30.64,31.81,000,27.217
2011-05-02,38.18,38.18,32.96,34.17,000,29.237
2011-04-01,39.64,39.64,36.40,38.05,000,32.556
2011-03-01,39.25,40.24,36.80,39.93,000,33.148
2011-02-01,40.24,42.99,39.01,39.16,000,32.509
2011-01-03,39.92,41.42,38.54,39.47,000,32.766
2010-12-01,35.53,39.59,35.53,39.35,000,32.666
2010-11-01,34.63,37.27,34.60,35.13,000,29.163
2010-10-01,33.63,37.17,32.54,34.87,000,28.947
2010-09-01,29.37,33.99,29.37,33.02,000,27.412
2010-08-02,34.69,35.75,28.49,28.625,000,23.763
2010-07-01,31.91,36.31,30.88,34.71,000,28.815
2010-06-01,33.87,35.84,31.67,32.60,000,27.063
2010-05-03,37.85,38.44,31.47,34.35,000,28.516
2010-04-01,35.32,41.78,35.32,39.69,000,32.949
2010-03-01,30.79,35.50,30.79,35.00,000,29.055
2010-02-01,34.63,36.81,30.65,30.87,000,25.627
2010-01-04,35.04,38.75,34.66,34.66,100,28.773
2009-12-02,30.39,35.69,30.39,35.07,000,29.113
2009-11-02,25.96,30.01,25.96,27.65,100,22.954
2009-10-02,27.14,29.67,26.00,26.09,300,21.659
2009-09-17,30.94,30.94,29.32,29.32,200,24.34
2009-08-05,25.18,30.55,25.89,28.91,300,24.00
2009-07-22,21.14,21.78,21.14,23.04,000,19.127
2009-06-03,22.95,22.95,22.95,22.95,000,19.052
2009-05-05,18.67,22.48,18.67,21.83,100,18.122
2009-04-01,12.66,16.26,12.66,16.53,100,13.722
2009-03-02,11.04,12.81,9.57,12.84,600,10.659
2009-02-02,15.26,17.56,11.65,12.86,000,10.676
2009-01-02,14.75,16.21,13.80,15.44,000,12.818
2008-12-01,14.28,14.50,13.32,14.27,000,11.846
2008-11-03,15.64,17.24,12.36,14.80,000,12.286
2008-10-01,18.15,18.73,11.31,15.10,000,12.535
2008-09-01,20.95,22.07,17.34,17.34,000,14.395
2008-08-01,18.18,21.11,17.81,21.11,100,17.525
2008-07-01,21.90,21.90,16.94,18.20,000,15.109
2008-06-02,27.87,28.48,22.36,22.42,000,18.612
2008-05-02,27.50,28.46,26.97,27.71,000,23.004
2008-04-01,29.43,29.43,25.64,27.13,000,22.522
2008-03-03,24.82,28.82,24.33,28.71,000,23.834
2008-02-01,25.78,27.32,22.91,25.23,000,20.945
2008-01-02,27.17,27.71,23.39,26.04,000,21.617
2007-12-03,29.35,29.35,25.28,26.49,000,21.991
2007-11-01,38.26,38.26,28.95,34.04,000,28.258
2007-10-01,37.93,42.57,37.68,38.46,200,31.928
2007-09-03,41.29,41.29,35.15,37.81,000,31.388
2007-08-01,47.27,49.05,39.98,40.64,100,33.737
2007-07-02,59.05,62.73,47.92,49.07,000,40.736
2007-06-01,60.51,60.52,56.82,58.54,000,48.597
2007-05-02,57.77,60.22,56.82,60.16,000,49.942
2007-04-02,57.81,61.21,57.69,57.77,000,47.958
2007-03-01,53.77,59.07,51.99,57.93,000,48.091
2007-02-01,51.77,56.27,51.77,53.03,000,44.023
2007-01-02,52.79,54.20,48.91,50.52,000,41.939
2006-12-01,48.60,52.00,48.09,51.76,000,42.969
2006-11-01,49.36,50.36,47.66,49.40,000,41.01
2006-10-02,44.92,49.44,42.25,49.44,000,41.043
2006-09-01,42.08,45.01,41.20,45.01,000,37.365
2006-08-01,42.87,42.87,38.34,41.79,000,34.692
2006-07-03,46.11,47.30,42.62,42.62,000,35.381
2006-06-01,48.24,48.85,42.72,45.38,000,37.672
2006-05-02,52.51,55.45,44.21,46.58,000,38.668
2006-04-03,49.00,56.74,49.00,52.75,100,43.791
2006-03-01,46.79,49.65,46.79,48.96,000,40.644
2006-02-01,41.78,49.75,41.78,48.27,000,40.071
2006-01-02,36.65,43.20,36.65,42.55,000,35.323
2005-12-01,35.01,36.75,35.01,36.49,000,30.292
2005-11-01,31.93,35.28,31.71,35.28,000,29.288
2005-10-03,32.06,32.06,29.72,31.96,000,26.532
2005-09-01,30.86,31.67,29.42,31.37,000,26.042
2005-08-01,33.64,34.26,30.28,30.61,000,25.411
2005-07-01,28.57,33.68,28.57,33.10,000,27.478
2005-06-01,29.10,29.82,28.26,28.65,000,23.784
2005-05-02,31.52,32.16,27.12,30.01,000,24.913
2005-04-01,34.31,35.58,31.73,31.94,000,26.515
2005-03-01,33.48,35.46,33.48,34.31,000,28.483
2005-02-01,30.05,33.67,30.05,33.67,000,27.951
2005-01-03,28.59,29.77,27.97,29.77,000,24.714
2004-12-01,28.86,29.47,28.12,28.47,000,23.634
2004-11-01,26.47,29.23,26.39,28.91,000,24.00
2004-10-01,29.13,29.79,25.89,26.21,000,21.758
2004-09-01,25.10,29.25,25.02,28.64,000,23.776
2004-08-02,22.63,25.52,22.63,25.37,000,21.061
2004-07-01,22.50,22.65,21.25,22.65,000,18.803
2004-06-01,21.51,22.84,21.51,22.52,000,18.695
2004-05-03,22.22,23.13,19.80,21.47,000,17.823
2004-04-01,21.69,23.72,21.69,22.73,000,18.869
2004-03-01,23.48,23.98,19.69,21.69,000,18.006
2004-02-02,22.46,23.86,21.51,22.69,000,18.836
2004-01-02,19.30,23.03,19.08,23.03,000,19.118
2003-12-01,16.73,19.52,16.65,19.37,000,16.08
2003-11-03,16.25,17.15,16.14,17.09,000,14.187
2003-10-01,12.04,15.87,12.01,15.87,000,13.175
2003-09-01,12.31,13.70,11.76,12.04,000,9.995
2003-08-01,11.00,12.59,10.76,12.30,000,10.211
2003-07-01,9.77,11.14,9.77,10.99,000,9.123
2003-06-02,9.00,10.63,9.00,9.77,000,8.111
2003-05-02,9.45,9.65,8.88,8.95,000,7.43
2003-04-01,8.40,10.80,8.40,9.60,000,7.969
2003-03-03,7.70,9.20,7.50,8.60,000,7.139
2003-02-03,8.25,8.25,7.20,7.75,000,6.434
2003-01-02,8.55,9.40,8.00,8.00,000,6.641
2002-12-02,11.00,11.80,8.50,8.80,000,7.305
2002-11-01,9.80,11.10,9.52,10.50,000,8.717
2002-10-01,6.84,11.00,5.25,10.20,000,8.468
2002-09-02,9.70,9.70,6.99,7.33,000,6.085
2002-08-01,8.30,10.50,7.80,10.10,000,8.385
2002-07-01,11.80,11.80,8.50,8.50,000,7.056
2002-06-03,13.20,13.20,10.90,11.80,000,9.796
2002-05-02,15.10,15.50,12.60,12.75,000,10.584
2002-04-02,17.20,17.20,15.60,15.80,000,13.116
2002-03-01,13.00,18.20,13.00,17.10,000,14.196
2002-02-01,14.00,14.40,12.60,13.10,000,10.875
2002-01-02,14.70,16.00,13.80,13.80,000,11.456
2001-12-03,13.30,14.70,12.90,14.50,000,12.037
2001-11-01,13.50,13.70,11.00,13.25,000,11.00
2001-10-01,10.60,13.60,10.05,13.40,000,11.124
2001-09-03,12.00,12.20,9.80,10.40,000,8.634
2001-08-01,10.80,12.80,10.80,12.20,000,10.128
2001-07-02,12.70,12.70,10.50,10.80,000,8.966
2001-06-01,14.20,14.30,12.20,12.50,000,10.377
2001-05-02,12.20,15.00,12.20,14.40,000,11.954
2001-04-02,13.50,13.60,12.00,12.05,000,10.003
2001-03-01,16.60,16.80,13.30,13.60,000,11.29
2001-02-01,18.50,20.00,16.50,16.50,000,13.698
2001-01-02,14.80,19.00,14.80,19.00,000,15.773
2000-12-01,18.70,20.10,14.50,15.20,000,12.618
2000-11-01,24.20,24.20,17.70,18.70,000,15.524
2000-10-02,28.00,29.50,23.50,23.50,000,19.509
2000-09-01,30.00,30.00,26.00,29.00,000,24.074
2000-08-01,39.50,40.00,30.00,30.00,000,24.905
2000-07-03,38.00,39.50,37.20,39.50,000,32.791
2000-06-01,43.00,43.00,36.50,38.00,000,31.546
2000-05-01,46.00,47.00,42.70,43.00,000,35.697
2000-04-03,38.00,46.00,36.50,46.00,000,38.187
2000-03-01,44.00,44.00,36.00,37.00,000,30.716
2000-02-01,37.00,43.00,35.00,43.00,000,35.697
2000-01-03,47.00,49.50,38.00,38.00,000,31.546
