Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,46.62999,46.62999,45.849991,45.890011,2242200,14.391488
2013-03-01,48.549992,49.050003,44.090008,47.73,1833000,14.603795
2013-02-01,45.92001,48.680008,45.039993,48.360001,1544400,14.796555
2013-01-02,85.000015,90.419998,43.67001,44.51001,2111700,13.618585
2012-12-03,82.27002,84.709976,79.120026,83.569984,1782300,12.78482
2012-11-01,83.959976,87.13002,77.07,81.370026,2224400,12.448262
2012-10-01,82.600021,89.389977,81.22998,84.010017,2066400,12.852139
2012-09-04,85.020004,89.989983,74.389977,81.209999,3341200,12.423781
2012-08-01,85.240021,91.999985,81.889977,85.110001,1715700,13.020417
2012-07-02,77.449982,86.050018,73.50,84.400024,1380000,12.911802
2012-06-01,69.109978,76.860001,68.620026,75.859978,1667200,11.605317
2012-05-01,79.999985,80.100006,67.399979,69.730019,1998800,10.667535
2012-04-02,76.379997,80.790001,73.690018,79.159981,1645700,12.110163
2012-03-01,75.479996,76.999985,72.829987,76.620003,1786100,11.721588
2012-02-01,66.940018,75.75,66.349976,75.120003,2966700,11.492113
2012-01-03,56.140022,66.349976,55.759979,65.890022,1757600,9.681641
2011-12-01,54.93,56.680016,52.360023,55.649998,1060900,8.177009
2011-11-01,52.290001,56.970001,51.940018,55.219978,1475500,8.113823
2011-10-03,46.429977,55.990021,45.760017,54.259979,1547100,7.972764
2011-09-01,57.659996,57.730019,45.949982,46.349998,1601400,6.810501
2011-08-01,59.909996,59.920017,47.980019,57.659996,1836600,8.472351
2011-07-01,59.929977,62.25,57.970016,59.68998,1532100,8.770629
2011-06-01,61.519981,62.879997,56.779984,59.669998,1834200,8.767693
2011-05-02,58.98,62.320023,56.329983,61.54002,1881400,9.042467
2011-04-01,59.599976,60.580021,56.95998,58.519981,1914300,8.598714
2011-03-01,50.269981,58.889999,49.519981,58.739998,1826100,8.631042
2011-02-01,49.420017,53.02002,48.330002,49.93998,1764000,7.337999
2011-01-03,53.539982,54.70002,48.010017,49.570023,2086700,7.283639
2010-12-01,46.45998,53.320023,46.309978,52.879978,1271000,7.769992
2010-11-01,45.730019,50.11998,44.760002,45.150002,1718000,6.038875
2010-10-01,45.66,50.939999,44.590019,45.959999,1654400,6.147213
2010-09-01,39.27,45.649979,38.939999,45.510002,1681200,6.087025
2010-08-02,40.829998,41.400002,37.969978,37.999981,1688500,5.08255
2010-07-01,41.82,41.830021,37.699982,39.810001,1845600,5.324642
2010-06-01,37.330021,43.099979,36.689999,41.34,2279400,5.529282
2010-05-03,40.470001,41.659981,34.210022,37.819981,2407900,5.058474
2010-04-01,37.150021,40.999981,37.000019,39.349979,1672100,5.263114
2010-03-01,34.260002,36.829979,33.420002,36.79998,1289800,4.922048
2010-02-01,33.27,36.70998,32.359982,34.090019,1532700,4.53792
2010-01-04,39.689999,40.36002,32.82,34.050003,2299600,4.532592
2009-12-01,37.63002,39.66,36.22002,39.119999,1348100,5.207489
2009-11-02,38.800018,41.939999,35.680019,36.580021,2139300,4.869378
2009-10-01,38.02998,43.660019,37.300018,38.52,2038500,4.974342
2009-09-01,36.79002,39.75,34.170002,37.930019,1837100,4.898154
2009-08-03,34.560001,36.93,31.870018,36.599998,2101000,4.726399
2009-07-01,30.859982,34.240021,27.00,33.70998,1947100,4.353192
2009-06-01,32.579998,32.639999,26.77002,29.989981,2201000,3.872804
2009-05-01,28.000019,32.680019,27.13002,31.249981,2138400,4.035516
2009-04-01,21.919981,29.16,21.649981,28.21998,2454000,3.579185
2009-03-02,19.480021,23.700001,17.969999,21.349979,2321700,2.707852
2009-02-02,21.22002,23.440022,17.419981,19.92,2578300,2.526485
2009-01-02,23.980021,26.230019,20.77002,21.679979,2328100,2.749706
2008-12-01,19.390018,25.039978,17.80002,24.209999,2760600,3.022131
2008-11-03,22.889999,25.45998,15.61998,20.920021,4258500,2.611443
2008-10-01,28.009981,29.359982,13.89,22.999979,4122800,2.871084
2008-09-02,44.239983,44.38998,25.63002,28.349998,4164100,3.538927
2008-08-01,49.750019,53.389977,43.480019,44.800018,1998300,5.592381
2008-07-01,49.669979,55.099976,47.260017,50.100002,2310200,6.101681
2008-06-02,55.360023,55.360023,48.00,51.160023,2176100,6.230781
2008-05-01,51.04002,57.460018,51.00,56.350021,2011000,6.862871
2008-04-01,45.150002,51.870003,43.72998,50.629978,1745400,6.166227
2008-03-03,47.670002,49.690018,42.989998,44.329979,1976100,5.39895
2008-02-01,43.300018,49.36998,41.569981,46.849979,1437300,5.705861
2008-01-02,48.220016,49.50,38.089981,42.810001,2127300,5.195908
2007-12-03,49.129978,51.139977,43.159981,46.999981,1462900,5.704451
2007-11-01,50.830021,52.759979,45.940022,49.489983,1565500,6.006666
2007-10-01,50.350021,53.95002,47.86998,52.02,1638900,6.313737
2007-09-04,48.449997,54.52002,45.199982,49.399979,2070300,5.851238
2007-08-01,47.25,52.36998,37.069981,49.030022,3178800,5.807418
2007-07-02,44.38998,51.970016,44.29998,47.82,2119500,5.664095
2007-06-01,40.750019,46.990021,37.309978,44.080021,2670700,5.221109
2007-05-01,34.650002,42.420002,33.630001,40.36002,2094300,4.780489
2007-04-02,33.540001,35.530022,32.620018,34.54998,1127900,4.092312
2007-03-01,32.20002,35.77002,31.54998,33.79002,1781600,4.002298
2007-02-01,33.900002,36.48,33.04002,33.79998,1924600,4.003478
2007-01-03,34.050003,35.099998,28.849979,31.45998,2850000,3.726314
2006-12-01,30.119999,37.199997,29.610001,33.859982,1820400,4.010585
2006-11-01,30.649979,30.94998,28.930019,30.00,1368000,3.494181
2006-10-02,30.100021,31.98,28.54002,30.22998,1567300,3.520967
2006-09-01,27.70002,30.300001,26.500019,30.100021,1976400,3.505831
2006-08-01,25.000019,27.559978,24.300001,27.160019,2099600,3.163401
2006-07-03,23.44998,25.390018,21.75,25.000019,1076500,2.91182
2006-06-01,22.240021,24.100021,18.79998,23.549999,2086700,2.742932
2006-05-01,24.499981,26.969999,20.07,22.249979,2243200,2.591515
2006-04-03,22.50,24.719999,22.150021,24.349979,2101500,2.77531
2006-03-01,19.990021,22.180019,18.61998,22.009979,2837400,2.508606
2006-02-01,20.95002,20.95002,18.780001,19.710001,2878000,2.246464
2006-01-03,16.900021,21.599998,16.819981,20.740021,2123700,2.363862
2005-12-01,15.88998,17.309999,15.88998,16.87002,1120000,1.922775
2005-11-01,16.03002,16.98,15.28002,15.70998,1284100,1.728116
2005-10-03,17.400002,17.659981,15.70002,16.049999,1338900,1.765519
2005-09-01,15.70002,17.82,15.33,17.38002,1437100,1.911823
2005-08-01,15.16002,17.44998,14.68002,15.70002,2235200,1.727021
2005-07-01,15.450001,16.249979,13.09998,15.12,1135100,1.663218
