Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.74,16.790001,16.58,16.66,1946200,15.708905
2013-03-01,15.49,16.76,15.27,16.73,1117500,15.774909
2013-02-01,15.00,15.91,14.79,15.54,1648100,14.598373
2013-01-02,14.08,15.08,13.91,14.93,1078600,14.025336
2012-12-03,13.99,14.58,13.54,13.81,1337700,12.973201
2012-11-01,14.07,14.26,13.00,13.93,1040600,13.031706
2012-10-01,13.47,14.48,13.20,14.04,726300,13.134612
2012-09-04,13.06,13.99,13.02,13.46,743100,12.536215
2012-08-01,12.90,13.21,12.62,13.04,613800,12.145041
2012-07-02,12.44,13.23,12.20,12.85,732200,11.968081
2012-06-01,11.24,12.59,10.96,12.37,778400,11.465767
2012-05-01,11.56,11.94,10.81,11.45,768000,10.613018
2012-04-02,11.23,11.61,10.58,11.58,733900,10.733516
2012-03-01,11.34,11.47,10.83,11.26,747100,10.38763
2012-02-01,11.13,11.47,10.91,11.34,1099800,10.461432
2012-01-03,10.87,11.33,10.46,11.10,703900,10.240026
2011-12-01,10.19,10.87,9.54,10.65,809700,9.779985
2011-11-01,9.72,10.58,9.26,10.25,775900,9.412663
2011-10-03,9.06,10.74,8.53,10.00,989600,9.183085
2011-09-01,10.19,10.43,9.03,9.16,883700,8.368258
2011-08-01,10.60,10.62,8.37,10.22,1415200,9.336637
2011-07-01,11.69,12.12,10.06,10.47,872000,9.565028
2011-06-01,11.49,11.75,10.63,11.68,824400,10.624209
2011-05-02,11.82,11.95,11.08,11.48,677900,10.442287
2011-04-01,11.15,11.95,11.10,11.77,777000,10.706074
2011-03-01,10.89,11.15,10.22,11.06,935200,10.01566
2011-02-01,8.74,11.25,8.63,10.90,1649800,9.870768
2011-01-03,8.30,8.83,8.00,8.67,882500,7.851336
2010-12-01,8.18,8.49,8.07,8.25,823800,7.43455
2010-11-01,8.32,8.39,7.78,8.06,1161200,7.26333
2010-10-01,8.69,8.88,8.03,8.28,621200,7.461585
2010-09-01,7.82,8.75,7.73,8.62,935400,7.731764
2010-08-02,8.51,8.75,7.65,7.69,627000,6.897594
2010-07-01,7.46,8.56,7.09,8.52,1103900,7.642069
2010-06-01,8.46,8.64,7.38,7.40,1230900,6.602405
