Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.03,11.03,10.80,10.90,13400,9.760816
2013-03-01,11.12,11.50,10.30,11.05,6400,9.89514
2013-02-01,10.80,11.50,9.99,10.97,6600,9.734921
2013-01-02,10.07,11.35,9.85,10.80,6100,9.584061
2012-12-03,10.17,10.88,9.40,9.70,10200,8.607906
2012-11-01,11.32,11.78,9.37,10.21,7000,8.970778
2012-10-01,12.99,12.99,11.40,11.47,5200,10.077848
2012-09-04,12.55,13.07,12.10,12.87,7900,11.307925
2012-08-01,11.71,13.21,11.44,12.68,6200,11.055222
2012-07-02,11.80,11.85,10.10,11.58,6600,10.096172
2012-06-01,10.57,12.00,10.44,11.57,4800,10.087453
2012-05-01,13.00,13.10,10.68,10.93,8600,9.448083
2012-04-02,13.00,13.37,12.41,12.90,4600,11.150985
2012-03-01,12.49,13.45,12.44,13.03,7400,11.263359
2012-02-01,14.50,14.50,12.05,12.55,14200,10.764277
2012-01-03,12.91,14.86,12.81,14.38,10600,12.333889
2011-12-01,12.35,13.45,11.76,12.80,5600,10.978705
2011-11-01,11.81,12.83,11.19,12.33,8000,10.48671
2011-10-03,10.88,12.15,10.44,12.15,9400,10.333619
2011-09-01,11.08,11.72,9.90,10.80,10700,9.185439
2011-08-01,12.95,12.97,10.26,10.92,15100,9.204353
2011-07-01,10.17,13.13,10.17,12.77,14500,10.7637
2011-06-01,12.47,12.55,10.25,10.25,9600,8.639617
2011-05-02,13.71,14.32,11.52,12.40,8800,10.364145
2011-04-01,13.95,14.01,12.28,13.68,7900,11.433993
2011-03-01,13.08,14.94,12.50,14.04,8000,11.734888
2011-02-01,12.66,14.16,12.26,13.02,12400,10.8163
2011-01-03,11.81,12.51,11.38,12.51,14500,10.39262
2010-12-01,12.00,12.88,10.50,11.68,10000,9.703102
2010-11-01,11.85,12.48,11.30,12.00,15800,9.90357
2010-10-01,10.69,12.11,10.36,11.66,15000,9.622969
2010-09-01,9.06,11.00,8.62,10.45,13700,8.624358
2010-08-02,9.55,9.84,8.63,8.96,5600,7.344017
2010-07-01,9.45,9.82,8.60,9.50,4300,7.786625
2010-06-01,9.50,10.30,8.80,9.53,6300,7.811214
2010-05-03,11.44,12.56,7.93,9.54,12400,7.768691
2010-04-01,10.35,11.99,10.16,11.55,9000,9.40549
2010-03-01,11.01,11.67,9.72,10.35,10700,8.428296
2010-02-01,9.62,11.33,9.18,10.95,16600,8.870691
2010-01-04,8.98,10.73,8.88,9.73,12400,7.882359
2009-12-01,10.00,10.00,8.53,8.81,15600,7.137059
2009-11-02,10.25,10.85,9.29,9.42,12600,7.581832
2009-10-01,10.43,11.75,9.50,10.25,11700,8.24987
2009-09-01,9.50,11.18,9.28,10.40,16400,8.3706
2009-08-03,8.83,9.73,8.39,9.49,12600,7.552109
2009-07-01,6.90,8.82,6.70,8.66,26400,6.891598
2009-06-01,8.66,8.85,6.52,6.80,19100,5.411417
2009-05-01,10.23,11.42,8.11,8.62,13000,6.753275
2009-04-01,6.23,10.49,6.01,10.24,16000,8.022452
2009-03-02,6.68,7.18,5.30,6.25,25800,4.896516
2009-02-02,15.04,15.24,7.09,7.10,14900,5.451379
2009-01-02,16.10,16.309999,14.81,15.04,5100,11.547709
2008-12-01,14.50,17.030001,14.30,16.10,8000,12.361578
2008-11-03,14.25,15.51,12.27,15.51,16800,11.821227
2008-10-01,18.23,21.889999,9.51,14.20,29200,10.822786
2008-09-02,26.50,28.50,13.50,18.43,20500,14.046758
2008-08-01,22.66,26.280001,20.799999,26.25,18100,19.915936
2008-07-01,23.00,23.76,20.209999,22.620001,15300,17.161848
2008-06-02,22.90,23.83,20.83,23.790001,15100,18.04953
2008-05-01,19.50,23.76,19.50,22.780001,24700,17.18527
2008-04-01,19.15,19.870001,18.15,19.49,10400,14.703289
2008-03-03,17.16,19.99,15.33,19.24,21600,14.514688
2008-02-01,14.60,17.440001,14.49,17.440001,16800,13.08235
2008-01-02,17.00,18.48,13.69,14.60,21300,10.951967
2007-12-03,18.27,19.639999,15.83,16.91,22200,12.684778
2007-11-01,18.889999,20.27,17.50,18.84,18800,13.977491
2007-10-01,19.49,20.52,18.00,18.889999,19000,14.014585
2007-09-04,16.43,19.48,15.27,19.299999,17500,14.318767
2007-08-01,17.00,19.139999,15.76,16.33,25000,12.038093
2007-07-02,18.35,18.65,16.530001,16.870001,26100,12.436169
2007-06-01,17.00,18.32,15.50,18.32,12700,13.505074
2007-05-01,19.24,19.469999,14.53,17.01,26700,12.464734
2007-04-02,18.110001,19.43,17.40,19.209999,19600,14.076868
2007-03-01,17.799999,19.50,17.50,18.00,18900,13.190194
2007-02-01,15.88,20.00,15.88,18.10,8600,13.189458
2007-01-03,16.35,16.450001,15.15,15.96,2900,11.630041
2006-12-01,15.51,17.120001,15.35,16.25,6200,11.841364
2006-11-01,14.10,15.68,13.90,15.61,5900,11.306883
2006-10-02,14.20,14.54,13.50,14.25,6100,10.321787
2006-09-01,13.99,14.70,12.90,14.30,7400,10.358004
2006-08-01,13.30,14.41,12.99,13.95,4600,10.032362
2006-07-03,13.70,15.30,12.69,13.25,8900,9.528946
2006-06-01,14.22,14.50,12.75,13.65,5900,9.816612
2006-05-01,15.23,15.23,14.00,14.21,4900,10.145022
2006-04-03,14.20,15.54,13.95,15.13,4000,10.801844
2006-03-01,14.60,15.35,13.90,14.27,5900,10.187859
2006-02-01,15.23,16.25,14.50,14.50,5900,10.281642
2006-01-03,15.29,17.25,15.29,15.48,2900,10.976539
2005-12-01,18.25,18.389999,14.67,15.54,5700,11.019083
2005-11-01,18.00,18.450001,17.299999,18.25,3700,12.940687
2005-10-03,18.35,19.389999,17.85,18.24,4500,12.933596
2005-09-01,16.34,18.450001,16.00,18.309999,6800,12.983232
2005-08-01,17.75,18.25,15.80,16.59,3800,11.693845
2005-07-01,18.02,18.219999,16.85,17.950001,4900,12.652472
2005-06-01,17.32,18.48,16.85,18.24,2000,12.856885
2005-05-02,18.58,20.00,16.25,17.07,5500,11.964205
2005-04-01,19.15,19.15,16.450001,18.33,4100,12.847327
2005-03-01,20.360001,20.91,19.25,19.40,3300,13.59728
2005-02-01,22.290001,22.98,20.00,20.32,5100,14.171419
2005-01-03,20.610001,22.799999,20.299999,22.00,6400,15.343072
2004-12-01,19.75,21.10,18.75,20.60,4200,14.366695
2004-11-01,15.81,19.879999,15.45,19.879999,6400,13.791778
2004-10-01,15.25,15.92,15.15,15.91,3000,11.037584
2004-09-01,14.15,16.00,14.15,15.30,3800,10.614396
2004-08-02,15.60,15.60,14.15,14.20,4200,9.787342
2004-07-01,16.15,16.799999,15.60,15.60,4900,10.752292
2004-06-01,15.65,16.15,15.37,16.15,4900,11.131378
2004-05-03,16.16,16.49,14.75,15.73,3200,10.771492
2004-04-01,14.91,16.360001,14.85,16.26,4100,11.134422
2004-03-01,15.85,16.49,15.05,15.05,3600,10.305846
2004-02-02,16.92,17.00,15.27,15.75,4600,10.715017
2004-01-02,16.459999,17.450001,15.30,16.91,4400,11.504187
2003-12-01,14.37,18.00,14.37,16.450001,9000,11.19124
2003-11-03,14.94,15.05,13.80,14.27,6700,9.650014
