Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,37.25,37.25,36.75,36.900002,3226400,31.974955
2013-03-01,36.50,37.810001,36.32,37.209999,2236000,32.243576
2013-02-01,39.02,39.689999,35.889999,36.669998,2520500,31.77565
2013-01-02,37.66,39.869999,37.27,39.68,2027600,34.383907
2012-12-03,38.66,39.049999,36.25,36.799999,1925200,31.8883
2012-11-01,40.619999,41.470001,37.080002,38.529999,2327600,31.924168
2012-10-01,39.959999,41.950001,38.799999,40.34,1919100,33.423851
2012-09-04,40.509998,41.720001,38.759998,39.220001,2087300,32.495872
2012-08-01,39.18,41.720001,38.040001,41.220001,2162000,33.456993
2012-07-02,35.790001,39.849998,35.220001,38.790001,2648600,31.484638
2012-06-01,32.32,35.619999,31.370001,35.52,3544400,28.830481
2012-05-01,39.220001,39.869999,32.860001,33.439999,2758300,27.142208
2012-04-02,37.450001,39.189999,35.650002,39.130001,2129600,30.928862
2012-03-01,40.740002,40.970001,36.360001,37.509998,2921800,29.648392
2012-02-01,37.490002,42.34,36.77,42.07,2602500,32.564213
2012-01-03,34.00,37.389999,33.50,37.099998,2082300,28.717192
2011-12-01,34.639999,36.060001,31.629999,33.18,2346100,25.682924
2011-11-01,31.469999,35.16,31.02,34.880001,2654000,26.425648
2011-10-03,26.90,35.060001,24.68,33.130001,3082600,25.099821
2011-09-01,32.310001,32.66,27.50,27.530001,3169500,20.85717
2011-08-01,35.450001,35.48,26.26,32.369999,4009100,23.947447
2011-07-01,35.509998,36.110001,34.029999,34.759998,1731400,25.715576
2011-06-01,36.119999,36.439999,32.400002,35.279999,2061100,26.100275
2011-05-02,35.700001,36.200001,32.119999,35.990002,2419000,26.071301
2011-04-01,36.32,37.25,32.950001,35.650002,1535100,25.825003
2011-03-01,38.369999,38.490002,33.029999,36.07,1697000,26.129251
2011-02-01,34.25,38.400002,34.16,38.240002,1681300,27.057081
2011-01-03,34.549999,34.700001,31.700001,33.150002,1560500,23.455603
2010-12-01,32.330002,35.279999,31.43,33.919998,1295100,24.000422
2010-11-01,30.690001,33.91,30.309999,31.09,1740600,21.568638
2010-10-01,29.040001,31.030001,28.51,30.43,1294200,21.110764
2010-09-01,24.76,29.43,24.48,28.99,1492300,20.111767
2010-08-02,24.07,25.129999,21.809999,23.18,1038600,15.690584
2010-07-01,18.440001,23.690001,17.809999,23.41,918700,15.846272
2010-06-01,19.41,22.00,17.83,18.280001,1259000,12.373766
