Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.00,9.05,8.87,9.01,985400,8.363788
2013-03-01,9.16,9.21,8.52,9.00,598200,8.354505
2013-02-01,9.74,10.00,8.38,9.24,767900,8.577291
2013-01-02,9.60,9.97,9.13,9.74,590300,9.04143
2012-12-03,9.60,10.45,9.20,9.43,422400,8.753664
2012-11-01,10.60,12.03,10.17,11.04,384600,8.855774
2012-10-01,11.23,11.61,10.20,10.59,270600,8.494805
2012-09-04,10.25,11.31,10.12,11.23,421600,9.008183
2012-08-01,11.39,14.89,9.94,10.35,663100,8.302289
2012-07-02,10.12,11.50,9.96,10.65,357400,8.542934
2012-06-01,9.07,10.25,8.92,10.11,418900,8.109772
2012-05-01,8.58,9.30,8.05,9.24,444600,7.411898
2012-04-02,7.69,8.90,6.94,8.57,544100,6.874455
2012-03-01,8.44,8.88,7.63,7.69,366600,6.16856
2012-02-01,8.35,8.87,7.45,8.42,290300,6.754132
2012-01-03,8.68,8.82,7.89,8.29,406000,6.649852
2011-12-01,8.61,9.16,8.23,8.48,330700,6.802261
2011-11-01,8.33,8.83,7.36,8.67,404400,6.95467
2011-10-03,6.60,9.15,6.13,8.70,338500,6.978735
2011-09-01,7.25,7.55,5.81,6.67,544200,5.350364
2011-08-01,7.95,7.95,5.48,7.25,396500,5.815613
2011-07-01,8.85,9.27,7.80,7.85,167400,6.296905
2011-06-01,9.46,9.66,8.78,8.87,302900,7.115101
2011-05-02,8.92,9.50,8.36,9.50,321200,7.620458
2011-04-01,8.17,9.46,7.87,8.92,330500,7.155209
2011-03-01,7.84,8.07,7.27,8.06,181800,6.465357
2011-02-01,6.77,7.87,6.68,7.80,299600,6.256797
2011-01-03,7.35,7.43,6.70,6.74,224100,5.406514
2010-12-01,6.30,7.39,6.17,7.31,375800,5.863742
2010-11-01,7.50,7.54,5.62,6.19,683200,4.96533
2010-10-01,7.79,7.79,7.33,7.48,239400,6.000108
2010-09-01,7.27,7.99,7.27,7.70,226500,6.176581
2010-08-02,6.65,7.54,6.54,7.15,288400,5.735397
2010-07-01,6.76,6.81,5.95,6.55,216400,5.254106
2010-06-01,8.02,8.11,6.70,6.78,453700,5.438601
2010-05-03,8.75,9.00,7.56,8.10,422700,6.497443
2010-04-01,8.45,9.05,8.05,8.69,255500,6.970713
2010-03-01,8.25,9.00,7.85,8.44,305200,6.770175
2010-02-01,9.91,9.93,8.02,8.19,386500,6.569636
2010-01-04,10.69,10.81,9.60,9.91,140100,7.949341
2009-12-01,9.07,10.88,9.04,10.62,405300,8.518869
2009-11-02,9.59,10.10,8.61,9.05,169400,7.259489
2009-10-01,9.96,10.07,9.05,9.70,315800,7.780889
2009-09-25,9.75,10.55,9.35,10.07,3766100,8.077685
