Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.51,4.57,4.50,4.52,67400,3.741576
2013-03-01,4.41,4.62,4.32,4.54,67600,3.758132
2013-02-01,4.74,4.96,4.41,4.42,77300,3.658798
2013-01-02,4.15,4.68,4.13,4.68,80900,3.874021
2012-12-03,4.17,4.25,4.01,4.09,93000,3.326246
2012-11-01,4.27,4.30,3.92,4.21,85100,3.423837
2012-10-01,4.29,4.36,4.20,4.34,36500,3.466127
2012-09-04,4.45,4.47,4.10,4.32,45100,3.450154
2012-08-01,4.29,4.59,4.06,4.43,39000,3.538005
2012-07-02,4.21,4.45,4.18,4.25,38700,3.394249
2012-06-01,3.89,4.20,3.77,4.18,54500,3.277504
2012-05-01,3.78,4.07,3.65,3.95,80600,3.097163
2012-04-02,4.19,4.25,3.75,3.79,68900,2.971709
2012-03-01,4.56,4.74,4.01,4.14,70400,3.180884
2012-02-01,4.60,4.72,4.25,4.56,119600,3.503582
2012-01-03,4.89,4.92,4.45,4.58,150400,3.518949
2011-12-01,4.94,5.28,4.80,4.87,97700,3.67776
2011-11-01,4.80,5.00,4.79,4.98,47800,3.760831
2011-10-03,4.84,5.10,4.70,4.73,69900,3.515057
2011-09-01,5.07,5.10,4.89,4.90,57300,3.641391
2011-08-01,5.25,5.31,4.60,5.05,92600,3.752862
2011-07-01,5.39,5.41,4.56,5.15,88800,3.770098
2011-06-01,5.40,5.52,5.26,5.35,38700,3.916509
2011-05-02,5.99,6.00,5.27,5.43,94700,3.975074
2011-04-01,5.66,6.02,5.44,5.96,70000,4.305868
2011-03-01,5.58,5.94,5.28,5.70,92300,4.118028
2011-02-01,5.41,5.63,5.10,5.49,160100,3.966311
2011-01-03,5.31,5.49,5.20,5.40,77300,3.845761
2010-12-01,5.36,5.51,5.03,5.32,105200,3.788786
2010-11-01,4.92,5.84,4.79,5.33,157900,3.795908
2010-10-01,4.72,5.11,4.70,4.93,126200,3.459048
2010-09-01,4.39,4.75,4.39,4.74,152800,3.325738
2010-08-02,4.43,4.52,4.31,4.41,161100,3.094199
2010-07-01,4.33,4.51,4.30,4.41,59700,3.04378
2010-06-01,4.40,4.47,4.22,4.36,162200,3.00927
2010-05-03,4.44,4.47,4.17,4.40,142400,3.036878
2010-04-01,4.41,4.45,4.22,4.43,101100,3.007538
2010-03-01,4.30,4.54,4.26,4.35,91700,2.953226
2010-02-01,4.31,4.47,3.95,4.28,163700,2.905703
2010-01-04,4.21,4.44,4.06,4.25,167500,2.835066
2009-12-01,3.85,4.51,3.71,4.14,167100,2.761688
2009-11-02,3.92,3.95,3.79,3.88,56700,2.588249
2009-10-01,3.65,3.94,3.55,3.90,130600,2.556229
2009-09-01,3.72,3.75,3.41,3.63,110000,2.37926
2009-08-03,3.51,3.70,3.01,3.70,147300,2.425141
2009-07-01,3.60,3.67,3.22,3.51,102600,2.255522
2009-06-01,3.53,3.73,3.31,3.57,171500,2.294078
2009-05-01,3.15,3.62,2.85,3.53,167000,2.268374
2009-04-01,2.60,3.17,2.55,3.16,138500,1.98877
2009-03-02,2.54,2.78,2.38,2.60,146200,1.63633
2009-02-02,2.30,2.73,2.30,2.59,178300,1.630036
2009-01-02,2.40,2.68,2.11,2.33,134400,1.423236
2008-12-01,1.93,2.45,1.80,2.39,122700,1.459886
2008-11-03,2.34,2.55,1.75,2.02,103300,1.233879
2008-10-01,2.20,2.32,1.63,2.22,243000,1.356045
2008-09-02,2.69,2.89,2.06,2.22,72400,1.356045
2008-08-01,2.21,2.98,2.03,2.73,136000,1.667569
2008-07-01,2.74,2.76,2.00,2.25,128500,1.37437
2008-06-02,3.30,3.36,2.49,2.79,180100,1.704219
2008-05-01,2.92,3.48,2.86,3.35,170000,2.046284
2008-04-01,2.95,3.25,2.52,2.96,117700,1.80806
2008-03-03,3.25,3.30,2.74,3.00,223800,1.832493
2008-02-01,3.55,4.10,3.16,3.24,188600,1.979092
2008-01-02,4.12,4.12,2.96,3.55,115100,2.16845
2007-12-03,3.79,4.11,3.52,3.97,154800,2.424999
2007-11-01,4.58,4.58,3.56,3.75,156100,2.290616
2007-10-01,4.62,4.85,4.27,4.58,131500,2.797606
2007-09-04,4.72,4.99,4.42,4.54,253700,2.773173
2007-08-01,4.00,4.71,3.67,4.66,236700,2.846473
2007-07-02,4.33,4.77,3.75,4.02,127100,2.455541
2007-06-01,4.80,5.00,4.15,4.46,232900,2.724306
2007-05-01,4.10,4.97,3.98,4.80,437200,2.931989
2007-04-02,3.91,4.22,3.90,4.06,258700,2.479974
2007-03-01,3.63,4.09,3.60,3.91,232500,2.388349
2007-02-01,3.59,4.00,3.46,3.82,335100,2.333375
2007-01-03,3.45,3.85,3.01,3.58,362300,2.186775
2006-12-01,2.58,3.85,2.40,3.52,352000,2.150125
2006-11-01,2.51,2.81,2.46,2.58,216400,1.575944
2006-10-02,2.39,2.55,2.25,2.52,140700,1.539294
2006-09-01,2.35,2.50,2.25,2.49,171000,1.520969
2006-08-01,2.52,2.55,2.17,2.39,136200,1.459886
2006-07-03,2.68,2.68,2.26,2.50,126900,1.527078
2006-06-01,2.65,2.72,2.30,2.68,101100,1.637027
2006-05-01,2.55,3.15,2.40,2.64,389200,1.612594
2006-04-03,2.85,2.87,2.21,2.54,270700,1.551511
2006-03-01,2.70,2.99,2.55,2.79,227700,1.704219
2006-02-01,2.56,3.09,2.20,2.64,550800,1.612594
2006-01-03,1.90,2.75,1.83,2.61,450000,1.594269
2005-12-01,1.39,2.34,1.30,1.86,676600,1.136146
2005-11-01,1.36,1.78,1.01,1.38,563100,0.842947
2005-10-03,2.50,2.53,1.33,1.38,187700,0.842947
2005-09-01,2.73,2.83,2.30,2.48,73200,1.514861
2005-08-01,2.72,3.90,2.51,2.73,177100,1.667569
2005-07-01,2.85,3.04,2.56,2.75,79200,1.679785
2005-06-01,3.79,3.80,2.75,2.85,130000,1.740868
2005-05-02,2.05,4.50,2.05,3.72,412100,2.272291
2005-04-01,3.20,3.31,1.80,2.05,191700,1.252204
2005-03-01,3.11,4.31,3.07,3.19,292200,1.948551
2005-02-01,6.81,6.93,3.05,3.32,905500,2.027959
