Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.940001,18.120001,17.889999,18.07,2115600,18.07
2013-03-01,17.98,18.719999,17.530001,17.870001,1340700,17.870001
2013-02-01,17.09,18.459999,17.059999,18.17,2522800,18.17
2013-01-02,15.73,17.99,15.63,16.950001,2068800,16.950001
2012-12-03,15.38,16.50,15.33,15.83,1468300,15.83
2012-11-01,15.88,15.99,15.04,15.27,1699700,15.27
2012-10-01,14.54,16.219999,14.41,15.63,1249100,15.63
2012-09-04,14.41,15.08,14.26,14.54,1348700,14.54
2012-08-01,13.79,14.90,13.45,14.34,1968100,14.34
2012-07-02,12.03,14.03,12.03,13.87,2427800,13.87
2012-06-01,11.32,12.13,11.31,12.10,1686800,12.10
2012-05-01,13.56,13.64,10.85,11.14,2750200,11.14
2012-04-02,14.00,14.18,13.21,13.52,2413600,13.52
2012-03-01,14.39,14.60,13.47,13.91,1974600,13.91
2012-02-01,14.02,14.59,13.37,14.45,1651400,14.45
2012-01-03,13.84,14.33,12.89,14.01,1559600,14.01
2011-12-01,14.79,14.88,13.48,13.61,2414200,13.61
2011-11-01,14.60,15.41,14.14,14.79,2315700,14.79
2011-10-03,14.08,15.99,13.53,14.79,1827500,14.79
2011-09-01,15.95,16.01,13.35,14.07,1589000,14.07
2011-08-01,16.219999,16.360001,13.67,16.08,2018200,16.08
2011-07-01,18.50,18.83,15.21,15.92,3087700,15.92
2011-06-01,17.870001,18.76,17.33,18.700001,1766900,18.700001
2011-05-02,19.040001,20.290001,17.620001,17.690001,2705800,17.690001
2011-04-01,18.90,19.110001,18.08,18.98,1074800,18.98
2011-03-01,17.73,18.98,17.450001,18.809999,1930900,18.809999
2011-02-01,17.360001,17.799999,16.76,17.59,1604000,17.59
2011-01-03,18.74,18.74,17.200001,17.299999,1567200,17.299999
2010-12-01,18.209999,19.24,18.17,18.629999,857500,18.629999
2010-11-01,18.639999,19.139999,17.639999,17.98,978700,17.98
2010-10-01,17.709999,18.959999,17.620001,18.43,1220200,18.43
2010-09-01,16.42,17.84,16.23,17.469999,1703000,17.469999
2010-08-02,16.559999,16.98,15.66,16.02,1186400,16.02
2010-07-01,14.77,16.74,14.58,16.379999,1270400,16.379999
2010-06-01,15.53,16.25,14.69,14.73,1699400,14.73
2010-05-03,18.50,18.540001,14.88,15.55,1629300,15.55
2010-04-01,17.43,18.629999,17.299999,18.51,1378300,18.51
2010-03-01,16.90,17.92,16.52,17.26,1409500,17.26
2010-02-01,17.139999,17.360001,15.99,16.68,1388700,16.68
2010-01-04,16.389999,18.530001,16.35,17.33,1677400,17.33
2009-12-01,16.780001,17.139999,15.97,16.26,1268500,16.26
2009-11-02,17.18,17.799999,16.42,16.57,1893900,16.57
2009-10-01,17.52,18.639999,16.49,16.709999,2173600,16.709999
2009-09-01,15.40,17.50,15.00,17.450001,1336800,17.450001
2009-08-03,16.85,16.950001,14.82,15.56,770600,15.56
2009-07-01,15.50,17.389999,15.27,16.83,863800,16.83
2009-06-01,15.68,16.07,14.84,15.15,1012500,15.15
2009-05-01,16.200001,16.73,15.34,15.73,1270600,15.73
2009-04-01,15.07,16.51,14.88,15.67,1202400,15.67
2009-03-02,13.38,16.59,12.59,15.45,1637900,15.45
2009-02-02,16.709999,16.709999,13.39,13.39,1026100,13.39
2009-01-02,17.809999,18.35,16.18,16.35,1177600,16.35
2008-12-01,16.059999,18.799999,15.11,18.18,2339900,18.18
2008-11-03,17.559999,19.24,14.83,16.209999,1990200,15.588196
2008-10-01,19.610001,19.92,14.01,17.209999,2656300,16.549837
2008-09-02,20.379999,20.92,18.370001,18.82,1768400,18.09808
2008-08-01,21.299999,22.75,19.530001,20.40,2257500,19.617472
2008-07-01,20.59,22.35,19.92,21.32,1205600,20.50218
2008-06-02,22.60,22.60,20.34,20.77,927000,19.97328
2008-05-01,22.700001,24.65,22.00,22.719999,1106300,21.848478
2008-04-01,21.610001,22.950001,20.98,22.57,1397900,21.704231
2008-03-03,22.440001,22.440001,19.85,21.610001,1763000,20.781057
2008-02-01,24.780001,24.780001,22.33,22.40,2145300,21.540752
2008-01-02,28.49,28.49,23.110001,24.84,2264500,23.887157
2007-12-03,32.43,33.259998,29.66,29.84,1314700,28.69536
2007-11-01,30.35,33.43,29.00,31.67,1893900,30.455164
2007-10-01,29.709999,33.599998,28.00,30.809999,1311000,29.628151
2007-09-04,27.52,29.73,27.50,29.700001,1102900,28.560732
2007-08-01,27.799999,29.48,26.049999,27.370001,1873200,26.320108
2007-07-02,27.370001,30.299999,27.040001,28.139999,1590700,27.060572
2007-06-01,26.98,28.23,25.879999,27.35,1153600,26.300875
2007-05-01,24.84,27.870001,24.809999,26.860001,1879600,25.829672
2007-04-02,23.42,25.00,23.25,24.83,1626900,23.877541
2007-03-01,22.85,23.83,22.280001,23.42,1197200,22.521627
2007-02-01,23.90,24.299999,22.360001,22.809999,1261400,21.935026
2007-01-03,26.48,26.48,22.93,23.75,911200,22.838968
2006-12-01,25.940001,27.719999,24.84,26.48,574100,25.464247
2006-11-01,25.00,26.57,24.870001,25.93,807400,24.935345
2006-10-02,23.690001,25.690001,21.57,24.08,717800,23.156309
2006-09-01,22.049999,24.16,22.01,23.629999,850900,22.72357
2006-08-01,22.27,22.559999,20.90,21.90,830400,21.059933
2006-07-03,23.49,23.76,21.799999,23.41,784500,22.512011
2006-06-01,26.35,26.950001,22.40,23.42,1212000,22.521627
2006-05-01,26.969999,27.84,24.41,26.10,1104500,24.970114
2006-04-03,23.60,26.83,23.209999,26.700001,914900,25.54414
2006-03-01,24.049999,24.629999,22.860001,23.59,710000,22.568773
2006-02-01,23.10,24.60,22.98,24.15,1124600,23.10453
2006-01-03,20.00,23.34,20.00,23.23,1255400,22.224358
2005-12-01,21.43,21.65,19.98,20.290001,766500,19.411633
2005-11-01,20.059999,21.24,19.58,21.129999,1144800,19.232914
2005-10-03,21.90,22.66,19.40,20.209999,1423500,18.395514
2005-09-01,21.35,23.33,20.950001,21.84,1135000,19.879169
2005-08-01,21.50,21.950001,20.85,21.26,1407200,19.351244
2005-07-01,20.35,21.90,19.799999,21.469999,748600,19.542389
2005-06-01,21.10,21.93,20.219999,20.40,543200,18.568455
2005-05-02,19.49,21.07,19.35,20.92,677100,18.940239
2005-04-01,19.75,19.85,18.790001,19.459999,750900,17.618404
2005-03-01,21.50,21.75,19.41,19.719999,772900,17.8538
2005-02-01,19.780001,21.309999,19.709999,21.299999,988600,19.284277
2005-01-03,22.25,22.40,19.959999,19.959999,821700,18.071087
2004-12-01,22.700001,23.10,21.10,22.25,711200,20.144373
2004-11-01,20.01,23.280001,19.98,22.51,919400,19.842451
2004-10-01,19.450001,20.50,19.10,19.73,637300,17.391895
2004-09-01,19.120001,20.450001,19.01,19.450001,529500,17.145077
2004-08-02,17.24,19.200001,17.15,18.90,647100,16.660254
2004-07-01,20.52,21.00,17.17,17.66,1233000,15.567201
2004-06-01,20.76,21.58,20.040001,20.99,749600,18.502579
2004-05-03,20.450001,21.41,19.049999,20.870001,1099000,18.311071
2004-04-01,21.299999,21.84,20.08,20.200001,833100,17.723221
2004-03-01,25.00,25.049999,21.059999,21.299999,1129000,18.688347
2004-02-02,22.26,25.15,21.75,25.01,1276700,21.943453
2004-01-02,19.209999,22.719999,19.209999,22.18,1854900,19.460447
2003-12-01,18.00,19.77,17.549999,18.65,515700,16.36327
2003-11-03,19.50,19.719999,17.33,17.85,660300,15.519446
2003-10-01,17.940001,20.120001,17.82,19.60,562600,17.04096
2003-09-02,18.809999,19.24,17.709999,17.84,645900,15.510752
2003-08-01,19.60,19.65,17.700001,19.059999,801500,16.571465
2003-07-01,18.860001,20.85,17.75,19.41,873200,16.875767
2003-06-02,17.950001,19.58,16.469999,18.860001,712100,16.397577
2003-05-01,15.24,17.950001,15.04,17.950001,688900,15.60639
2003-04-01,13.90,17.41,13.88,15.20,854400,13.215438
2003-03-03,15.60,15.87,12.64,13.62,1124000,11.841728
2003-02-03,17.110001,17.450001,14.85,15.39,694500,13.380631
2003-01-02,21.299999,22.030001,16.440001,17.01,1162900,14.789119
2002-12-02,22.75,22.85,21.200001,21.35,396100,18.562475
2002-11-01,20.049999,22.99,19.969999,22.50,784700,19.505674
2002-10-01,21.60,22.530001,19.219999,20.07,997400,17.399061
2002-09-03,21.65,22.360001,20.440001,21.23,630500,18.404688
2002-08-01,21.15,22.10,19.200001,21.76,839100,18.864155
2002-07-01,24.57,26.50,20.700001,21.42,1563400,18.569403
2002-06-03,24.530001,25.00,23.370001,24.790001,427200,21.490919
2002-05-01,21.41,26.76,20.200001,24.780001,750100,21.48225
2002-04-01,23.60,23.85,20.940001,21.389999,564400,18.543394
2002-03-01,22.00,24.889999,21.870001,24.60,466800,21.326204
2002-02-01,21.40,22.50,20.299999,21.950001,505600,19.02887
2002-01-02,22.90,23.610001,20.25,21.92,565000,19.002861
2001-12-03,22.469999,24.49,20.450001,21.620001,457800,18.742786
2001-11-01,21.33,25.790001,21.25,22.799999,756000,19.721617
2001-10-01,18.40,21.700001,18.10,21.08,692900,18.233847
2001-09-04,19.40,19.700001,16.90,18.440001,1123900,15.950292
2001-08-01,19.25,20.40,18.440001,19.18,590000,16.59038
2001-07-02,16.950001,18.33,15.80,18.33,498200,15.855144
2001-06-01,19.10,19.40,16.01,16.90,613800,14.618217
2001-05-01,20.90,21.00,17.50,19.17,788400,16.58173
2001-04-02,15.16,21.549999,13.23,21.049999,1164400,18.207897
2001-03-01,19.00,21.32,15.00,15.18,754200,13.130446
2001-02-01,25.73,25.73,18.709999,19.49,848900,16.858524
2001-01-02,23.00,30.4375,22.5625,25.73,750900,22.25602
2000-12-01,23.1875,27.50,21.625,23.5625,635200,20.381168
2000-11-01,25.25,27.3125,20.8125,21.3125,577100,18.302301
2000-10-02,24.8125,28.50,21.625,25.0625,1220100,21.522648
2000-09-01,25.875,26.50,20.5625,25.625,1048700,22.005701
2000-08-01,32.00,33.625,24.375,25.625,804700,22.005701
2000-07-03,37.00,43.9375,29.00,30.50,700300,26.19215
2000-06-01,41.75,43.4375,35.125,36.3125,606300,31.183687
2000-05-01,32.875,40.625,31.25,40.0625,745000,34.404034
2000-04-03,37.50,40.9375,25.875,32.0625,1159200,27.533962
2000-03-01,45.50,52.625,37.50,39.00,961300,33.491604
2000-02-01,36.625,49.875,36.50,44.9375,883100,38.590485
2000-01-03,39.00,40.375,30.625,36.6875,1144200,31.505722
