Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.38,11.495,11.30,11.38,2185200,4.2228
2013-03-01,11.31,11.93,11.03,11.47,1435100,4.2562
2013-02-01,10.89,11.68,10.495,11.40,1951100,0.5357
2013-01-01,10.51,11.28,10.31,10.81,1531600,0.508
2012-12-03,10.68,11.05,9.83,10.51,2017300,0.4939
2012-11-01,10.30,10.95,9.24,10.50,2775400,0.4934
2012-10-01,10.35,10.945,9.93,10.28,1226500,0.4831
2012-09-03,11.75,11.90,10.16,10.31,2423000,0.4845
2012-08-01,10.47,12.00,9.98,11.75,2081800,0.0278
2012-07-02,10.75,11.38,9.86,10.43,1780900,0.0247
2012-06-01,9.59,10.89,9.51,10.65,2862700,0.0252
2012-05-01,10.97,11.24,9.39,9.86,2782700,0.0233
2012-04-02,11.61,12.14,10.33,10.96,1845800,0.0259
2012-03-01,11.70,11.94,10.95,11.61,1842500,0.0275
2012-02-01,10.04,11.99,9.93,11.65,2607800,0.0065
2012-01-02,9.75,10.20,8.92,9.98,2526600,0.0056
2011-12-01,9.60,10.15,8.795,9.75,2431200,0.0054
2011-11-01,10.48,11.24,8.49,9.52,3347100,0.0053
2011-10-03,8.65,11.50,8.14,10.57,2997300,0.0059
2011-09-01,9.66,10.22,4.715,8.75,3869900,0.0049
2011-08-01,10.91,10.95,7.67,9.68,4876100,0.0003
2011-07-01,11.21,11.819,6.277,10.74,1986400,0.0003
2011-06-01,11.30,11.65,10.02,11.17,2731000,0.0003
2011-05-02,11.98,12.07,6.599,11.31,2784600,0.0003
2011-04-01,11.48,12.35,11.22,11.96,3304400,0.0004
2011-03-01,12.26,12.85,10.95,11.31,3825000,0.0003
2011-02-01,11.80,12.97,9.229,12.25,2781600,0.0001
2011-01-03,10.82,12.02,8.261,11.72,3027000,0.0001
2010-12-01,11.38,11.99,10.515,10.70,2437400,0.0001
2010-11-01,11.19,12.22,0.205,11.14,3464400,0.0001
2010-10-01,8.75,11.49,8.31,11.14,5272900,0.0001
2010-09-01,7.63,8.87,0.185,8.60,4821100,0.00
2010-08-02,8.44,8.85,6.60,7.90,7409500,0.00
