Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.25,21.48,20.83,21.00,3561600,7.00
2013-03-01,20.870001,22.50,19.969999,21.15,1491900,7.05
2013-02-01,19.059999,22.610001,18.43,20.90,2231000,6.966667
2013-01-02,19.07,19.35,17.02,19.00,1276300,6.333333
2012-12-03,19.540001,19.809999,17.540001,18.50,1071600,6.166667
2012-11-01,16.83,20.24,15.18,19.459999,1668700,6.486666
2012-10-01,20.43,20.74,15.75,16.60,2119700,5.533333
2012-09-04,21.40,22.25,19.620001,20.40,1877100,6.80
2012-08-01,20.110001,22.370001,18.51,21.67,2033300,7.223333
2012-07-02,20.440001,20.65,18.07,19.940001,2497500,6.646667
2012-06-01,16.65,21.50,15.95,20.370001,3867200,6.79
2012-05-01,18.58,19.00,16.540001,16.99,2988800,5.663333
2012-04-02,12.65,18.90,12.50,18.67,3415000,6.223333
2012-03-01,12.779999,14.35,11.97,12.720001,2296700,4.24
2012-02-01,12.219999,14.700001,12.059999,12.77,3299400,4.256667
2012-01-03,12.459999,13.62,11.21,12.16,2856900,4.053333
2011-12-01,13.42,13.559999,11.80,12.12,1917700,4.04
2011-11-01,13.790001,14.83,11.75,13.46,3167800,4.486667
2011-10-03,13.89,15.42,12.809999,14.26,3841100,4.753334
2011-09-01,16.17,17.219999,14.00,14.030001,3473900,4.676667
2011-08-01,16.959999,17.18,13.310001,16.129999,4057200,5.376667
2011-07-01,14.43,17.879999,13.639999,16.65,3526100,5.55
2011-06-01,17.50,17.57,13.289999,14.48,4409000,4.826666
2011-05-02,19.059999,19.200001,17.360001,17.48,2920300,5.826666
2011-04-01,20.73,21.469999,18.67,19.049999,2599100,6.35
2011-03-01,20.780001,20.969999,17.860001,20.540001,3055500,6.846667
2011-02-01,20.629999,23.66,20.01,20.780001,4389000,6.926667
2011-01-03,20.15,22.00,19.27,20.57,3788200,6.856667
2010-12-01,23.50,23.75,19.209999,20.00,4829300,6.666667
2010-11-01,19.629999,23.75,19.059999,23.09,5360500,7.696667
2010-10-01,23.65,26.25,19.00,19.440001,8901400,6.48
2010-09-01,25.790001,28.25,21.219999,23.49,7844500,7.83
2010-08-02,37.740002,38.18,24.84,25.469999,6387800,8.49
2010-07-01,36.48,40.200001,31.629999,37.09,6638600,12.363334
2010-06-01,37.66,44.900002,34.009998,36.52,4400300,12.173333
2010-05-03,38.93,40.18,32.610001,37.68,3289600,12.56
2010-04-01,36.48,42.400002,36.119999,38.349998,3563400,12.783333
2010-03-01,30.93,37.740002,30.23,36.32,2771900,12.106667
2010-02-01,28.15,30.940001,26.76,30.73,2258900,10.243333
2010-01-04,29.75,31.619999,27.299999,28.060001,2609100,9.353333
2009-12-01,22.440001,30.00,22.16,29.41,2858700,9.803333
2009-11-02,22.01,24.82,21.200001,22.08,1863700,7.36
2009-10-01,17.09,25.299999,16.389999,21.82,3188800,7.273333
2009-09-01,17.74,19.26,16.68,17.139999,1866800,5.713333
2009-08-03,13.90,17.879999,13.689999,17.809999,1990900,5.936666
2009-07-01,9.86,14.309999,8.95,13.83,2223300,4.61
2009-06-01,9.65,10.48,8.78,9.77,1163900,3.256667
2009-05-01,11.75,11.98,8.77,9.50,1293400,3.166667
2009-04-01,6.58,12.560001,6.50,11.70,2189000,3.90
2009-03-02,6.26,6.85,5.20,6.67,2102700,2.223333
2009-02-02,9.75,10.27,6.349999,6.38,2730300,2.126667
2009-01-02,12.93,13.129999,9.35,9.96,1594600,3.32
2008-12-01,11.85,13.10,10.24,12.82,1655700,4.273333
2008-11-03,13.51,13.51,9.25,12.04,1768800,4.013333
2008-10-01,16.67,16.84,10.26,13.58,2532100,4.526667
2008-09-02,19.42,20.030001,15.560001,16.83,2336100,5.61
2008-08-01,18.90,21.32,18.09,19.120001,1959500,6.373333
2008-07-01,19.549999,24.00,16.889999,18.90,3058200,6.30
2008-06-02,24.009998,24.40,19.42,19.76,2375100,6.586667
2008-05-01,23.42,25.200001,22.00,24.049999,1910700,8.016666
