Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,18.959999,18.99,18.620001,18.77,2831800,18.77
2013-03-01,17.290001,19.139999,17.040001,18.99,1473300,18.99
2013-02-01,16.09,17.75,15.80,17.41,2332600,17.41
2013-01-02,17.51,18.00,15.91,15.94,1968600,15.94
2012-12-03,15.80,16.98,15.16,16.969999,1669800,16.969999
2012-11-01,14.88,16.370001,13.96,15.75,2241300,15.75
2012-10-01,22.280001,22.879999,14.34,15.63,2657200,15.63
2012-09-04,24.93,25.629999,21.889999,22.209999,1528600,22.209999
2012-08-01,23.629999,25.870001,21.959999,24.860001,928900,24.860001
2012-07-02,23.879999,24.200001,21.379999,23.50,756900,23.50
2012-06-01,22.50,23.969999,21.799999,23.83,703200,23.83
2012-05-01,24.99,25.90,22.040001,23.07,995500,23.07
2012-04-02,24.440001,25.540001,22.959999,25.00,987600,25.00
2012-03-01,23.99,26.00,23.07,24.459999,907300,24.459999
2012-02-01,22.93,24.84,21.00,23.959999,1213800,23.959999
2012-01-03,21.290001,23.51,20.860001,22.74,1145500,22.74
2011-12-01,19.41,21.25,18.809999,20.780001,1047800,20.780001
2011-11-01,16.469999,20.15,15.86,19.51,1470000,19.51
2011-10-03,15.78,17.82,14.44,17.07,1120400,17.07
2011-09-01,16.74,17.139999,14.59,15.95,1069300,15.95
2011-08-01,20.799999,20.879999,14.27,16.780001,2839100,16.780001
2011-07-01,22.049999,22.68,19.690001,20.49,1507500,20.49
2011-06-01,21.85,22.10,20.33,22.00,1914600,22.00
2011-05-02,24.700001,25.15,21.370001,21.90,1383300,21.90
2011-04-01,25.799999,26.120001,22.959999,24.60,1376200,24.60
2011-03-01,26.030001,26.43,23.780001,25.67,779900,25.67
2011-02-01,23.790001,26.49,23.16,25.99,1588400,25.99
2011-01-03,21.01,24.549999,20.34,23.620001,1831700,23.620001
2010-12-01,19.76,20.950001,19.48,20.809999,1104900,20.809999
2010-11-01,21.73,21.92,17.93,19.469999,1952600,19.469999
2010-10-01,20.08,22.02,19.68,21.639999,921400,21.639999
2010-09-01,19.690001,20.57,19.07,19.93,1183400,19.93
2010-08-02,20.639999,22.43,18.33,19.34,1189200,19.34
2010-07-01,19.02,21.32,18.370001,20.35,1054100,20.35
2010-06-01,19.09,21.309999,17.07,19.059999,1138700,19.059999
2010-05-03,22.23,22.799999,18.32,19.48,1302000,19.48
2010-04-01,23.549999,24.00,21.870001,22.17,1146500,22.17
2010-03-01,19.209999,23.57,18.92,23.379999,1587500,23.379999
2010-02-01,21.610001,23.07,16.23,19.120001,2080900,19.120001
2010-01-04,20.01,22.10,19.85,21.450001,629800,21.450001
2009-12-01,18.389999,20.50,18.389999,19.860001,530800,19.860001
2009-11-02,15.97,18.77,15.82,18.23,711800,18.23
2009-10-01,18.040001,19.280001,15.79,15.92,1142400,15.92
2009-09-01,15.52,18.690001,15.03,18.059999,1252000,18.059999
2009-08-03,13.14,16.549999,12.91,15.52,1298300,15.52
2009-07-01,13.82,15.51,12.08,13.01,1257500,13.01
2009-06-01,14.07,16.940001,13.40,13.74,1336500,13.74
2009-05-01,12.85,14.49,12.48,13.75,1051000,13.75
2009-04-01,9.65,14.95,9.60,12.75,1175500,12.75
2009-03-02,9.74,11.45,8.03,9.97,868800,9.97
2009-02-02,13.50,14.53,9.69,9.92,1247700,9.92
2009-01-02,10.18,14.45,10.15,13.60,1899000,13.60
2008-12-01,9.02,10.38,8.05,10.17,1303300,10.17
2008-11-03,16.26,16.690001,7.14,9.05,1515400,9.05
2008-10-01,16.09,16.57,10.38,16.129999,1984800,16.129999
2008-09-02,23.450001,23.790001,10.00,16.07,1710600,16.07
2008-08-01,20.129999,23.790001,20.129999,22.799999,918200,22.799999
2008-07-01,19.00,24.24,18.700001,21.66,1912000,21.66
2008-06-02,29.91,29.940001,19.00,19.18,2257700,19.18
2008-05-01,29.00,31.49,27.440001,29.83,1204100,29.83
2008-04-01,22.40,29.65,22.32,29.17,1980400,29.17
2008-03-03,26.43,27.26,21.07,22.18,1349000,22.18
2008-02-01,27.790001,28.950001,23.08,27.02,1861100,27.02
2008-01-02,34.330002,34.439999,24.00,27.620001,1614600,27.620001
2007-12-03,35.130001,36.220001,32.169998,34.50,796700,34.50
2007-11-01,34.119999,37.07,32.049999,34.950001,667500,34.950001
2007-10-01,38.599998,38.939999,32.349998,34.720001,1231700,34.720001
2007-09-04,35.709999,38.939999,33.799999,38.939999,796900,38.939999
2007-08-01,36.299999,38.110001,30.40,35.75,914300,35.75
2007-07-02,36.07,41.720001,35.84,36.299999,1092100,36.299999
2007-06-01,34.91,38.099998,34.00,36.049999,1166800,36.049999
2007-05-01,31.629999,35.709999,31.43,34.91,1431700,34.91
2007-04-02,31.700001,33.34,31.16,31.629999,781300,31.629999
2007-03-01,28.75,32.799999,27.450001,31.85,1017000,31.85
2007-02-01,30.629999,32.00,29.33,29.51,589200,29.51
2007-01-03,32.00,32.48,28.299999,30.629999,826400,30.629999
2006-12-01,29.25,33.650002,29.00,33.470001,805700,33.470001
2006-11-28,28.389999,29.299999,28.15,29.15,1305300,29.15
