Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,79.910004,80.00,79.440002,79.93,1471400,73.030396
2013-03-01,77.559998,80.209999,77.029999,79.940002,972000,73.039536
2013-02-01,75.220001,78.18,75.199997,77.760002,994500,70.482704
2013-01-02,71.980003,75.400002,70.610001,75.050003,899300,68.026321
2012-12-03,68.410004,72.870003,68.040001,70.940002,1242800,64.300964
2012-11-01,69.169998,69.860001,64.959999,68.419998,1053800,61.497902
2012-10-01,64.669998,70.00,64.470001,69.75,1012600,62.693348
2012-09-04,66.099998,67.220001,63.869999,64.489998,1549300,57.965504
2012-08-01,70.650002,72.32,66.019997,66.199997,802300,58.953415
2012-07-02,69.099998,71.330002,67.709999,70.410004,928800,62.702572
2012-06-01,64.099998,69.459999,63.299999,68.879997,1250800,61.34005
2012-05-01,64.639999,65.50,63.02,65.010002,1432700,57.376774
2012-04-02,60.209999,64.919998,60.040001,64.739998,2004100,57.138474
2012-03-01,59.200001,60.360001,57.759998,59.959999,1855900,52.919724
2012-02-01,57.310001,59.740002,57.099998,59.240002,1465400,51.751209
2012-01-03,55.689999,58.419998,54.700001,56.900002,1336900,49.707016
2011-12-01,53.240002,55.610001,51.529999,55.00,1165000,48.047203
2011-11-01,52.509998,54.369999,50.529999,53.189999,1213500,46.037586
2011-10-03,51.43,55.580002,48.380001,53.73,1318400,46.504974
2011-09-01,52.57,53.759998,49.16,51.50,1558200,44.574841
2011-08-01,50.939999,52.66,44.779999,52.52,1959300,45.027061
2011-07-01,52.830002,53.68,50.48,50.689999,1086000,43.458141
2011-06-01,55.00,55.119999,51.529999,52.880001,1332100,45.335701
2011-05-02,55.259998,55.970001,53.919998,55.169998,1136400,46.871586
2011-04-01,53.630001,55.220001,52.119999,55.099998,935000,46.812115
2011-03-01,53.330002,54.439999,50.32,53.50,1841400,45.452782
2011-02-01,52.200001,53.599998,51.709999,53.23,1747700,44.805466
2011-01-03,52.689999,52.919998,51.18,52.07,1488000,43.829056
2010-12-01,50.57,52.75,50.080002,52.48,1667000,44.174164
2010-11-01,53.720001,54.279999,49.490002,50.09,1846000,41.848679
2010-10-01,53.860001,54.450001,52.59,53.48,1237900,44.68092
2010-09-01,51.27,54.32,50.84,53.799999,1436400,44.948269
2010-08-02,50.139999,52.700001,49.91,50.919998,1714200,42.234184
2010-07-01,46.959999,51.240002,46.25,49.75,1689100,41.263763
2010-06-01,45.77,50.98,44.400002,46.790001,2395300,38.808674
2010-05-03,49.290001,50.779999,43.91,46.00,2804300,37.850685
2010-04-01,50.02,51.43,47.16,49.18,1861200,40.467319
2010-03-01,49.200001,51.740002,48.380001,49.900002,2235500,41.059765
2010-02-01,50.93,51.560001,47.549999,49.169998,2611400,40.145081
2010-01-04,56.400002,56.610001,50.200001,50.75,2382600,41.435078
2009-12-01,53.459999,57.18,53.290001,55.98,1677100,45.705139
2009-11-02,51.709999,54.00,48.900002,53.139999,1492000,43.087082
2009-10-01,49.73,53.75,49.380001,51.450001,1426600,41.716793
2009-09-01,49.93,51.77,48.099998,49.810001,1554800,40.387047
2009-08-03,52.599998,53.00,49.810001,50.169998,1320600,40.367317
2009-07-01,49.790001,52.970001,46.84,52.43,1278200,42.185738
2009-06-01,46.139999,50.900002,45.580002,49.630001,1615600,39.932827
2009-05-01,46.00,49.889999,43.939999,45.68,1707700,36.460278
2009-04-01,46.060001,47.689999,44.34,46.02,1620100,36.731655
2009-03-02,41.00,46.959999,36.43,46.240002,2570900,36.907249
2009-02-02,43.23,46.720001,37.66,41.57,2373800,32.867168
2009-01-02,42.73,45.82,41.509998,43.84,1808300,34.661938
2008-12-01,45.279999,46.52,39.459999,42.630001,1799500,33.705257
2008-11-03,42.549999,46.939999,38.360001,46.669998,2064600,36.5816
2008-10-01,50.080002,51.209999,34.290001,42.610001,3745700,33.399231
2008-09-02,58.220001,58.990002,43.349998,50.470001,3368700,39.560177
2008-08-01,56.419998,58.650002,54.27,57.919998,2196500,45.098175
2008-07-01,55.959999,58.029999,53.389999,56.16,2257100,43.727791
2008-06-02,57.82,58.119999,54.950001,56.450001,1711700,43.953594
2008-05-01,56.509998,59.959999,56.009998,57.810001,1693200,44.735409
2008-04-01,53.880001,57.889999,53.02,56.669998,1702900,43.853233
2008-03-03,53.380001,54.490002,48.580002,53.279999,2782900,41.229935
2008-02-01,55.799999,58.630001,52.580002,53.130001,2013800,40.855892
2008-01-02,61.959999,63.00,52.68,55.900002,1823600,42.985966
2007-12-03,61.810001,64.209999,60.790001,61.880001,1007200,47.584461
2007-11-01,60.98,62.880001,58.599998,62.619999,1557500,47.908871
2007-10-01,58.400002,61.799999,57.619999,61.509998,1365000,47.059639
2007-09-04,54.990002,60.330002,53.59,58.119999,1794000,44.466042
2007-08-01,53.75,57.669998,50.950001,55.029999,2432000,41.881687
2007-07-02,59.82,62.25,52.27,52.720001,2466600,40.123619
2007-06-01,61.32,62.400002,57.040001,59.23,1743800,45.078182
2007-05-01,63.630001,65.440002,61.00,61.32,1576300,46.423401
2007-04-02,60.150002,66.379997,60.130001,63.48,1501700,48.058666
2007-03-01,59.75,63.029999,57.849998,61.009998,1397800,46.188709
2007-02-01,57.380001,62.529999,57.25,60.049999,1207900,45.230282
2007-01-03,55.950001,58.009998,54.73,57.380001,1079900,43.219212
2006-12-01,54.610001,57.349998,54.57,56.040001,1020300,42.209911
2006-11-01,53.150002,55.299999,51.970001,54.50,1299100,40.831654
2006-10-02,50.25,53.849998,50.189999,53.040001,1079600,39.737816
2006-09-01,49.919998,50.91,48.50,50.25,1121200,37.647533
2006-08-01,48.110001,49.73,46.560001,49.720001,939100,35.161915
2006-07-03,45.849998,48.639999,44.419998,48.259998,980900,34.129402
2006-06-01,45.139999,46.169998,42.900002,45.48,1011400,32.163391
2006-05-01,45.830002,47.189999,43.27,44.970001,1163000,31.585785
2006-04-03,46.709999,47.290001,44.310001,46.02,1098400,32.323277
2006-03-01,47.84,48.080002,45.34,46.459999,1218200,32.63232
2006-02-01,47.869999,49.540001,46.18,47.84,913700,33.386204
2006-01-03,45.040001,48.75,44.66,48.049999,1124300,33.532757
2005-12-01,44.200001,46.709999,43.880001,44.84,984100,31.292587
2005-11-01,44.099998,44.93,41.849998,43.950001,1345400,30.477402
2005-10-03,46.900002,47.860001,41.099998,44.299999,1132900,30.72011
2005-09-01,44.799999,47.43,44.549999,47.060001,1017900,32.634052
2005-08-01,42.599998,44.889999,41.02,44.82,1307500,30.883305
2005-07-01,41.349998,42.93,40.98,42.50,837200,29.284704
2005-06-01,39.599998,41.709999,39.459999,41.310001,1204400,28.464733
2005-05-02,40.48,40.75,37.07,39.669998,1358700,27.137054
2005-04-01,40.00,40.900002,38.25,40.380001,853000,27.622747
2005-03-01,40.00,42.540001,38.540001,39.84,1392500,27.253349
2005-02-01,37.150002,40.740002,36.959999,40.00,1461000,27.168449
2005-01-03,36.599998,37.25,35.529999,37.220001,902100,25.280245
2004-12-01,36.98,37.369999,34.869999,36.68,834300,24.913469
2004-11-01,33.799999,37.93,33.599998,36.98,1254200,24.947521
2004-10-01,36.290001,37.27,31.00,33.540001,2068500,22.626823
