Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.61,7.63,7.24,7.30,199000,7.30
2013-03-01,6.20,8.05,6.16,7.63,173100,7.63
2013-02-01,6.31,6.73,6.02,6.45,96700,6.45
2013-01-02,5.29,6.40,5.25,6.26,173800,6.26
2012-12-03,5.00,5.36,4.57,5.12,118400,5.12
2012-11-01,5.00,5.22,4.51,4.93,104100,4.93
2012-10-01,4.91,5.28,4.60,4.97,138700,4.97
2012-09-04,6.32,6.91,4.45,4.97,191100,4.97
2012-08-01,6.50,6.96,5.56,6.32,85900,6.32
2012-07-02,6.82,7.03,5.66,6.42,85300,6.42
2012-06-01,6.79,7.43,6.21,6.81,172000,6.81
2012-05-01,8.70,9.81,6.70,7.05,116800,7.05
2012-04-02,9.88,10.15,7.72,8.62,129700,8.62
2012-03-01,9.69,10.89,9.65,9.89,155100,9.89
2012-02-01,9.50,10.86,9.08,9.67,173100,9.67
2012-01-03,8.74,9.73,8.26,9.37,97200,9.37
2011-12-01,8.17,9.17,7.91,8.43,164800,8.43
2011-11-01,7.21,8.35,6.26,8.22,241200,8.22
2011-10-03,5.16,8.97,4.53,7.87,365400,7.87
2011-09-01,7.98,8.00,5.17,5.22,286400,5.22
2011-08-01,12.68,12.74,6.76,7.97,281800,7.97
2011-07-01,14.76,15.45,11.92,12.48,144100,12.48
2011-06-01,15.24,15.24,12.90,14.74,204600,14.74
2011-05-02,15.42,15.42,13.21,15.32,250000,15.32
2011-04-01,14.75,15.44,13.84,15.30,110000,15.30
2011-03-01,15.18,16.129999,14.24,14.62,144700,14.62
2011-02-01,14.97,16.49,14.18,15.08,181000,15.08
2011-01-03,16.040001,17.219999,14.58,14.75,241500,14.75
2010-12-01,13.30,17.190001,13.19,15.79,278600,15.79
2010-11-01,11.07,13.46,10.99,13.00,397100,13.00
2010-10-01,10.66,13.58,10.02,11.00,192300,11.00
2010-09-01,8.83,11.00,8.74,10.51,69500,10.51
2010-08-02,11.00,11.53,7.90,8.63,89800,8.63
2010-07-01,7.66,10.95,7.02,10.71,126300,10.71
2010-06-01,9.51,10.06,7.57,7.59,138100,7.59
2010-05-03,10.92,10.92,8.19,9.68,141800,9.68
2010-04-01,10.00,12.30,9.96,10.79,91000,10.79
2010-03-01,8.44,10.23,8.17,9.89,100700,9.89
2010-02-01,7.02,8.70,6.00,8.34,91800,8.34
2010-01-04,9.22,9.54,6.92,6.98,64800,6.98
2009-12-01,7.01,9.38,6.59,9.01,81300,9.01
2009-11-02,7.33,8.24,6.14,6.99,152200,6.99
2009-10-01,6.99,9.60,6.15,7.35,219400,7.35
