Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.11,8.150001,8.05,8.12,36200,28.760439
2013-03-01,8.20,8.280001,7.67,8.13,35200,28.79586
2013-02-01,8.36,8.59,8.00,8.27,32300,29.291729
2013-01-02,7.40,8.36,7.35,8.32,41400,28.675703
2012-12-03,7.68,7.96,6.98,7.17,44700,24.712114
2012-11-01,8.36,8.77,7.05,7.68,54100,25.682089
2012-10-01,8.79,8.93,8.280001,8.42,25200,28.156662
2012-09-04,8.87,9.11,8.55,8.75,32100,29.260191
2012-08-01,8.79,9.66,8.62,8.990001,36800,30.062756
2012-07-02,8.13,9.04,8.13,8.86,24100,28.885681
2012-06-01,8.12,8.79,8.02,8.12,32800,26.473106
2012-05-01,9.62,9.740001,8.26,8.34,36800,27.190359
2012-04-02,10.00,10.06,9.22,9.580001,24000,30.440783
2012-03-01,9.82,10.35,9.75,9.96,20400,31.648245
2012-02-01,9.580001,10.650001,9.39,9.87,32200,31.362267
2012-01-03,8.990001,9.580001,8.900001,9.54,26600,29.653414
2011-12-01,9.48,9.580001,8.68,8.900001,25100,27.664085
2011-11-01,9.30,9.690001,9.06,9.43,16100,28.617277
2011-10-03,8.650001,9.56,8.080001,9.45,19600,28.677971
2011-09-01,9.330001,9.55,8.70,8.740001,19400,26.523329
2011-08-01,9.97,10.190001,8.01,9.35,29300,28.3745
2011-07-01,10.38,10.39,9.60,9.900001,19500,29.330528
2011-06-01,10.54,10.54,9.280001,10.330001,32500,30.604481
2011-05-02,10.72,10.780001,9.830001,10.54,38200,31.226643
2011-04-01,10.89,10.89,10.190001,10.740001,23700,31.127459
2011-03-01,10.31,10.900001,10.00,10.85,47600,31.446268
2011-02-01,10.740001,11.14,9.97,10.31,88300,29.881199
2011-01-03,10.50,11.07,10.27,10.75,33100,31.156441
2010-12-01,9.70,10.52,9.35,10.52,34400,29.858139
2010-11-01,9.20,9.990001,9.20,9.42,48900,26.736092
2010-10-01,8.43,9.240001,8.400001,9.20,38200,25.515223
2010-09-01,8.400001,8.50,8.25,8.41,33700,23.324242
2010-08-02,8.690001,8.88,8.25,8.29,49300,22.991434
2010-07-01,8.490001,8.75,7.99,8.60,71200,23.239269
2010-06-01,8.20,9.00,7.92,8.330001,28100,22.509666
2010-05-03,9.32,9.43,7.53,8.30,18700,22.428598
2010-04-01,9.06,9.530001,8.50,9.280001,13900,24.447075
2010-03-01,8.690001,9.29,8.10,9.10,27900,23.972885
2010-02-01,9.09,9.51,7.57,8.690001,10100,22.892788
2010-01-04,8.50,10.02,8.48,9.09,13100,23.342508
2009-12-01,7.49,8.86,7.20,8.51,11100,21.853106
2009-11-02,6.90,7.85,6.630001,7.37,7300,18.925663
2009-10-01,6.95,6.99,6.34,6.90,9300,17.177797
2009-09-01,6.18,6.98,5.80,6.91,10900,17.202692
2009-08-03,7.25,7.50,5.92,6.13,15800,15.260855
2009-07-01,5.85,7.59,5.80,7.12,8200,17.110025
2009-06-01,6.50,7.10,5.42,5.85,7200,14.058098
2009-05-01,5.63,7.00,5.45,6.50,10500,15.620109
2009-04-01,4.65,5.74,4.45,5.63,7200,13.078436
2009-03-02,4.95,5.45,3.86,4.66,7800,10.825135
2009-02-02,5.00,7.00,4.62,5.01,11200,11.638182
2009-01-02,4.50,7.39,4.35,5.08,17200,11.338218
2008-12-01,9.86,9.86,2.90,4.48,31500,9.999058
2008-11-03,12.280001,14.50,8.01,10.36,6900,23.122822
2008-10-01,14.25,15.55,7.75,12.05,10900,26.017784
2008-09-02,17.57,18.300001,13.210001,14.25,5300,30.76792
2008-08-01,16.75,18.289999,15.45,17.610001,4600,38.022671
2008-07-01,17.00,17.50,15.52,16.74,5800,35.450336
2008-06-02,17.730001,18.200001,16.02,17.050001,5500,36.106827
2008-05-01,17.360001,18.00,16.969999,17.68,5600,37.440979
2008-04-01,16.789999,18.10,16.02,17.310001,5600,35.991314
2008-03-03,16.810001,17.370001,15.49,16.75,4300,34.826946
2008-02-01,17.15,17.800001,16.40,16.950001,4700,35.24279
2008-01-02,16.01,17.40,15.56,17.200001,8400,35.116364
2007-12-03,16.50,16.58,14.80,15.960001,21300,32.584717
2007-11-01,17.610001,18.18,14.81,16.710001,15100,34.115955
2007-10-01,19.09,19.700001,16.75,17.68,8400,35.410545
2007-09-04,19.40,20.00,18.60,19.00,3300,38.054317
