Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.85,26.25,25.620001,25.75,834800,21.802456
2013-03-01,24.50,27.50,24.440001,25.879999,598000,21.912527
2013-02-01,23.00,24.90,22.58,24.690001,371700,20.820288
2013-01-02,25.17,25.690001,20.85,22.85,476600,19.268675
2012-12-03,26.08,26.370001,23.08,24.780001,361200,20.896183
2012-11-01,24.75,27.42,22.00,25.870001,434700,21.815346
2012-10-01,21.290001,24.73,21.00,24.50,415600,20.58091
2012-09-04,21.450001,22.67,20.879999,21.059999,360000,17.691181
2012-08-01,19.00,21.65,18.74,21.42,329600,17.993595
2012-07-02,18.32,19.24,17.57,18.940001,229300,15.834648
2012-06-01,16.73,18.629999,15.93,18.32,374400,15.316301
2012-05-01,15.32,17.530001,14.37,17.190001,422600,14.296329
2012-04-02,16.129999,16.84,14.09,15.27,275300,12.699532
2012-03-01,15.31,17.120001,13.29,16.24,295400,13.506247
2012-02-01,15.50,15.85,14.17,14.95,272800,12.358748
2012-01-03,14.34,15.95,12.81,15.38,213600,12.714217
2011-12-01,12.41,14.81,12.28,13.89,335400,11.482476
2011-11-01,14.73,15.56,11.21,12.54,337000,10.292948
2011-10-03,13.67,16.76,12.85,15.63,342500,12.829248
2011-09-01,16.10,16.10,12.18,13.87,495300,11.384624
2011-08-01,18.049999,18.15,12.90,16.33,525800,13.329942
2011-07-01,16.83,19.33,16.700001,17.799999,400300,14.529881
2011-06-01,17.98,18.15,14.07,16.799999,608700,13.713595
2011-05-02,19.33,19.389999,15.82,18.040001,430900,14.660479
2011-04-01,19.33,19.969999,18.18,19.26,344300,15.651929
2011-03-01,17.50,19.950001,15.57,19.219999,585800,15.619422
2011-02-01,15.66,18.60,15.44,17.440001,233900,14.110754
2011-01-03,17.52,17.99,15.46,15.50,246900,12.541094
2010-12-01,15.45,17.77,15.39,17.34,227800,14.029843
2010-11-01,13.42,15.25,13.10,15.13,249400,12.183394
2010-10-01,13.15,13.96,12.61,13.33,209500,10.733949
2010-09-01,11.35,13.31,11.31,13.00,298600,10.468217
2010-08-02,11.28,12.22,10.00,11.16,256100,8.928157
2010-07-01,10.69,12.05,10.14,11.00,214000,8.800155
2010-06-01,13.98,14.04,10.61,10.68,258200,8.54415
2010-05-03,15.38,16.030001,12.91,14.17,329700,11.294058
2010-04-01,15.47,16.469999,14.52,15.25,231000,12.15486
2010-03-01,13.30,15.90,13.24,15.39,242400,12.266446
2010-02-01,12.98,13.77,12.16,13.30,214600,10.563412
2010-01-04,12.68,13.85,11.68,12.92,250900,10.2616
2009-12-01,12.28,13.73,10.75,12.36,268800,9.816825
2009-11-02,11.87,13.45,11.15,12.09,216300,9.563503
2009-10-01,12.90,14.17,11.58,11.80,183700,9.334105
2009-09-01,13.39,13.97,11.59,12.96,253500,10.251696
2009-08-03,12.64,14.85,12.11,13.35,216300,10.518977
2009-07-01,11.22,12.94,9.37,12.48,253400,9.83347
2009-06-01,12.41,14.21,10.61,11.10,252600,8.746116
2009-05-01,12.25,13.16,10.18,12.13,330900,9.522785
2009-04-01,9.76,12.61,9.76,12.25,401200,9.616992
2009-03-02,7.05,10.48,5.49,10.08,431700,7.913411
2009-02-02,7.17,8.71,6.85,7.18,340400,5.591568
2009-01-02,8.27,8.65,6.26,7.15,412700,5.568206
2008-12-01,5.60,8.49,4.38,8.25,419800,6.424853
2008-11-03,7.70,7.77,3.52,5.78,444700,4.458584
2008-10-01,13.62,13.69,5.89,7.71,676600,5.94735
2008-09-02,16.200001,16.290001,13.19,13.66,562100,10.537068
