Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,44.290001,44.360001,44.07,44.169998,283000,38.557499
2013-03-01,43.529999,45.52,43.00,44.34,172500,38.705898
2013-02-01,43.50,45.290001,42.669998,42.75,237200,37.317932
2013-01-02,43.290001,43.720001,41.369999,43.23,242000,37.736942
2012-12-03,41.700001,43.41,41.369999,43.290001,157900,37.789318
2012-11-01,42.529999,43.41,40.650002,42.349998,153600,36.968758
2012-10-01,45.00,45.59,41.610001,42.41,228500,37.021133
2012-09-04,43.57,48.560001,42.049999,44.580002,284600,37.642078
2012-08-01,42.349998,44.16,41.68,43.32,235300,36.578171
2012-07-02,42.759998,43.34,39.720001,41.490002,189600,35.032974
2012-06-01,42.02,46.439999,40.139999,42.450001,232200,35.843567
2012-05-01,47.240002,48.25,41.349998,42.48,229100,35.868896
2012-04-02,48.669998,50.07,45.049999,47.43,235400,40.048538
2012-03-01,53.669998,54.419998,47.18,48.639999,238300,40.388149
2012-02-01,51.77,54.23,50.779999,53.369999,204300,44.315697
2012-01-03,48.709999,51.970001,46.869999,51.34,172200,42.630093
2011-12-01,47.810001,49.290001,43.810001,47.400002,154200,39.358521
2011-11-01,42.98,49.060001,42.52,47.91,275300,39.781998
2011-10-03,40.57,49.439999,38.150002,45.240002,305100,37.564968
2011-09-01,47.970001,48.50,39.580002,40.599998,336700,32.670303
2011-08-01,50.900002,50.950001,39.790001,48.119999,398500,38.72155
2011-07-01,52.57,54.98,49.259998,50.150002,229500,40.355068
2011-06-01,53.540001,53.669998,49.299999,52.889999,268700,42.55991
2011-05-02,57.50,58.41,49.200001,53.619999,346200,43.147331
2011-04-01,57.939999,60.389999,52.23,57.82,334100,46.527016
2011-03-01,53.740002,57.990002,50.439999,57.950001,342500,46.276016
2011-02-01,49.060001,55.220001,49.00,54.869999,303500,43.816479
2011-01-03,51.970001,52.400002,48.279999,48.830002,230500,38.993233
2010-12-01,45.150002,52.549999,45.130001,52.049999,177000,41.564564
2010-11-01,45.310001,49.77,44.25,44.669998,241800,35.671261
2010-10-01,44.77,48.16,44.43,45.25,299500,36.134418
2010-09-01,38.849998,45.040001,38.77,44.790001,266400,34.951347
2010-08-02,40.759998,41.25,37.16,37.700001,264900,29.418749
2010-07-01,35.50,40.84,34.880001,39.639999,384000,30.932604
2010-06-01,35.59,39.59,34.290001,35.27,372500,27.522528
2010-05-03,40.419998,41.209999,33.349998,36.00,494800,28.092175
2010-04-01,41.689999,43.68,39.07,40.650002,287800,31.720747
2010-03-01,37.169998,41.73,37.169998,41.27,218200,31.920179
2010-02-01,38.23,39.360001,34.189999,36.630001,321600,28.331383
2010-01-04,41.32,43.400002,36.59,36.599998,274100,28.308178
2009-12-01,40.119999,40.950001,37.279999,39.939999,229600,30.891493
2009-11-02,37.209999,41.139999,36.299999,39.580002,418900,30.613054
2009-10-01,37.369999,42.860001,35.75,37.389999,516400,28.919203
2009-09-01,37.66,41.740002,35.799999,38.119999,486500,28.892103
2009-08-03,36.709999,39.50,34.049999,37.790001,420800,28.641991
2009-07-01,36.650002,37.029999,31.15,35.720001,481700,27.073086
2009-06-01,38.490002,39.32,32.360001,34.82,573400,26.390951
2009-05-01,30.26,38.299999,30.02,37.790001,653700,28.641991
2009-04-01,28.66,31.91,27.99,30.110001,628900,22.821125
2009-03-02,24.379999,31.889999,22.75,28.950001,720600,21.767418
2009-02-02,26.040001,30.93,24.57,25.129999,710100,18.89517
2009-01-02,31.49,35.189999,24.799999,26.549999,856000,19.962864
2008-12-01,27.50,30.870001,22.27,30.33,760700,22.805035
2008-11-03,29.50,30.23,19.16,28.559999,942400,21.474176
2008-10-01,42.360001,42.759998,20.620001,28.93,1738300,21.75238
2008-09-02,51.299999,51.470001,36.689999,42.490002,1380500,30.724747
2008-08-01,52.00,55.860001,49.080002,54.990002,644000,39.763561
2008-07-01,57.59,58.91,49.720001,52.939999,726700,38.281193
2008-06-02,61.240002,62.66,56.099998,58.939999,830200,42.619827
2008-05-01,56.209999,67.93,54.700001,62.900002,638700,45.483326
2008-04-01,47.07,59.869999,45.950001,56.650002,713900,40.963917
2008-03-03,52.099998,53.650002,45.919998,48.389999,789600,34.685127
